,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,9,5526,8.48064421832957,0.5193557816704306,False,False,0.3469350652677925
1,Amaranthaceae,3,2411,5.30380318136467,-2.30380318136467,False,False,0.3469350652677925
2,Amaryllidaceae,9,2535,5.430264911247061,3.569735088752939,False,False,0.3469350652677925
3,Anacardiaceae,5,941,3.8046197706621334,1.1953802293378666,False,False,0.3469350652677925
4,Annonaceae,3,2577,5.473098722981419,-2.473098722981419,False,False,0.3469350652677925
5,Apiaceae,15,3958,6.88151524691353,8.11848475308647,False,False,0.3469350652677925
6,Apocynaceae,12,6707,9.685090210193307,2.314909789806693,False,False,0.3469350652677925
7,Araliaceae,4,1686,4.56441000261682,-0.5644100026168202,False,False,0.3469350652677925
8,Asparagaceae,1,3552,6.467455066814734,-5.467455066814734,False,False,0.3469350652677925
9,Asphodelaceae,1,1263,4.133012327292213,-3.133012327292213,False,False,0.3469350652677925
10,Asteraceae,48,35217,38.76108955653978,9.23891044346022,False,False,0.3469350652677925
11,Berberidaceae,2,739,3.5986095332730774,-1.5986095332730774,False,False,0.3469350652677925
12,Bignoniaceae,6,904,3.766885222229485,2.233114777770515,False,False,0.3469350652677925
13,Boraginaceae,12,3507,6.42156169709935,5.57843830290065,False,False,0.3469350652677925
14,Brassicaceae,7,4238,7.167073991809252,-0.16707399180925186,False,False,0.3469350652677925
15,Burseraceae,2,770,3.6302249657436754,-1.6302249657436754,False,False,0.3469350652677925
16,Calophyllaceae,1,437,3.290614029849835,-2.290614029849835,False,False,0.3469350652677925
17,Campanulaceae,6,2517,5.4119075633609075,0.5880924366390925,False,False,0.3469350652677925
18,Capparaceae,1,438,3.291633882510177,-2.291633882510177,False,False,0.3469350652677925
19,Caryocaraceae,5,26,2.87145458644933,2.12854541355067,False,False,0.3469350652677925
20,Celastraceae,1,1365,4.237037298647083,-3.237037298647083,False,False,0.3469350652677925
21,Chloranthaceae,2,75,2.9214273668060815,-0.9214273668060815,False,False,0.3469350652677925
22,Chrysobalanaceae,1,546,3.4017779698270982,-2.4017779698270982,False,False,0.3469350652677925
23,Clusiaceae,1,909,3.7719844855311937,-2.7719844855311937,False,False,0.3469350652677925
24,Combretaceae,2,586,3.4425720762407725,-1.4425720762407725,False,False,0.3469350652677925
25,Connaraceae,1,241,3.0907229084228303,-2.0907229084228303,False,False,0.3469350652677925
26,Convolvulaceae,1,1979,4.863226832096986,-3.863226832096986,False,False,0.3469350652677925
27,Cornaceae,1,113,2.9601817678990723,-1.9601817678990723,False,False,0.3469350652677925
28,Cucurbitaceae,3,1065,3.9310815005445243,-0.9310815005445243,False,False,0.3469350652677925
29,Cyperaceae,1,6053,9.01810657032973,-8.01810657032973,False,False,0.3469350652677925
30,Dilleniaceae,2,616,3.4731676560510287,-1.4731676560510287,False,False,0.3469350652677925
31,Droseraceae,1,276,3.1264177515347953,-2.1264177515347953,False,False,0.3469350652677925
32,Ebenaceae,6,813,3.674078630138375,2.325921369861625,False,False,0.3469350652677925
33,Elaeagnaceae,1,107,2.954062651937021,-1.9540626519370208,False,False,0.3469350652677925
34,Euphorbiaceae,18,6554,9.529052753161002,8.470947246838998,False,False,0.3469350652677925
35,Fabaceae,43,22681,25.976216606494205,17.023783393505795,True,False,0.3469350652677925
36,Gentianaceae,1,1896,4.778579061288611,-3.778579061288611,False,False,0.3469350652677925
37,Geraniaceae,1,820,3.6812175987607683,-2.6812175987607683,False,False,0.3469350652677925
38,Hypericaceae,5,636,3.493564709257866,1.5064352907421341,False,False,0.3469350652677925
39,Iridaceae,4,2613,5.509813418753726,-1.5098134187537262,False,False,0.3469350652677925
40,Juglandaceae,1,84,2.930606040749158,-1.9306060407491579,False,False,0.3469350652677925
41,Kirkiaceae,2,6,2.851057533242493,-0.8510575332424928,False,False,0.3469350652677925
42,Lamiaceae,62,8229,11.237305959233622,50.76269404076638,True,False,0.3469350652677925
43,Lauraceae,29,3424,6.3369139262909755,22.663086073709025,True,False,0.3469350652677925
44,Loranthaceae,1,1076,3.942299879808285,-2.942299879808285,False,False,0.3469350652677925
45,Lythraceae,1,701,3.5598551321800866,-2.5598551321800866,False,False,0.3469350652677925
46,Malpighiaceae,2,1494,4.368598291831183,-2.3685982918311828,False,False,0.3469350652677925
47,Malvaceae,15,5572,8.527557440705294,6.472442559294706,False,False,0.3469350652677925
48,Melastomataceae,2,6012,8.976292611255714,-6.9762926112557135,False,False,0.3469350652677925
49,Meliaceae,5,772,3.632264671064359,1.367735328935641,False,False,0.3469350652677925
50,Menispermaceae,1,554,3.409936791109833,-2.409936791109833,False,False,0.3469350652677925
51,Moraceae,2,1302,4.172786581045545,-2.1727865810455453,False,False,0.3469350652677925
52,Moringaceae,1,13,2.858196501864886,-1.858196501864886,False,False,0.3469350652677925
53,Musaceae,1,98,2.944883977993944,-1.944883977993944,False,False,0.3469350652677925
54,Myristicaceae,6,541,3.396678706525389,2.603321293474611,False,False,0.3469350652677925
55,Myrtaceae,13,6379,9.350578537601177,3.6494214623988235,False,False,0.3469350652677925
56,Nelumbonaceae,1,2,2.8469781226011253,-1.8469781226011253,False,False,0.3469350652677925
57,Nyssaceae,1,37,2.8826729657130907,-1.8826729657130907,False,False,0.3469350652677925
58,Ochnaceae,1,643,3.5007036778802587,-2.5007036778802587,False,False,0.3469350652677925
59,Olacaceae,1,185,3.0336111594436863,-2.0336111594436863,False,False,0.3469350652677925
60,Oleaceae,1,767,3.6271654077626496,-2.6271654077626496,False,False,0.3469350652677925
61,Orchidaceae,8,31577,35.0488258728954,-27.0488258728954,False,True,0.3469350652677925
62,Orobanchaceae,4,2280,5.170202482859886,-1.170202482859886,False,False,0.3469350652677925
63,Papaveraceae,3,1062,3.9280219425634986,-0.9280219425634986,False,False,0.3469350652677925
64,Passifloraceae,9,1058,3.9239425319221315,5.0760574680778685,False,False,0.3469350652677925
65,Pentaphylacaceae,1,541,3.396678706525389,-2.396678706525389,False,False,0.3469350652677925
66,Phyllanthaceae,12,2101,4.9876488566586925,7.0123511433413075,False,False,0.3469350652677925
67,Pinaceae,3,268,3.1182589302520607,-0.11825893025206069,False,False,0.3469350652677925
68,Piperaceae,3,3871,6.792788065463788,-3.792788065463788,False,False,0.3469350652677925
69,Poaceae,5,12364,15.454396709747218,-10.454396709747218,False,False,0.3469350652677925
70,Polygonaceae,2,1602,4.478742379148104,-2.4787423791481036,False,False,0.3469350652677925
71,Portulacaceae,1,153,3.0009758743127466,-2.0009758743127466,False,False,0.3469350652677925
72,Primulaceae,1,3412,6.324675694366873,-5.324675694366873,False,False,0.3469350652677925
73,Proteaceae,1,1875,4.757162155421432,-3.7571621554214323,False,False,0.3469350652677925
74,Pteridaceae,1,1421,4.294149047626227,-3.2941490476262274,False,False,0.3469350652677925
75,Putranjivaceae,16,221,3.070325855215993,12.929674144784007,False,False,0.3469350652677925
76,Ranunculaceae,13,4025,6.9498453751564355,6.0501546248435645,False,False,0.3469350652677925
77,Restionaceae,14,554,3.409936791109833,10.590063208890168,False,False,0.3469350652677925
78,Rhamnaceae,1,1226,4.095277778859564,-3.095277778859564,False,False,0.3469350652677925
79,Rosaceae,8,5850,8.811076480280333,-0.8110764802803327,False,False,0.3469350652677925
80,Rubiaceae,2,14352,17.48186379850684,-15.48186379850684,False,False,0.3469350652677925
81,Rutaceae,5,2224,5.1130907338807425,-0.11309073388074253,False,False,0.3469350652677925
82,Santalaceae,2,1133,4.000431481447771,-2.0004314814477713,False,False,0.3469350652677925
83,Sapindaceae,6,1995,4.879544474662456,1.120455525337544,False,False,0.3469350652677925
