,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
275,DEL,4,1585,17.261111195756445,-13.261111195756445,False,False,0.3976118323562753
246,IOW,6,1601,17.319582714872652,-11.319582714872652,False,False,0.3976118323562753
166,EGY,20,1610,17.35247294437552,2.6475270556244794,False,False,0.3976118323562753
209,LES,10,1641,17.465761512663178,-7.465761512663178,False,False,0.3976118323562753
129,CYP,29,1651,17.50230621211081,11.49769378788919,False,False,0.3976118323562753
184,CNY,16,1666,17.557123261282257,-1.557123261282257,False,False,0.3976118323562753
313,ABT,2,1666,17.557123261282257,-15.557123261282257,False,False,0.3976118323562753
263,MAI,5,1671,17.575395611006073,-12.575395611006073,False,False,0.3976118323562753
239,VER,6,1683,17.619249250343227,-11.619249250343227,False,False,0.3976118323562753
198,BIS,14,1701,17.685029709348964,-3.6850297093489637,False,False,0.3976118323562753
183,TVA,16,1708,17.710610998962306,-1.7106109989623057,False,False,0.3976118323562753
290,FIJ,3,1713,17.72888334868612,-14.728883348686121,False,False,0.3976118323562753
192,IRK,15,1727,17.780045927912806,-2.7800459279128056,False,False,0.3976118323562753
272,KAN,4,1743,17.838517447029012,-13.838517447029012,False,False,0.3976118323562753
149,BLT,24,1748,17.856789796752828,6.143210203247172,False,False,0.3976118323562753
271,CLN,4,1751,17.867753206587118,-13.867753206587118,False,False,0.3976118323562753
250,CNT,6,1755,17.88237108636617,-11.88237108636617,False,False,0.3976118323562753
285,WVA,4,1815,18.101639283051956,-14.101639283051956,False,False,0.3976118323562753
161,DEN,21,1816,18.10529375299672,2.894706247003281,False,False,0.3976118323562753
153,LBY,23,1817,18.108948222941482,4.891051777058518,False,False,0.3976118323562753
140,AND,28,1818,18.112602692886245,9.887397307113755,False,False,0.3976118323562753
317,TAS,1,1827,18.145492922389113,-17.145492922389113,False,False,0.3976118323562753
179,NNS,18,1835,18.17472868194722,-0.1747286819472187,False,False,0.3976118323562753
132,ERI,28,1842,18.20030997156056,9.79969002843944,False,False,0.3976118323562753
84,BKN,38,1844,18.207618911450087,19.792381088549913,False,False,0.3976118323562753
190,BRY,15,1855,18.24781808084248,-3.2478180808424817,False,False,0.3976118323562753
83,MLI,38,1858,18.25878149067677,19.74121850932323,False,False,0.3976118323562753
191,KHA,15,1872,18.30994406990345,-3.3099440699034517,False,False,0.3976118323562753
254,MIN,6,1876,18.324561949682504,-12.324561949682504,False,False,0.3976118323562753
206,YAK,11,1877,18.328216419627267,-7.328216419627267,False,False,0.3976118323562753
252,MAS,6,1879,18.335525359516794,-12.335525359516794,False,False,0.3976118323562753
181,RUN,17,1907,18.437850517970162,-1.437850517970162,False,False,0.3976118323562753
257,WIS,6,1923,18.496322037086372,-12.496322037086372,False,False,0.3976118323562753
139,NET,28,1935,18.54017567642353,9.45982432357647,False,False,0.3976118323562753
100,GGI,36,1943,18.569411435981632,17.430588564018368,False,False,0.3976118323562753
128,KRI,29,1964,18.646155304821658,10.353844695178342,False,False,0.3976118323562753
265,QUE,5,1968,18.66077318460071,-13.66077318460071,False,False,0.3976118323562753
124,BGM,29,1997,18.76675281299884,10.233247187001162,False,False,0.3976118323562753
283,OHI,4,2024,18.865423501507443,-14.865423501507443,False,False,0.3976118323562753
253,INI,6,2028,18.880041381286496,-12.880041381286496,False,False,0.3976118323562753
50,TOG,50,2030,18.887350321176022,31.112649678823978,False,False,0.3976118323562753
267,NWJ,5,2034,18.901968200955075,-13.901968200955075,False,False,0.3976118323562753
259,MIC,5,2035,18.905622670899838,-13.905622670899838,False,False,0.3976118323562753
156,WIN,22,2036,18.9092771408446,3.090722859155399,False,False,0.3976118323562753
133,SAU,28,2071,19.03718358891131,8.962816411088689,False,False,0.3976118323562753
147,YEM,25,2073,19.044492528800834,5.955507471199166,False,False,0.3976118323562753
167,LEE,20,2083,19.081037228248466,0.9189627717515343,False,False,0.3976118323562753
99,SAR,36,2087,19.09565510802752,16.90434489197248,False,False,0.3976118323562753
316,AGS,1,2090,19.106618517861808,-18.106618517861808,False,False,0.3976118323562753
85,SEN,38,2106,19.165090036978018,18.834909963021982,False,False,0.3976118323562753
135,RUC,28,2118,19.208943676315176,8.791056323684824,False,False,0.3976118323562753
186,PRM,16,2119,19.21259814625994,-3.212598146259939,False,False,0.3976118323562753
113,EAI,32,2121,19.219907086149465,12.780092913850535,False,False,0.3976118323562753
226,KTY,7,2131,19.256451785597093,-12.256451785597093,False,False,0.3976118323562753
68,CHA,42,2146,19.31126883476854,22.68873116523146,False,False,0.3976118323562753
247,MSO,6,2167,19.388012703608567,-13.388012703608567,False,False,0.3976118323562753
121,RUS,30,2172,19.406285053332383,10.593714946667617,False,False,0.3976118323562753
163,KRA,21,2178,19.42821187300096,1.5717881269990386,False,False,0.3976118323562753
79,COR,39,2203,19.51957362162004,19.48042637837996,False,False,0.3976118323562753
173,CHQ,19,2207,19.534191501399093,-0.5341915013990928,False,False,0.3976118323562753
261,PEN,5,2215,19.563427260957194,-14.563427260957194,False,False,0.3976118323562753
244,ONT,6,2221,19.585354080625773,-13.585354080625773,False,False,0.3976118323562753
57,TUE,46,2225,19.599971960404826,26.400028039595174,False,False,0.3976118323562753
225,ARK,7,2227,19.607280900294352,-12.607280900294352,False,False,0.3976118323562753
223,MRY,7,2233,19.62920771996293,-12.629207719962931,False,False,0.3976118323562753
269,MNT,5,2250,19.6913337090239,-14.691333709023901,False,False,0.3976118323562753
89,KRY,38,2262,19.73518734836106,18.26481265163894,False,False,0.3976118323562753
279,WYO,4,2302,19.881366146151585,-15.881366146151585,False,False,0.3976118323562753
211,SOL,9,2305,19.892329555985874,-10.892329555985874,False,False,0.3976118323562753
220,ILL,8,2317,19.936183195323032,-11.936183195323032,False,False,0.3976118323562753
39,BEN,55,2321,19.950801075102085,35.049198924897915,True,False,0.3976118323562753
278,OKL,4,2333,19.994654714439243,-15.994654714439243,False,False,0.3976118323562753
249,MSI,6,2339,20.01658153410782,-14.016581534107821,False,False,0.3976118323562753
242,BRC,6,2348,20.049471763610686,-14.049471763610686,False,False,0.3976118323562753
238,LOU,6,2364,20.107943282726897,-14.107943282726897,False,False,0.3976118323562753
185,PUE,16,2395,20.22123185101455,-4.221231851014551,False,False,0.3976118323562753
118,TUN,31,2405,20.257776550462182,10.742223449537818,False,False,0.3976118323562753
159,WSB,21,2411,20.27970337013076,0.7202966298692388,False,False,0.3976118323562753
268,IDA,5,2431,20.352792769026024,-15.352792769026024,False,False,0.3976118323562753
262,NWY,5,2445,20.40395534825271,-15.403955348252708,False,False,0.3976118323562753
155,CHM,22,2481,20.535516266264178,1.4644837337358219,False,False,0.3976118323562753
215,TEN,8,2492,20.575715435656573,-12.575715435656573,False,False,0.3976118323562753
241,WAS,6,2499,20.601296725269915,-14.601296725269915,False,False,0.3976118323562753
136,BOT,28,2501,20.60860566515944,7.391394334840559,False,False,0.3976118323562753
138,RUE,28,2555,20.805947042176648,7.194052957823352,False,False,0.3976118323562753
69,SIC,42,2557,20.813255982066174,21.186744017933826,False,False,0.3976118323562753
95,HUN,37,2562,20.83152833178999,16.16847166821001,False,False,0.3976118323562753
154,TRT,23,2569,20.857109621403332,2.142890378596668,False,False,0.3976118323562753
104,RWA,35,2590,20.933853490243358,14.066146509756642,False,False,0.3976118323562753
210,URU,10,2591,20.93750796018812,-10.937507960188121,False,False,0.3976118323562753
176,OFS,18,2609,21.003288419193854,-3.0032884191938543,False,False,0.3976118323562753
151,ALT,23,2627,21.06906887819959,1.930931121800409,False,False,0.3976118323562753
77,SWZ,39,2629,21.076377818089117,17.923622181910883,False,False,0.3976118323562753
258,VRG,5,2669,21.22255661587964,-16.22255661587964,False,False,0.3976118323562753
94,TKM,37,2679,21.25910131532727,15.740898684672729,False,False,0.3976118323562753
54,SIE,48,2682,21.27006472516156,26.72993527483844,False,False,0.3976118323562753
236,SCA,7,2688,21.29199154483014,-14.29199154483014,False,False,0.3976118323562753
88,POR,38,2698,21.32853624427777,16.67146375572223,False,False,0.3976118323562753
64,LBR,44,2735,21.463751632234008,22.536248367765992,False,False,0.3976118323562753
182,FIN,17,2781,21.631857249693105,-4.631857249693105,False,False,0.3976118323562753
170,CHI,20,2783,21.63916618958263,-1.6391661895826317,False,False,0.3976118323562753
284,COL,4,2790,21.664747479195974,-17.664747479195974,False,False,0.3976118323562753
87,PAL,38,2800,21.701292178643605,16.298707821356395,False,False,0.3976118323562753
101,BUR,36,2831,21.814580746931263,14.185419253068737,False,False,0.3976118323562753
260,NEV,5,2853,21.894979085716052,-16.894979085716052,False,False,0.3976118323562753
127,POL,29,2967,22.311588659419044,6.688411340580956,False,False,0.3976118323562753
158,GRB,22,2985,22.37736911842478,-0.37736911842478094,False,False,0.3976118323562753
219,NCA,8,2990,22.395641468148597,-14.395641468148597,False,False,0.3976118323562753
291,UTA,3,2994,22.41025934792765,-19.41025934792765,False,False,0.3976118323562753
180,MON,17,3010,22.468730867043856,-5.468730867043856,False,False,0.3976118323562753
301,CLC,2,3041,22.58201943533151,-20.58201943533151,False,False,0.3976118323562753
199,JAM,13,3086,22.746470582845852,-9.746470582845852,False,False,0.3976118323562753
221,GEO,8,3091,22.764742932569668,-14.764742932569668,False,False,0.3976118323562753
86,LSI,38,3100,22.797633162072536,15.202366837927464,False,False,0.3976118323562753
228,ALA,7,3104,22.81225104185159,-15.812251041851589,False,False,0.3976118323562753
55,IRQ,48,3115,22.852450211243983,25.147549788756017,False,False,0.3976118323562753
119,SOM,31,3163,23.027864768592607,7.9721352314073926,False,False,0.3976118323562753
51,GHA,50,3171,23.057100528150713,26.942899471849287,False,False,0.3976118323562753
234,FLA,7,3191,23.130189927045976,-16.130189927045976,False,False,0.3976118323562753
172,NOR,19,3196,23.14846227676979,-4.148462276769791,False,False,0.3976118323562753
266,SOA,5,3221,23.23982402538887,-18.23982402538887,False,False,0.3976118323562753
152,KOR,23,3242,23.316567894228896,-0.3165678942288963,False,False,0.3976118323562753
243,ORE,6,3274,23.433510932461314,-17.433510932461314,False,False,0.3976118323562753
91,UKR,37,3282,23.46274669201942,13.537253307980581,False,False,0.3976118323562753
164,MOL,21,3353,23.7222140580976,-2.722214058097599,False,False,0.3976118323562753
297,NWC,2,3369,23.78068557721381,-21.78068557721381,False,False,0.3976118323562753
274,VIC,4,3382,23.82819368649573,-19.82819368649573,False,False,0.3976118323562753
98,SWI,36,3408,23.92320990505957,12.076790094940431,False,False,0.3976118323562753
240,NWM,6,3482,24.193640680972038,-18.193640680972038,False,False,0.3976118323562753
145,CHX,26,3487,24.211913030695854,1.7880869693041461,False,False,0.3976118323562753
29,ALB,58,3497,24.248457730143485,33.751542269856515,True,False,0.3976118323562753
125,ELS,29,3546,24.427526757436876,4.572473242563124,False,False,0.3976118323562753
49,GUI,51,3572,24.522542976000715,26.477457023999285,False,False,0.3976118323562753
65,ROM,43,3577,24.54081532572453,18.45918467427547,False,False,0.3976118323562753
70,ALG,42,3622,24.705266473238872,17.294733526761128,False,False,0.3976118323562753
75,CHH,40,3626,24.719884353017925,15.280115646982075,False,False,0.3976118323562753
256,ARI,6,3640,24.77104693224461,-18.77104693224461,False,False,0.3976118323562753
123,BLZ,30,3641,24.774701402189372,5.225298597810628,False,False,0.3976118323562753
105,CZE,35,3653,24.81855504152653,10.18144495847347,False,False,0.3976118323562753
19,CAF,64,3684,24.931843609814184,39.06815639018582,True,False,0.3976118323562753
168,HAI,20,3714,25.041477708157075,-5.041477708157075,False,False,0.3976118323562753
26,SRL,59,3717,25.052441117991364,33.947558882008636,True,False,0.3976118323562753
27,IVO,59,3792,25.326526363848597,33.6734736361514,True,False,0.3976118323562753
137,NAM,28,3814,25.406924702633386,2.593075297366614,False,False,0.3976118323562753
162,SWE,21,3879,25.644465249042987,-4.644465249042987,False,False,0.3976118323562753
97,AUT,36,3887,25.673701008601093,10.326298991398907,False,False,0.3976118323562753
44,LBS,52,3894,25.699282298214435,26.300717701785565,False,False,0.3976118323562753
73,UZB,40,3920,25.794298516778273,14.205701483221727,False,False,0.3976118323562753
80,KGZ,39,3929,25.82718874628114,13.172811253718859,False,False,0.3976118323562753
46,CBD,52,3932,25.83815215611543,26.16184784388457,False,False,0.3976118323562753
160,DOM,21,3967,25.966058604182138,-4.9660586041821375,False,False,0.3976118323562753
48,CON,51,3985,26.031839063187874,24.968160936812126,False,False,0.3976118323562753
15,SUD,66,4011,26.126855281751716,39.873144718248284,True,False,0.3976118323562753
40,BUL,54,4018,26.152436571365058,27.847563428634942,False,False,0.3976118323562753
196,NTA,14,4136,26.583664024847103,-12.583664024847103,False,False,0.3976118323562753
58,NCS,46,4149,26.631172134129024,19.368827865870976,False,False,0.3976118323562753
21,BAN,62,4155,26.653098953797603,35.3469010462024,True,False,0.3976118323562753
67,MOR,43,4200,26.81755010131194,16.18244989868806,False,False,0.3976118323562753
81,TZK,39,4347,27.354757183192113,11.645242816807887,False,False,0.3976118323562753
109,GER,33,4464,27.7823301667294,5.217669833270602,False,False,0.3976118323562753
130,SUR,29,4495,27.895618735017052,1.1043812649829476,False,False,0.3976118323562753
47,AFG,51,4526,28.00890730330471,22.99109269669529,False,False,0.3976118323562753
10,PAK,71,4604,28.293955958996232,42.706044041003764,True,False,0.3976118323562753
122,SUL,30,4702,28.652094013583014,1.3479059864169862,False,False,0.3976118323562753
45,MLW,52,4735,28.772691521760198,23.227308478239802,False,False,0.3976118323562753
28,UGA,59,4748,28.82019963104212,30.17980036895788,False,False,0.3976118323562753
11,NGA,69,4791,28.97734183866693,40.02265816133307,True,False,0.3976118323562753
213,TEX,9,4817,29.07235805723077,-20.07235805723077,False,False,0.3976118323562753
62,TAI,44,4822,29.090630406954585,14.909369593045415,False,False,0.3976118323562753
53,GAB,49,5077,30.022520242869177,18.977479757130823,False,False,0.3976118323562753
71,NAT,42,5126,30.201589270162568,11.798410729837432,False,False,0.3976118323562753
115,FRG,32,5161,30.329495718229275,1.6705042817707252,False,False,0.3976118323562753
43,ETH,53,5199,30.468365576130275,22.531634423869725,False,False,0.3976118323562753
25,LAO,60,5235,30.599926494141744,29.400073505858256,False,False,0.3976118323562753
41,ZIM,53,5303,30.848430450385635,22.151569549614365,False,False,0.3976118323562753
74,KAZ,40,5326,30.932483259115187,9.067516740884813,False,False,0.3976118323562753
76,PAR,40,5347,31.00922712795521,8.99077287204479,False,False,0.3976118323562753
30,GRC,58,5378,31.122515696242868,26.877484303757132,False,False,0.3976118323562753
52,TVL,49,5383,31.140788045966683,17.859211954033317,False,False,0.3976118323562753
142,AGE,27,5389,31.162714865635262,-4.162714865635262,False,False,0.3976118323562753
72,JAW,41,5403,31.213877444861946,9.786122555138054,False,False,0.3976118323562753
