,refDOI
0,10.21010%2Fajtcam.v13i4.15
1,10.1016%2Fj.phytochem.2017.04.005
2,10.3390%2Fmolecules24071364
3,10.1021%2Fbk-2009-1021.ch005
4,10.3389%2Ffpls.2023.1228844
5,10.1155%2F2013%2F579319
6,10.3390%2Fplants9030298
7,10.4102%2Fjomped.v7i1.202
8,10.3390%2Fplants9091066
9,10.1016%2Fj.bjp.2014.09.004
10,10.3389%2Ffphar.2025.1581659
11,10.14719%2Fpst.2021.8.4.1334
12,10.3390%2Fmolecules25112611
13,10.24193%2Fsubbchem.2019.4.15
14,10.1590%2F1519-6984.166532
15,10.3390%2Fscipharm90010004.
16,10.3390%2Fplants10071468
17,10.1016%2Fj.jep.2016.06.060
18,10.3390%2Fmolecules27217532
19,10.3389%2Ffphar.2022.849704_full
20,10.1371%2Fjournal.pone.0027480
21,10.1177%2F1934578x19880645
22,10.1016%2Fj.jspr.2017.09.003
23,10.48130%2Fmpb-0024-0003
24,10.22270%2Fjddt.v7i6.1522
25,10.3390%2Fph16101390.
26,10.1155%2F2015%2F138039
27,10.14719%2Fpst.1737
28,10.5772%2F66605
29,10.22270%2Fjddt.v3i6.688
30,10.7324%2Fjaps.2017.70333
31,10.4314%2Ftjpr.v19i5.30
32,10.5902%2F2179460x22021
33,10.3389%2Ffphar.2018.01177
34,10.15123%2Fuel.86z82
35,10.3126%2Fbibechana.v20i3.57711
36,10.2174%2F2210290601001010024
37,10.1016%2Fj.jep.2019.111932
38,10.5772%2F27695
39,10.1590%2Fs0102-33062012000300010.
40,10.30750%2Fijpbr.5.4.2
41,10.52783%2Fjchr.v14.i4.5453
42,10.55544%2Fjrasb.3.3.22
43,10.46243%2Fjst.2023.v8.i05.pp57-71
44,10.1590%2Fs1677-04202003000300004
45,10.3389%2Ffphar.2024.1427019
46,10.17863%2Fcam.12533
47,10.1201%2F9781003221968
48,10.3389%2Ffphar.2019.00025
49,10.22270%2Fjddt.v9i1.2218
50,10.1142%2Fs0192415x23500404
51,10.7454%2Fijmcb.v3i2.1038
52,10.22270%2Fhjhs.v7i2.125
53,10.52783%2Fjchr.v14.i3.4789
54,10.3390%2Fmolecules26082306
55,10.4314%2Ftjpr.v18i10.31
56,10.4314%2Forapj.v5i1.9
57,10.4314%2Ftjpr.v17i2.24
58,10.4103%2Fwjtcm.wjtcm_49_20
59,10.22270%2Fjddt.v10i3-s.4173
60,10.3389%2Ffphar.2024.1290888
61,10.3390%2Fplants12213686
62,10.30750%2Fijpbr.1.4.26
63,10.1155%2F2017%2F9789802
64,10.1016%2Fj.foodres.2018.03.072
65,10.3389%2Ffphar.2025.1509032
66,10.3389%2Ffphar.2024.1440979
67,10.47743%2Fjemb-2025-238
68,10.1093%2Fjpp%2Frgaa034
69,10.1890%2F12-1313.1
70,10.17576%2Fjsm-2020-4908-07
71,10.1016%2Fj.ccmp.2021.100006
72,10.1086%2F337179
73,10.3390%2Flife11040348
74,10.1016%2Fj.jep.2021.113834
75,10.1016%2Fj.fitote.2023.105466
76,10.14719%2Fpst.1629
77,10.3389%2Ffphar.2024.1483431
78,10.1155%2F2015%2F541591
79,10.14393%2Fbj-v37n0a2021-56306
80,10.14719%2Fpst.8300
81,10.4314%2Ftjpr.v18i3.30
82,10.15562%2Fphytomedicine.2019.99
83,10.1016%2Fs1875-5364%2816%2930088-7
84,10.3389%2Ffcvm.2025.1514911
85,10.22159%2Fijpps.2017v9i10.20399
86,10.4314%2Fjasem.v23i4.9
87,10.4314%2Fajtcam.v13i4.
88,10.1007%2Fs11101-014-9349-1
89,10.17159%2Fsajs.2024%2F14913
90,10.1021%2Facs.jafc.1c08161
91,10.15835%2Fnbha50312918
92,10.15562%2Fphytomedicine.2018.58
93,10.1016%2Fj.biopha.2021.112182
94,10.1093%2Faobpla%2Fplz074
95,10.55779%2Fnsb17112276
96,10.22270%2Fjddt.v9i5.3666
97,10.47836%2Fmjmhs.20.3.45
98,10.30750%2Fijpbr.5.4.5
99,10.30750%2Fijpbr.9.2.2
100,10.14393%2Fbj-v36n3a2020-47881
101,10.1093%2Fecam%2Fnel064
102,10.1016%2Fj.agrcom.2023.100003
103,10.63001%2Ftbs.2025.v20.i02.s2.pp363-370
104,10.1007%2Fs13596-023-00726-x
105,10.22270%2Fjddt.v9i2.2433
106,10.1155%2F2015%2F925631
107,10.14719%2Fpst.2498
108,10.3389%2Ffphar.2021.600139
109,10.24126%2Fjobrc.2020.14.1.585
110,10.29303%2Fjbt.v21i2.2696
111,10.3390%2Fmolecules26041009
112,10.4314%2Fajb.v14i52.
113,10.55544%2Fjrasb.4.2.10
114,10.3389%2Ffphar.2023.1247675
115,10.1007%2Fs11418-014-0861-9
116,10.46488%2Fnept.2025.v24i01.b4182
117,10.22270%2Fjddt.v4i5.949
118,10.30495%2Ftpr.2022.694114
119,10.3390%2Fplants8090306
120,10.3389%2Ffphar.2023.1170145
121,10.5772%2Fintechopen.99646
122,10.3390%2Fhorticulturae8121188
123,10.22146%2Fijp.7071
124,10.5772%2F26989
125,10.1155%2F2013%2F636194
126,10.5772%2Fintechopen.92238
127,10.5451%2Funibas-004872322
128,10.4102%2Fjomped.v8i1.249
129,10.3390%2Fagronomy14091912.
130,10.3390%2Fmolecules26040792
131,10.3390%2Fmolecules27010222
132,10.5772%2Fintechopen.106208
133,10.55544%2Fjrasb.3.3.29
134,10.1016%2Fj.jep.2015.02.041
135,10.15562%2Fphytomedicine.2020.150
136,10.31390%2Fgradschool_disstheses.4026
137,10.4308%2Fhjb.15.3.99
138,10.5281%2Fzenodo.2585379
139,10.14719%2Fpst.2031
140,10.22270%2Fujpr.v4i6.341
141,10.15562%2Fphytomedicine.2018.67
142,10.29228%2Fijpbp.5
143,10.21825%2Faf.v23i1.5037
144,10.22270%2Fjddt.v15i7.7250
145,10.18579%2Fjopcr%2Fv23.1.2
146,10.1016%2Fj.jep.2021.114465
147,10.22159%2Fijap.2019.v11s6.33532
148,10.4102%2Fjomped.v8i1.271
149,10.3390%2Fplants14101451
150,10.22146%2Fjtbb.89174
151,10.3897%2Fpharmacia.69.e87013
152,10.4314%2Fbajopas.v9i1.15
153,10.31878%2Fijcrpp.2018.22.2
154,10.22270%2Fjddt.v8i5-s.2069
155,10.3390%2Fnu16111638
156,10.3389%2Ffnut.2022.929554
157,10.3852%2F11-083
158,10.1155%2F2022%2F6727609
159,10.1007%2Fs11101-006-9031-3
160,10.31018%2Fjans.v1i1.20
161,10.53555%2Fjaz.v42i01.3550
162,10.3390%2Fmolecules26092733
163,10.14295%2Fbjs.v1i2.9
164,10.5073%2Fjabfq.2021.094.011
165,10.5772%2F33694
166,10.15562%2Fphytomedicine.2018.71
167,10.14719%2Fpst.8344
168,10.55544%2Fjrasb.3.5.22
169,10.3390%2Fmolecules27248687
170,10.1007%2Fs00425-019-03311-2
171,10.1038%2Fs41598-023-39254-8
172,10.4314%2Ftjpr.v15i11.28
173,10.3390%2Fnu12092584
174,10.3390%2Fmolecules26020264
175,10.3390%2Fplants9091063
176,10.1080%2F13880209.2021.1950776
177,10.5772%2F26329
178,10.30750%2Fijpbr.9.2.1
179,10.34172%2Fps.2020.8
180,10.70135%2Fseejph.vi.6201
181,10.14719%2Fpst.8577
182,10.55691%2F2278-344x.1059
183,10.29076%2Fissn.2528-7737vol12iss29.2019pp9-19p
184,10.15835%2Fnbha53114326
185,10.22270%2Fjddt.v9i4-s.3256
186,10.1007%2Fs11101-013-9315-3
187,10.15562%2Fphytomedicine.2019.93
188,10.15835%2Fnbha53114080
189,10.4314%2Fajb.v11i65.
190,10.5281%2Fzenodo.6372971
191,10.22270%2Fjddt.v9i4-a.3288
192,10.56238%2Fmethofocusinterv1-060
193,10.4314%2Fajtcam.v10i2.4
194,10.22270%2Fjddt.v15i6.7219
195,10.1155%2F2016%2F7895935
196,10.62940%2Fals.v9i2.944
197,10.3389%2Ffphar.2024.1479963
198,10.3390%2Fplants14020205
199,10.3390%2Fph14111145
200,10.3389%2Ffphar.2025.1526359
201,10.1177%2F1934578x19872929
202,10.4308%2Fhjb.32.6.1643-1653
203,10.1590%2Fs1516-05722013000200019
204,10.3390%2Fijms160612791
205,10.1155%2F2022%2F8442734
206,10.7324%2Fjaps.2017.70534
207,10.22159%2Fijap.2019.v11s6.33524
208,10.4314%2Fjasem.v26i2.20
209,10.3389%2Ffphar.2024.1325283
210,10.3389%2Ffphar.2023.1113583
211,10.3389%2Ffphar.2025.1557136
212,10.3390%2Fplants9060753
213,10.4314%2Fbajopas.v4i1.32
214,10.3389%2Ffphar.2018.01109
215,10.1016%2Fj.toxrep.2021.12.002
216,10.22270%2Fjddt.v15i8.7318
217,10.32947%2Fajps.v20i4.775
218,10.22270%2Fjddt.v9i5-s.3279
219,10.1111%2Fjcmm.17323
220,10.5281%2Fzenodo.8379454
221,10.22270%2Fujpr.v5i2.387
222,10.1080%2F10942912.2022.2158862
223,10.2174%2F2210290601405010163
224,10.14719%2Fpst.3677
225,10.3390%2Fnu15143266
226,10.5073%2Fjfk.2017.02.10
227,10.5138%2F09750185.2259
228,10.5772%2Fintechopen.112696
229,10.3389%2Ffphar.2023.1162036
230,10.15562%2Fphytomedicine.2020.114
231,10.3390%2Fplants13020155
232,10.22270%2Fjddt.v8i5-s.1937
233,10.56042%2Fijnpr.v13i4.44111
234,10.22270%2Fjddt.v8i5-s.1930
235,10.1155%2F2017%2F7597596
236,10.5937%2Fkgjsci2402081z
237,10.5642%2Faliso.19861103.09
238,10.70135%2Fseejph.vi.5535
239,10.5281%2Fzenodo.13764290
240,10.4314%2Fajtcam.v11i6.12
241,10.11588%2Fheidok.00019495
242,10.62940%2Fals.v12i1.3214
243,10.3389%2Ffphar.2023.1242318
244,10.14393%2Fbj-v35n3a2019-41890
245,10.14715%2Fcmb%2F2020.66.4.13
246,10.3389%2Ffphar.2021.768268
247,10.4308%2Fhjb.31.3.457-464
248,10.29327%2F269504.3.1-29
249,10.31878%2Fijcrpp.2021.52.01
250,10.29327%2F269504.3.1-28
251,10.1016%2Fj.bse.2006.11.003
252,10.4314%2Fnjpr.v15i2.
253,10.4314%2Ftjpr.v17i11.
254,10.5772%2Fintechopen.98405
255,10.4314%2Fnjps.v24i1.46388
256,10.3390%2Fmolecules15117603
