,example_compound_name,InChIKey,InChIKey_simp,SMILES,Standard_SMILES,CAS ID,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI
count,421755,421755,421755,421748,421737,363550,421755,421755,421755,413732,421755,421755
unique,148350,148810,96341,101019,96491,10487,27388,25246,25246,23826,358,54948
top,beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,19044-06-5,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,Citrus × aurantium,Asteraceae,10.1002/FFJ.2730100605
freq,2482,2480,3611,2550,3613,15839,1011,1011,1011,1311,63913,901
