,accepted_species,native_tdwg3_codes
1,Elaphoglossum pygmaeum,"('CLM', 'ECU')"
6,Elaphoglossum furfuraceum,"('CLM', 'COS', 'NIC', 'PAN')"
10,Blechnum sessilifolium,"('CLM', 'COS', 'HON')"
12,Maxillaria lipinskae,"('CLM',)"
22,Maxillaria adendrobium,"('CLM', 'COS', 'CPI', 'CUB', 'DOM', 'ECU', 'JAM', 'PAN', 'PER')"
25,Cleistes stricta,"('CLM', 'VEN')"
63,Elaphoglossum eximium,"('BOL', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
71,Elaphoglossum paleaceum,"('BOL', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HAW', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
74,Marcgraviastrum gigantophyllum,"('CLM', 'ECU')"
76,Elaphoglossum plumosum,"('BOL', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
80,Maxillaria jamesonii,"('CLM', 'ECU', 'PER')"
88,Axonopus leptostachyus,"('AGE', 'BOL', 'BZC', 'BZL', 'BZN', 'BZS', 'CLM', 'FRG', 'GUY', 'PAR', 'SUR', 'TRT', 'VEN')"
94,Casearia chocoensis,"('CLM',)"
133,Cyclodium calophyllum,"('BZC', 'CLM', 'PER', 'VEN')"
138,Palicourea egensis,"('BOL', 'BZN', 'CLM', 'VEN')"
156,Critoniopsis mucida,"('CLM',)"
197,Justicia amphibola,"('CLM',)"
210,Acmella repens,"('ALA', 'ARK', 'BOL', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FLA', 'GEO', 'GUA', 'HON', 'LOU', 'MSI', 'MSO', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NCA', 'NIC', 'OKL', 'PAN', 'PAR', 'PER', 'SCA', 'TEN', 'TEX', 'VEN')"
219,Trisetella tenuissima,"('CLM', 'PAN')"
236,Mikania violascens,"('CLM',)"
247,Ayenia morifolia,"('CLM',)"
