,accepted_species,native_tdwg3_codes
270,Koeleria spicata,"('ABT', 'AFG', 'AGE', 'AGS', 'ALT', 'ALU', 'AMU', 'ARI', 'ASK', 'ATP', 'AUT', 'BOL', 'BOR', 'BRC', 'BRY', 'CAL', 'CHC', 'CHI', 'CHM', 'CHN', 'CHQ', 'CHT', 'CHX', 'CLC', 'CLM', 'CLN', 'CLS', 'CNT', 'COL', 'CTA', 'CTM', 'DOM', 'ECU', 'EHM', 'FAL', 'FIN', 'FRA', 'GER', 'GNL', 'GUA', 'HAI', 'ICE', 'IDA', 'IRK', 'IRN', 'ITA', 'JAP', 'KAM', 'KAZ', 'KGZ', 'KHA', 'KOR', 'KRA', 'KUR', 'LAB', 'MAG', 'MAI', 'MAN', 'MAS', 'MIC', 'MIN', 'MNT', 'MON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NBR', 'NCA', 'NCS', 'NEP', 'NEV', 'NFL', 'NOR', 'NSC', 'NSW', 'NUN', 'NWG', 'NWH', 'NWM', 'NWT', 'NWY', 'NZS', 'ONT', 'ORE', 'PAK', 'PEN', 'PER', 'PRM', 'QUE', 'RHO', 'RUE', 'RUN', 'SAK', 'SAS', 'SDA', 'SPA', 'SVA', 'SWE', 'SWI', 'TAI', 'TCS', 'TEN', 'TEX', 'TVA', 'TZK', 'UTA', 'UZB', 'VER', 'VIC', 'VRG', 'WAS', 'WHM', 'WIS', 'WSB', 'WYO', 'YAK', 'YUK')"
403,Kosteletzkya depressa,"('CAY', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'GUA', 'HAI', 'HON', 'JAM', 'LAO', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'TEX', 'VEN')"
410,Chamaecrista cordistipula,"('BOL', 'BZC', 'BZL', 'CLM', 'MXC', 'MXE', 'PAR', 'VEN')"
414,Ida heynderycxii,"('CLM', 'ECU', 'PER', 'VEN')"
421,Ida mejia,"('CLM',)"
432,Oncidium × brandtii,"('CLM',)"
445,Oncidium naevium,"('CLM', 'GUY', 'VEN')"
448,Oncidium colombianum,"('CLM',)"
464,Chamaecrista desvauxii,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'FRG', 'GUY', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')"
503,Ornithocephalus urceilabris,"('CLM',)"
519,Chalybea macrocarpa,"('CLM',)"
524,Radiovittaria minima,"('CLM', 'COS', 'PAN')"
534,Dichaea pendula,"('BOL', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUY', 'HON', 'JAM', 'LEE', 'PAN', 'PER', 'PUE', 'VEN', 'VNA', 'WIN')"
535,Caucaea olivacea,"('CLM', 'ECU')"
559,Pontederia triflora,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'GUY', 'VEN')"
560,Sciodaphyllum huilense,"('CLM',)"
566,Bonamia trichantha,"('CLM', 'COS', 'PAN', 'VEN')"
571,Stigmatopteris ichtiosma,"('CLM', 'CUB', 'ECU')"
572,Sciodaphyllum manus-dei,"('CLM',)"
591,Columnea filamentosa,"('CLM',)"
597,Columnea medicinalis,"('CLM', 'ECU')"
612,Monticalia viridialba,"('CLM',)"
623,Microstachys bidentata,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'SUR', 'VEN')"
651,Monticalia guadalupe,"('CLM',)"
652,Hylenaea praecelsa,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'PAN', 'PER', 'SUR')"
662,Monticalia subarachnoidea,"('CLM',)"
664,Jupunba floribunda,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
677,Monticalia nitida,"('CLM',)"
747,Ruizterania retusa,"('BOL', 'BZL', 'BZN', 'CLM', 'VEN')"
752,Eleocharis retroflexa,"('ALA', 'AND', 'ANG', 'BAN', 'BLZ', 'BOL', 'BOR', 'BOT', 'BZN', 'CAF', 'CBD', 'CHC', 'CHH', 'CHS', 'CLM', 'CON', 'COS', 'CUB', 'DOM', 'ECU', 'EHM', 'ELS', 'FRG', 'GAB', 'GUA', 'GUI', 'GUY', 'HON', 'IND', 'IVO', 'JAM', 'JAW', 'LBR', 'LEE', 'LSI', 'MAU', 'MLI', 'MLY', 'MOL', 'MXG', 'MXT', 'MYA', 'NEP', 'NIC', 'NNS', 'NWG', 'PAN', 'PHI', 'PUE', 'QLD', 'SIE', 'SRL', 'SUL', 'SUM', 'SUR', 'TAN', 'THA', 'TRT', 'VEN', 'VIE', 'WAL', 'WIN', 'ZAI', 'ZAM')"
763,Poulsenia armata,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
804,Huperzia capillaris,"('BOL', 'BZN', 'CLM', 'COS', 'DOM', 'ECU', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
810,Diplazium pulicosum,"('CLM', 'ECU')"
817,Diplazium venulosum,"('CLM', 'ECU', 'PER')"
821,Huperzia mollicoma,"('BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CPI', 'DOM', 'ECU', 'PAN', 'VEN')"
835,Diplazium stenocarpum,"('CLM',)"
857,Protium subserratum,"('BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'VEN')"
858,Turpinia occidentalis,"('BLZ', 'BOL', 'BZC', 'BZN', 'CLM', 'COS', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'VEN', 'WIN')"
868,Elleanthus kalbreyeri,"('CLM',)"
870,Lepanthes schlechteriana,"('CLM',)"
874,Huperzia tetragona,"('BOL', 'CLM', 'ECU', 'PER')"
881,Allophylus amazonicus,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
886,Diodonopsis hoeijeri,"('CLM', 'ECU')"
912,Myrcia ruiziana,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
924,Enneatypus ramiflorus,"('AGE', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'GUY', 'PAN', 'TRT', 'VEN')"
933,Noticastrum marginatum,"('AGE', 'AGW', 'BOL', 'CLM', 'ECU', 'PER', 'VEN')"
975,Myrcia albidotomentosa,"('BZN', 'CLM', 'GUY', 'SUR', 'VEN')"
986,Chlorospatha mirabilis,"('CLM', 'PAN')"
1009,Myrsine latifolia,"('BOL', 'CLM', 'ECU', 'PER')"
1013,Conchocarpus acuminatus,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'PER')"
1024,Heliconia revoluta,"('BZN', 'CLM', 'VEN')"
1030,Micropholis madeirensis,"('BZN', 'CLM', 'PER')"
1034,Andreettaea latilabris,"('CLM', 'VEN')"
1047,Phoradendron crassifolium,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')"
1050,Hymenasplenium delitescens,"('BLZ', 'BOL', 'BZC', 'BZN', 'CLM', 'COS', 'CUB', 'ECU', 'FRG', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
1068,Alternanthera brasiliana,"('AGE', 'ARU', 'BAH', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'NLA', 'PAR', 'PER', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
1088,Dictyocaryum ptarianum,"('BZN', 'CLM', 'GUY', 'PER', 'VEN')"
1094,Pouteria lucumifolia,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
1098,Miconia stephanotricha,"('BZN', 'CLM', 'PER')"
1105,Miconia alata,"('BZC', 'BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
1118,Ctenodon foliolosus,"('BOL', 'BZC', 'BZN', 'CLM')"
1128,Miconia longicoma,"('BZN', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXG', 'MXS', 'NIC', 'PAN', 'PER', 'VEN')"
1132,Miconia tenuifolia,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
1136,Fernandezia theodorii,"('CLM', 'ECU')"
1140,Schizachyrium microstachyum,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'URU', 'VEN', 'WIN')"
1152,Urceolina tenera,"('CLM',)"
1154,Miconia tocociliata,"('BZN', 'CLM', 'VEN')"
1161,Miconia almedae,"('CLM', 'COS', 'ECU', 'PAN')"
1175,Rustia thibaudioides,"('BZN', 'CLM', 'VEN', 'WIN')"
1183,Miconia reitziana,"('CLM', 'COS', 'NIC', 'PAN')"
1184,Miconia melanodesma,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'PAN')"
1193,Miconia tuberculata,"('CLM', 'VEN')"
1222,Urceolina candida,"('CLM', 'ECU', 'PER')"
1225,Miconia jamesluteynii,"('CLM',)"
1236,Goudaea chrysostachys,"('BOL', 'CLM', 'PER', 'TRT')"
1237,Codonanthopsis uleana,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
1258,Dendrophthora virgata,"('CLM', 'PER')"
1269,Rhodostemonodaphne licanioides,"('CLM', 'ECU', 'PER')"
1297,Aetanthus mutisii,"('CLM',)"
1301,Robrichia schomburgkii,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'FRG', 'GUA', 'GUY', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
1302,Appunia tenuiflora,"('BOL', 'BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
1313,Piper consanguineum,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
1316,Blakea droseropila,"('CLM',)"
1318,Allantoma pluriflora,"('BOL', 'BZN', 'CLM', 'PER')"
1328,Sampera pastoensis,"('CLM',)"
1360,Blakea inflata,"('CLM',)"
1361,Saurauia scabra,"('CLM', 'VEN')"
1375,Viburnum undulatum,"('CLM', 'VEN')"
1400,Muhlenbergia rigida,"('AGW', 'ARI', 'BOL', 'CLM', 'ECU', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NWM', 'PER', 'TEX', 'VEN')"
1445,Sobralia candida,"('BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
1457,Prosthechea rhabdobulbon,"('CLM',)"
1468,Paramochloa effusa,"('CLM', 'ECU', 'VEN')"
1472,Jablonskia congesta,"('BZN', 'CLM', 'ECU', 'GUY', 'PER', 'SUR', 'VEN')"
1482,Euplassa saxicola,"('CLM',)"
1498,Trichosalpinx semilunata,"('CLM', 'ECU')"
1500,Guzmania calamifolia,"('CLM', 'PAN')"
1542,Dendrophorbium barkleyanum,"('CLM',)"
1557,Cybianthus schlimii,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')"
1578,Dendrophorbium sotarense,"('CLM', 'ECU')"
1609,Phlebodium pseudoaureum,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'DOM', 'ECU', 'ELS', 'FLA', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TRT', 'VEN')"
1630,Microchilus mosaicus,"('CLM', 'ECU')"
1674,Microchilus paleaceus,"('BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
1699,Microchilus caucanus,"('CLM',)"
1727,Manekia sydowii,"('CLM', 'COS', 'ECU', 'PER', 'VEN')"
1740,Malaxis schneideri,"('CLM',)"
1757,Serpocaulon attenuatum,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'CUB', 'ECU', 'FRG', 'GUY', 'JAM', 'LEE', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
1761,Tachigali physophora,"('BZN', 'CLM', 'VEN')"
1762,Pentacalia chaquiroensis,"('CLM',)"
1771,Ruehssia colombiana,"('CLM',)"
1785,Ocotea cuneifolia,"('CLM', 'ECU', 'PER')"
1789,Aratitiyopea lopezii,"('BZN', 'CLM', 'PER', 'VEN')"
1828,Macropsychanthus circinatus,"('CLM',)"
1831,Macropsychanthus violaceus,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'MXG', 'MXS', 'MXT', 'PAR')"
1845,Senna smithiana,"('CLM', 'VEN')"
1851,Gymnosiphon suaveolens,"('CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
1852,Hemionitis angustifolia,"('CLM', 'COS', 'ELS', 'GAL', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN')"
1859,Duguetia argentea,"('BZN', 'CLM', 'VEN')"
1872,Enterolobium cyclocarpum,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'VEN')"
1874,Senega trichosperma,"('BLZ', 'BZE', 'BZN', 'CLM', 'COS', 'ELS', 'FRG', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'SUR', 'VEN')"
1901,Mickelia bernoullii,"('BLZ', 'BOL', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')"
1926,Bauhinia picta,"('CLM', 'PAN')"
1933,Triphora miserrima,"('CLM', 'CUB', 'DOM', 'HAI')"
2009,Dioscorea pseudorajanioides,"('CLM',)"
2010,Laelia marginata,"('BZN', 'CLM', 'COS', 'FRG', 'GUY', 'SUR', 'VEN')"
2011,Cyperus pallidicolor,"('ARI', 'BOL', 'CLM', 'GUA', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NWM', 'PER')"
2031,Stelis batillacea,"('CLM', 'ECU')"
2037,Stelis killipii,"('CLM',)"
2039,Stelis cordilabia,"('CLM',)"
2041,Aquarius scaber,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'GUY', 'NIC', 'PAR', 'SUR', 'VEN')"
2065,Leucaena trichodes,"('CLM', 'DOM', 'ECU', 'HAI', 'PER', 'VEN', 'VNA')"
2067,Magnolia caricifragrans,"('CLM',)"
2080,Pescatoria hemixantha,"('BZN', 'CLM', 'GUY', 'VEN')"
2084,Acianthera chamelopoda,"('CLM',)"
2093,Stelis cassidis,"('CLM', 'ECU', 'PER')"
2095,Tassadia kamaensis,"('BOL', 'CLM', 'VEN')"
2122,Stelis incerta,"('CLM',)"
2130,Trichanthecium polycomum,"('BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
2138,Specklinia picta,"('BLZ', 'BOL', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'SUR', 'VEN')"
2175,Mapania pycnostachya,"('BZN', 'CLM', 'VEN')"
2177,Specklinia areldii,"('CLM', 'PAN')"
2184,Epidendrum colombianum,"('BOL', 'CLM', 'ECU', 'PER')"
2205,Racinaea ropalocarpa,"('CLM', 'ECU', 'PER')"
2211,Megalastrum palmense,"('CLM', 'COS', 'PAN')"
2213,Paspalum saccharoides,"('BOL', 'CLM', 'COS', 'ECU', 'LEE', 'MXN', 'MXT', 'NIC', 'PAN', 'PER', 'TRT', 'VEN', 'VNA', 'WIN')"
2219,Selaginella sulcata,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PAR', 'SUR')"
2233,Mandevilla scabra,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
2316,Oritrophium limnophilum,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
2320,Sticherus gnidioides,"('CLM', 'ECU')"
2321,Crossothamnus killipii,"('CLM',)"
2367,Heteropsis robusta,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
2374,Miersiella umbellata,"('BZE', 'BZL', 'BZS', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
2393,Chusquea silverstonei,"('CLM',)"
2401,Tetrapterys benthamii,"('CLM',)"
2403,Bertiera viburnoides,"('CLM', 'PAN')"
2471,Arcytophyllum cachirense,"('CLM',)"
2474,Ladenbergia macrocarpa,"('CLM', 'ECU', 'PAN', 'VEN')"
2500,Peritassa peruviana,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
2519,Cestrum alternifolium,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'LEE', 'MXS', 'MXT', 'NIC', 'PAN', 'PUE', 'TRT', 'VEN', 'VNA', 'WIN')"
2546,Rhynchospora consanguinea,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'MXG', 'MXS', 'MXT', 'PAR')"
2564,Cnidoscolus tubulosus,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC')"
2591,Rhynchospora holoschoenoides,"('AGE', 'ANG', 'BAH', 'BEN', 'BLZ', 'BOL', 'BOT', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'CON', 'COS', 'CPP', 'CUB', 'DOM', 'ELS', 'EQG', 'FRG', 'GAB', 'GHA', 'GNB', 'GUA', 'GUI', 'GUY', 'HON', 'IVO', 'JAM', 'LBR', 'LEE', 'MAU', 'MDG', 'MOZ', 'MXG', 'MXS', 'MXT', 'NAM', 'NAT', 'NGR', 'NIC', 'PAN', 'PAR', 'PUE', 'SEN', 'SIE', 'SUR', 'TAN', 'TRT', 'URU', 'VEN', 'WIN', 'ZAI', 'ZAM', 'ZIM')"
2593,Pachira sordida,"('BZN', 'CLM', 'VEN')"
2599,Draconanthes trachysepala,"('CLM', 'VEN')"
2602,Monstera dubia,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'HON', 'MXG', 'MXT', 'NIC', 'PAN', 'PER', 'TRT', 'VEN')"
2609,Moquilea salicifolia,"('CLM',)"
2636,Pruskortizia macrocarpa,"('BZN', 'CLM', 'ECU', 'PER')"
2688,Arenaria lanuginosa,"('AGE', 'AGW', 'ALA', 'ARI', 'BER', 'BOL', 'BZL', 'BZS', 'CAL', 'CLM', 'COL', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'GEO', 'GUA', 'HAI', 'HON', 'JAM', 'LOU', 'MSI', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NCA', 'NEV', 'NIC', 'NWM', 'PAN', 'PER', 'SCA', 'TEN', 'TEX', 'UTA', 'VEN', 'VRG')"
2734,Thelypteris patens,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ELS', 'FLA', 'GAL', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
2738,Euploca humilis,"('ARU', 'BAH', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ELS', 'GUA', 'GUY', 'HAI', 'HON', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PUE', 'TRT', 'VEN', 'VNA', 'WIN')"
2742,Syagrus orinocensis,"('BZN', 'CLM', 'VEN')"
2743,Thelypteris triangularis,"('CLM',)"
2770,Thelypteris longicaulis,"('CLM', 'ECU', 'PAN')"
2771,Scaphyglottis coriacea,"('CLM', 'PAN')"
2774,Thelypteris urbani,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
2786,Thelypteris longifolia,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'GUY', 'HON', 'PAN', 'PAR', 'PER', 'VEN')"
2788,Thelypteris cheilanthoides,"('BOL', 'BZC', 'BZL', 'BZS', 'CLM', 'COS', 'ECU', 'GAL', 'GUA', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'VEN')"
2806,Scaphyglottis imbricata,"('CLM', 'COS', 'FRG', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
2818,Acineta superba,"('CLM', 'ECU', 'PER', 'SUR', 'VEN')"
2837,Thelypteris seemannii,"('CLM', 'COS', 'ECU')"
2870,Goeppertia colombiana,"('CLM',)"
2879,Goeppertia micans,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
2886,Grammitis semihirsuta,"('CLM',)"
2905,Parodiophyllochloa cordovensis,"('AGE', 'AGW', 'BZC', 'BZE', 'BZL', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
2917,Eriotheca roseorum,"('AGW', 'BOL', 'BZC', 'CLM', 'ECU', 'PER')"
2940,Bredemeyera divaricata,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'TRT', 'VEN')"
2958,Ludwigia helminthorrhiza,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'ECU', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')"
2972,Schoenoplectus californicus,"('AGE', 'AGS', 'AGW', 'ALA', 'ARI', 'ARK', 'BOL', 'BZS', 'CAL', 'CLC', 'CLM', 'CLN', 'CLS', 'COS', 'EAS', 'ECU', 'ELS', 'FAL', 'FLA', 'GEO', 'GUA', 'HON', 'KAN', 'LOU', 'MSI', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NCA', 'NEV', 'NWM', 'OKL', 'PAR', 'PER', 'SCA', 'TEN', 'TEX', 'URU')"
2975,Jamesonia longipetiolata,"('CLM', 'ECU')"
2984,Myriopus salzmannii,"('AGE', 'AGW', 'BOL', 'BZE', 'BZL', 'BZS', 'CLM', 'PAR', 'PER')"
2996,Epiphyllum thomasianum,"('CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXG', 'MXT', 'NIC', 'PAN')"
3011,Erycina pumilio,"('BZL', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'HON', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
3014,Jamesonia novogranatensis,"('BOL', 'CLM', 'COS', 'ECU', 'NIC', 'PAN')"
3018,Mauritiella pumila,"('CLM', 'VEN')"
3051,Clinopodium cercocarpoides,"('CLM', 'ECU')"
3114,Oligactis latifolia,"('CLM',)"
3125,Gurania capitata,"('BOL', 'CLM', 'PAN', 'PER')"
3128,Libidibia punctata,"('CLM', 'VEN', 'VNA')"
3131,Syngonanthus bisumbellatus,"('BZC', 'BZE', 'BZN', 'CLM', 'GUY', 'VEN')"
3136,Biophytum calophyllum,"('BZN', 'CLM', 'VEN')"
3148,Reinhardtia koschnyana,"('CLM', 'COS', 'HON', 'NIC', 'PAN')"
3151,Sagittaria subulata,"('ALA', 'CLM', 'CNT', 'DEL', 'FLA', 'GEO', 'MAS', 'MRY', 'MSI', 'NCA', 'NWJ', 'NWY', 'PEN', 'RHO', 'SCA', 'VEN', 'VRG', 'WDC')"
