,accepted_ipni_id,accepted_name_x,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,accepted_name_y,native_tdwg3_codes,intro_tdwg3_codes
count,23318,23329,23329,23329,23329,23329,23329,23329,23329,23329,23329,23318,23329,23329,23329,1,23329,76,23329,0,0,6771,23329,1876,23329,23322,23322,28,23328,18582,21452,23329,23329,23329,7253,482,0,23329,23329,78,23326,23329,23329,23318,23329,23329,23329,792
unique,23318,23329,23329,247,1,2371,2371,2371,2371,1,23329,23318,1,1,247,1,2371,1,12097,0,0,958,3160,97,1096,15624,354,9,4181,169,8,23329,6642,23329,7253,212,0,2371,23329,77,2,23329,23329,23318,23329,23329,4887,544
top,82296-2,Disterigma dumontii,Disterigma dumontii Luteyn,Orchidaceae,Species,Epidendrum,Epidendrum L.,67664,326435-2,Genus,2773219,82296-2,Species,Accepted,Orchidaceae,×,Epidendrum,×,colombiana,,,Kunth,Cuatrec.,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Phytologia,: 263,(1950),", nom. cons.",Colombia,tree,wet tropical,Disterigma dumontii,Luer & R.Escobar,2773219,40480,Kunth,,67664,82296-2,O. alexandrae × O. luteopurpureum,Y,Disterigma dumontii,Disterigma dumontii Luteyn,82296-2,2773219,Disterigma dumontii,"('CLM',)","('TRT',)"
freq,1,1,1,4481,23329,562,562,562,562,23329,1,1,23329,23329,4481,1,562,76,114,,,411,590,414,812,19,465,20,4691,3566,18548,1,536,1,1,23,,562,1,2,12643,1,1,1,1,1,7709,37
