,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,139,5526,390.488511617703,-251.488511617703,False,False,0.6381514759537088
1,Achariaceae,21,177,14.595054653203182,6.4049453467968185,False,False,0.6381514759537088
2,Acoraceae,4,4,2.437722805220668,1.5622771947793321,False,False,0.6381514759537088
3,Actinidiaceae,16,449,33.70947235638956,-17.70947235638956,False,False,0.6381514759537088
4,Aizoaceae,60,1799,128.57882492735138,-68.57882492735138,False,False,0.6381514759537088
5,Akaniaceae,2,2,2.2971756162266503,-0.29717561622665034,False,False,0.6381514759537088
6,Alismataceae,8,122,10.730006955867701,-2.730006955867701,False,False,0.6381514759537088
7,Alstroemeriaceae,19,260,20.427762996454906,-1.4277629964549057,False,False,0.6381514759537088
8,Altingiaceae,3,15,3.210732344687764,-0.2107323446877638,False,False,0.6381514759537088
9,Alzateaceae,1,1,2.2269020217296416,-1.2269020217296416,False,False,0.6381514759537088
10,Amaranthaceae,155,2411,171.5862647595207,-16.586264759520702,False,False,0.6381514759537088
11,Amaryllidaceae,241,2535,180.30019047714978,60.69980952285022,False,False,0.6381514759537088
12,Amborellaceae,1,1,2.2269020217296416,-1.2269020217296416,False,False,0.6381514759537088
13,Anacardiaceae,89,941,68.28408084891787,20.715919151082133,False,False,0.6381514759537088
14,Ancistrocladaceae,14,20,3.562100317172808,10.437899682827192,False,False,0.6381514759537088
15,Anisophylleaceae,3,57,6.162223313562132,-3.162223313562132,False,False,0.6381514759537088
16,Annonaceae,342,2577,183.25168144602418,158.74831855397582,False,False,0.6381514759537088
17,Aphloiaceae,1,1,2.2269020217296416,-1.2269020217296416,False,False,0.6381514759537088
18,Apiaceae,576,3958,280.2995154463933,295.7004845536067,False,False,0.6381514759537088
19,Apocynaceae,540,6707,473.4816267186703,66.51837328132967,False,False,0.6381514759537088
20,Aquifoliaceae,77,574,42.49367166851565,34.50632833148435,False,False,0.6381514759537088
21,Araceae,118,4593,324.9232479519938,-206.9232479519938,False,False,0.6381514759537088
22,Araliaceae,109,1686,120.63790874918938,-11.637908749189378,False,False,0.6381514759537088
23,Araucariaceae,18,38,4.827025018118965,13.172974981881035,False,False,0.6381514759537088
24,Arecaceae,55,2527,179.73800172117376,-124.73800172117376,False,False,0.6381514759537088
25,Aristolochiaceae,126,760,55.56456024495928,70.43543975504072,False,False,0.6381514759537088
26,Asparagaceae,260,3552,251.76843608060773,8.231563919392272,False,False,0.6381514759537088
27,Asphodelaceae,227,1263,90.91217827695468,136.08782172304532,False,False,0.6381514759537088
28,Aspleniaceae,67,3425,242.8436895794876,-175.8436895794876,False,False,0.6381514759537088
29,Asteraceae,4046,35217,2476.9818058283895,1569.0181941716105,True,False,0.6381514759537088
30,Atherospermataceae,13,17,3.3512795336817813,9.648720466318219,False,False,0.6381514759537088
31,Austrobaileyaceae,1,1,2.2269020217296416,-1.2269020217296416,False,False,0.6381514759537088
32,Balanopaceae,1,9,2.7890907777057117,-1.7890907777057117,False,False,0.6381514759537088
33,Balanophoraceae,15,61,6.443317691550167,8.556682308449833,False,False,0.6381514759537088
34,Balsaminaceae,10,1172,84.51728117772689,-74.51728117772689,False,False,0.6381514759537088
35,Basellaceae,6,19,3.491826722675799,2.508173277324201,False,False,0.6381514759537088
36,Bataceae,1,2,2.2971756162266503,-1.2971756162266503,False,False,0.6381514759537088
37,Begoniaceae,10,2136,152.2610262728433,-142.2610262728433,False,False,0.6381514759537088
38,Berberidaceae,149,739,54.0888147605221,94.9111852394779,False,False,0.6381514759537088
39,Berberidopsidaceae,1,4,2.437722805220668,-1.4377228052206679,False,False,0.6381514759537088
40,Betulaceae,59,210,16.91408327160447,42.08591672839553,False,False,0.6381514759537088
41,Biebersteiniaceae,3,4,2.437722805220668,0.5622771947793321,False,False,0.6381514759537088
42,Bignoniaceae,99,904,65.68395785252855,33.31604214747145,False,False,0.6381514759537088
43,Bixaceae,6,27,4.054015478651869,1.945984521348131,False,False,0.6381514759537088
