,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,16,5526,10.091106124523034,5.908893875476966,False,False,0.4105286387248954
1,Amaranthaceae,5,2411,5.97810270283029,-0.9781027028302898,False,False,0.4105286387248954
2,Amaryllidaceae,14,2535,6.141830607899278,7.858169392100722,False,False,0.4105286387248954
3,Anacardiaceae,6,941,4.03713479596405,1.9628652040359498,False,False,0.4105286387248954
4,Annonaceae,3,2577,6.197286833809742,-3.197286833809742,False,False,0.4105286387248954
5,Apiaceae,17,3958,8.020740357199045,8.979259642800955,False,False,0.4105286387248954
6,Apocynaceae,12,6707,11.650482381672031,0.3495176183279689,False,False,0.4105286387248954
7,Araliaceae,4,1686,5.0208226127091855,-1.0208226127091855,False,False,0.4105286387248954
8,Aristolochiaceae,1,760,3.798144870016575,-2.798144870016575,False,False,0.4105286387248954
9,Asparagaceae,1,3552,7.484663506731227,-6.484663506731227,False,False,0.4105286387248954
10,Asphodelaceae,1,1263,4.462299194610941,-3.4622991946109414,False,False,0.4105286387248954
11,Asteraceae,62,35217,49.294696684227446,12.705303315772554,False,False,0.4105286387248954
12,Berberidaceae,2,739,3.7704167570613434,-1.7704167570613434,False,False,0.4105286387248954
13,Bignoniaceae,7,904,3.9882805017095944,3.0117194982904056,False,False,0.4105286387248954
14,Boraginaceae,13,3507,7.425246121827159,5.574753878172841,False,False,0.4105286387248954
15,Brassicaceae,7,4238,8.390448529935473,-1.3904485299354725,False,False,0.4105286387248954
16,Burseraceae,2,770,3.8113487333285905,-1.8113487333285905,False,False,0.4105286387248954
17,Calophyllaceae,1,437,3.3716600850384832,-2.3716600850384832,False,False,0.4105286387248954
18,Campanulaceae,7,2517,6.11806365393765,0.8819363460623499,False,False,0.4105286387248954
19,Cannabaceae,1,113,2.94385491372919,-1.94385491372919,False,False,0.4105286387248954
20,Capparaceae,1,438,3.3729804713696847,-2.3729804713696847,False,False,0.4105286387248954
21,Caryocaraceae,5,26,2.8289813029146575,2.1710186970853425,False,False,0.4105286387248954
22,Celastraceae,2,1365,4.596978600393497,-2.5969786003934967,False,False,0.4105286387248954
23,Chloranthaceae,3,75,2.893680233143532,0.10631976685646816,False,False,0.4105286387248954
24,Chrysobalanaceae,1,546,3.5155821951394493,-2.5155821951394493,False,False,0.4105286387248954
25,Clusiaceae,1,909,3.9948824333656017,-2.9948824333656017,False,False,0.4105286387248954
26,Colchicaceae,1,295,3.184165226007867,-2.184165226007867,False,False,0.4105286387248954
27,Combretaceae,2,586,3.56839764838751,-1.56839764838751,False,False,0.4105286387248954
28,Connaraceae,1,241,3.1128643641229847,-2.1128643641229847,False,False,0.4105286387248954
29,Convolvulaceae,1,1979,5.407695807751232,-4.407695807751232,False,False,0.4105286387248954
30,Cornaceae,1,113,2.94385491372919,-1.94385491372919,False,False,0.4105286387248954
31,Cucurbitaceae,3,1065,4.2008627010330395,-1.2008627010330395,False,False,0.4105286387248954
32,Cyperaceae,1,6053,10.786949721066236,-9.786949721066236,False,False,0.4105286387248954
33,Dilleniaceae,2,616,3.6080092383235556,-1.6080092383235556,False,False,0.4105286387248954
34,Droseraceae,3,276,3.159077885715038,-0.15907788571503811,False,False,0.4105286387248954
35,Ebenaceae,7,813,3.868125345570256,3.131874654429744,False,False,0.4105286387248954
36,Elaeagnaceae,1,107,2.935932595741981,-1.9359325957419808,False,False,0.4105286387248954
37,Euphorbiaceae,19,6554,11.448463272998199,7.5515367270018015,False,False,0.4105286387248954
38,Fabaceae,50,22681,32.74233363628515,17.257666363714847,False,False,0.4105286387248954
39,Gentianaceae,2,1896,5.298103742261505,-3.298103742261505,False,False,0.4105286387248954
40,Geraniaceae,1,820,3.8773680498886662,-2.8773680498886662,False,False,0.4105286387248954
41,Hypericaceae,5,636,3.634416964947586,1.3655830350524139,False,False,0.4105286387248954
42,Iridaceae,4,2613,6.2448207417329975,-2.2448207417329975,False,False,0.4105286387248954
43,Juglandaceae,1,84,2.905563710124346,-1.9055637101243459,False,False,0.4105286387248954
44,Kirkiaceae,2,6,2.802573576290627,-0.802573576290627,False,False,0.4105286387248954
45,Lamiaceae,70,8229,13.660110377760748,56.339889622239255,True,False,0.4105286387248954
46,Lauraceae,37,3424,7.315654056337432,29.684345943662567,True,False,0.4105286387248954
47,Loranthaceae,1,1076,4.2153869506762565,-3.2153869506762565,False,False,0.4105286387248954
48,Lythraceae,1,701,3.720242076475685,-2.720242076475685,False,False,0.4105286387248954
49,Malpighiaceae,2,1494,4.767308437118492,-2.7673084371184924,False,False,0.4105286387248954
50,Malvaceae,15,5572,10.151843895758303,4.848156104241697,False,False,0.4105286387248954
51,Melastomataceae,2,6012,10.732813881486972,-8.732813881486972,False,False,0.4105286387248954
52,Meliaceae,5,772,3.8139895059909934,1.1860104940090066,False,False,0.4105286387248954
53,Menispermaceae,1,554,3.5261452857890614,-2.5261452857890614,False,False,0.4105286387248954
54,Moraceae,2,1302,4.5137942615278,-2.5137942615278,False,False,0.4105286387248954
55,Moringaceae,1,13,2.8118162806090377,-1.8118162806090377,False,False,0.4105286387248954
56,Musaceae,1,98,2.924049118761167,-1.9240491187611668,False,False,0.4105286387248954
