,refDOI
68,10.15562_phytomedicine.2020.114
69,10.15562_phytomedicine.2020.150
70,10.15835_nbha50312918
71,10.15835_nbha53114080
72,10.15835_nbha53114326
73,10.1590_1519-6984.166532
74,10.1590_s0102-33062012000300010.
75,10.1590_s1516-05722013000200019
76,10.1590_s1677-04202003000300004
77,10.17159_sajs.2024_14913
78,10.17576_jsm-2020-4908-07
79,10.17863_cam.12533
80,10.18579_jopcr_v23.1.2
81,10.1890_12-1313.1
82,10.21010_ajtcam.v13i4.15
83,10.2174_2210290601001010024
84,10.2174_2210290601405010163
85,10.21825_af.v23i1.5037
86,10.22146_ijp.7071
87,10.22146_jtbb.89174
88,10.22159_ijap.2019.v11s6.33524
89,10.22159_ijap.2019.v11s6.33532
90,10.22159_ijpps.2017v9i10.20399
91,10.22270_hjhs.v7i2.125
92,10.22270_jddt.v10i3-s.4173
93,10.22270_jddt.v15i6.7219
94,10.22270_jddt.v15i7.7250
95,10.22270_jddt.v15i8.7318
96,10.22270_jddt.v3i6.688
97,10.22270_jddt.v4i5.949
98,10.22270_jddt.v7i6.1522
99,10.22270_jddt.v8i5-s.1930
100,10.22270_jddt.v8i5-s.1937
101,10.22270_jddt.v8i5-s.2069
102,10.22270_jddt.v9i1.2218
103,10.22270_jddt.v9i2.2433
104,10.22270_jddt.v9i4-a.3288
105,10.22270_jddt.v9i4-s.3256
106,10.22270_jddt.v9i5-s.3279
107,10.22270_jddt.v9i5.3666
108,10.22270_ujpr.v4i6.341
109,10.22270_ujpr.v5i2.387
110,10.24126_jobrc.2020.14.1.585
111,10.24193_subbchem.2019.4.15
112,10.29076_issn.2528-7737vol12iss29.2019pp9-19p
113,10.29228_ijpbp.5
114,10.29303_jbt.v21i2.2696
115,10.29327_269504.3.1-28
116,10.29327_269504.3.1-29
117,10.30495_tpr.2022.694114
118,10.30750_ijpbr.1.4.26
119,10.30750_ijpbr.5.4.2
120,10.30750_ijpbr.5.4.5
121,10.30750_ijpbr.9.2.1
122,10.30750_ijpbr.9.2.2
123,10.31018_jans.v1i1.20
124,10.3126_bibechana.v20i3.57711
125,10.31390_gradschool_disstheses.4026
126,10.31878_ijcrpp.2018.22.2
127,10.31878_ijcrpp.2021.52.01
128,10.32947_ajps.v20i4.775
129,10.3389_fcvm.2025.1514911
130,10.3389_fnut.2022.929554
131,10.3389_fphar.2018.01109
132,10.3389_fphar.2018.01177
133,10.3389_fphar.2019.00025
134,10.3389_fphar.2021.600139
135,10.3389_fphar.2021.768268
136,10.3389_fphar.2022.849704_full
137,10.3389_fphar.2023.1113583
138,10.3389_fphar.2023.1162036
139,10.3389_fphar.2023.1170145
140,10.3389_fphar.2023.1242318
141,10.3389_fphar.2023.1247675
142,10.3389_fphar.2024.1290888
143,10.3389_fphar.2024.1325283
144,10.3389_fphar.2024.1427019
145,10.3389_fphar.2024.1440979
146,10.3389_fphar.2024.1479963
147,10.3389_fphar.2024.1483431
148,10.3389_fphar.2025.1509032
149,10.3389_fphar.2025.1526359
150,10.3389_fphar.2025.1557136
151,10.3389_fphar.2025.1581659
152,10.3389_fpls.2023.1228844
153,10.3390_agronomy14091912.
154,10.3390_horticulturae8121188
155,10.3390_ijms160612791
156,10.3390_life11040348
157,10.3390_molecules15117603
158,10.3390_molecules24071364
159,10.3390_molecules25112611
160,10.3390_molecules26020264
161,10.3390_molecules26040792
162,10.3390_molecules26041009
163,10.3390_molecules26082306
164,10.3390_molecules26092733
165,10.3390_molecules27010222
166,10.3390_molecules27217532
167,10.3390_molecules27248687
168,10.3390_nu12092584
169,10.3390_nu15143266
170,10.3390_nu16111638
171,10.3390_ph14111145
172,10.3390_ph16101390.
173,10.3390_plants10071468
174,10.3390_plants12213686
175,10.3390_plants13020155
176,10.3390_plants14020205
177,10.3390_plants14101451
178,10.3390_plants8090306
179,10.3390_plants9030298
180,10.3390_plants9060753
181,10.3390_plants9091063
182,10.3390_plants9091066
183,10.3390_scipharm90010004.
184,10.34172_ps.2020.8
185,10.3852_11-083
186,10.3897_pharmacia.69.e87013
187,10.4102_jomped.v7i1.202
188,10.4102_jomped.v8i1.249
189,10.4102_jomped.v8i1.271
190,10.4103_wjtcm.wjtcm_49_20
191,10.4308_hjb.15.3.99
192,10.4308_hjb.31.3.457-464
193,10.4308_hjb.32.6.1643-1653
194,10.4314_ajb.v11i65.
195,10.4314_ajb.v14i52.
196,10.4314_ajtcam.v10i2.4
197,10.4314_ajtcam.v11i6.12
198,10.4314_ajtcam.v13i4.
199,10.4314_bajopas.v4i1.32
200,10.4314_bajopas.v9i1.15
201,10.4314_jasem.v23i4.9
202,10.4314_jasem.v26i2.20
203,10.4314_njpr.v15i2.
204,10.4314_njps.v24i1.46388
205,10.4314_orapj.v5i1.9
206,10.4314_tjpr.v15i11.28
207,10.4314_tjpr.v17i11.
208,10.4314_tjpr.v17i2.24
209,10.4314_tjpr.v18i10.31
210,10.4314_tjpr.v18i3.30
211,10.4314_tjpr.v19i5.30
212,10.46243_jst.2023.v8.i05.pp57-71
213,10.46488_nept.2025.v24i01.b4182
214,10.47743_jemb-2025-238
215,10.47836_mjmhs.20.3.45
216,10.48130_mpb-0024-0003
217,10.5073_jabfq.2021.094.011
218,10.5073_jfk.2017.02.10
219,10.5138_09750185.2259
220,10.52783_jchr.v14.i3.4789
221,10.52783_jchr.v14.i4.5453
222,10.5281_zenodo.13764290
223,10.5281_zenodo.2585379
224,10.5281_zenodo.6372971
225,10.5281_zenodo.8379454
226,10.53555_jaz.v42i01.3550
227,10.5451_unibas-004872322
228,10.55544_jrasb.3.3.22
229,10.55544_jrasb.3.3.29
230,10.55544_jrasb.3.5.22
231,10.55544_jrasb.4.2.10
232,10.55691_2278-344x.1059
233,10.55779_nsb17112276
234,10.56042_ijnpr.v13i4.44111
235,10.56238_methofocusinterv1-060
236,10.5642_aliso.19861103.09
237,10.5772_26329
238,10.5772_26989
239,10.5772_27695
240,10.5772_33694
241,10.5772_66605
242,10.5772_intechopen.106208
243,10.5772_intechopen.112696
244,10.5772_intechopen.92238
245,10.5772_intechopen.98405
246,10.5772_intechopen.99646
247,10.5902_2179460x22021
248,10.5937_kgjsci2402081z
249,10.62940_als.v12i1.3214
250,10.62940_als.v9i2.944
251,10.63001_tbs.2025.v20.i02.s2.pp363-370
252,10.70135_seejph.vi.5535
253,10.70135_seejph.vi.6201
254,10.7324_japs.2017.70333
255,10.7324_japs.2017.70534
256,10.7454_ijmcb.v3i2.1038
