,refDOI
0,10.1007_s00425-019-03311-2
1,10.1007_s11101-006-9031-3
2,10.1007_s11101-013-9315-3
3,10.1007_s11101-014-9349-1
4,10.1007_s11418-014-0861-9
5,10.1007_s13596-023-00726-x
6,10.1016_j.agrcom.2023.100003
7,10.1016_j.biopha.2021.112182
8,10.1016_j.bjp.2014.09.004
9,10.1016_j.bse.2006.11.003
10,10.1016_j.ccmp.2021.100006
11,10.1016_j.fitote.2023.105466
12,10.1016_j.foodres.2018.03.072
13,10.1016_j.jep.2015.02.041
14,10.1016_j.jep.2016.06.060
15,10.1016_j.jep.2019.111932
16,10.1016_j.jep.2021.113834
17,10.1016_j.jep.2021.114465
18,10.1016_j.jspr.2017.09.003
19,10.1016_j.phytochem.2017.04.005
20,10.1016_j.toxrep.2021.12.002
21,10.1016_s1875-5364(16)30088-7
22,10.1021_acs.jafc.1c08161
23,10.1021_bk-2009-1021.ch005
24,10.1038_s41598-023-39254-8
25,10.1080_10942912.2022.2158862
26,10.1080_13880209.2021.1950776
27,10.1086_337179
28,10.1093_aobpla_plz074
29,10.1093_ecam_nel064
30,10.1093_jpp_rgaa034
31,10.1111_jcmm.17323
32,10.1142_s0192415x23500404
33,10.1155_2013_579319
34,10.1155_2013_636194
35,10.1155_2015_138039
36,10.1155_2015_541591
37,10.1155_2015_925631
38,10.1155_2016_7895935
39,10.1155_2017_7597596
40,10.1155_2017_9789802
41,10.1155_2022_6727609
42,10.1155_2022_8442734
43,10.11588_heidok.00019495
44,10.1177_1934578x19872929
45,10.1177_1934578x19880645
46,10.1201_9781003221968
47,10.1371_journal.pone.0027480
48,10.14295_bjs.v1i2.9
49,10.14393_bj-v35n3a2019-41890
50,10.14393_bj-v36n3a2020-47881
51,10.14393_bj-v37n0a2021-56306
52,10.14715_cmb_2020.66.4.13
53,10.14719_pst.1629
54,10.14719_pst.1737
55,10.14719_pst.2021.8.4.1334
56,10.14719_pst.2031
57,10.14719_pst.2498
58,10.14719_pst.3677
59,10.14719_pst.8300
60,10.14719_pst.8344
61,10.14719_pst.8577
62,10.15123_uel.86z82
63,10.15562_phytomedicine.2018.58
64,10.15562_phytomedicine.2018.67
65,10.15562_phytomedicine.2018.71
66,10.15562_phytomedicine.2019.93
67,10.15562_phytomedicine.2019.99
