,family,Species per Family in Data,Species per Family,Species per Family in Data_loess_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,70,5526,159.7521563196665,-89.75215631966651,False,False,0.5474457932784171
1,Achariaceae,7,177,6.972760974611849,0.027239025388150928,False,False,0.5474457932784171
2,Acoraceae,3,4,3.0520471422569346,-0.05204714225693463,False,False,0.5474457932784171
3,Actinidiaceae,13,449,12.45010143373615,0.5498985662638507,False,False,0.5474457932784171
4,Aizoaceae,19,1799,62.003158572039744,-43.003158572039744,False,False,0.5474457932784171
5,Akaniaceae,2,2,3.003167023968544,-1.003167023968544,False,False,0.5474457932784171
6,Alismataceae,4,122,5.80166514143718,-1.80166514143718,False,False,0.5474457932784171
7,Alstroemeriaceae,5,260,8.21044845714572,-3.21044845714572,False,False,0.5474457932784171
8,Altingiaceae,3,15,3.319346090345408,-0.31934609034540795,False,False,0.5474457932784171
9,Amaranthaceae,66,2411,78.86932770154205,-12.869327701542048,False,False,0.5474457932784171
10,Amaryllidaceae,135,2535,81.8043910757259,53.1956089242741,False,False,0.5474457932784171
11,Anacardiaceae,55,941,37.60751859196337,17.39248140803663,False,False,0.5474457932784171
12,Ancistrocladaceae,12,20,3.4400082265463587,8.55999177345364,False,False,0.5474457932784171
13,Anisophylleaceae,1,57,4.318071669102465,-3.3180716691024648,False,False,0.5474457932784171
14,Annonaceae,206,2577,82.66237279669475,123.33762720330525,False,False,0.5474457932784171
15,Aphloiaceae,1,1,2.978694155819028,-1.9786941558190279,False,False,0.5474457932784171
16,Apiaceae,278,3958,117.61618049186671,160.38381950813329,False,False,0.5474457932784171
17,Apocynaceae,342,6707,191.60431841398895,150.39568158601105,False,False,0.5474457932784171
18,Aquifoliaceae,14,574,18.612337922787507,-4.612337922787507,False,False,0.5474457932784171
19,Araceae,34,4593,134.7372304373174,-100.73723043731741,False,False,0.5474457932784171
20,Araliaceae,46,1686,58.82688521995031,-12.826885219950313,False,False,0.5474457932784171
21,Araucariaceae,11,38,3.8703266657126134,7.129673334287387,False,False,0.5474457932784171
22,Arecaceae,33,2527,81.63425425845031,-48.63425425845031,False,False,0.5474457932784171
23,Aristolochiaceae,49,760,28.639771062493026,20.360228937506974,False,False,0.5474457932784171
24,Asparagaceae,138,3552,106.28131079327915,31.718689206720853,False,False,0.5474457932784171
25,Asphodelaceae,59,1263,47.96182839860633,11.038171601393671,False,False,0.5474457932784171
26,Aspleniaceae,52,3425,102.54708518265267,-50.547085182652665,False,False,0.5474457932784171
27,Asteraceae,1596,35217,964.6061452192346,631.3938547807654,True,False,0.5474457932784171
28,Atherospermataceae,10,17,3.367672082359166,6.6323279176408345,False,False,0.5474457932784171
29,Austrobaileyaceae,1,1,2.978694155819028,-1.9786941558190279,False,False,0.5474457932784171
30,Balanopaceae,1,9,3.1738672308692517,-2.1738672308692517,False,False,0.5474457932784171
31,Balanophoraceae,9,61,4.411519874990463,4.588480125009537,False,False,0.5474457932784171
32,Balsaminaceae,5,1172,45.62631314333803,-40.62631314333803,False,False,0.5474457932784171
33,Basellaceae,4,19,3.4159163982954643,0.5840836017045357,False,False,0.5474457932784171
34,Bataceae,1,2,3.003167023968544,-2.003167023968544,False,False,0.5474457932784171
35,Begoniaceae,4,2136,71.4425066527788,-67.4425066527788,False,False,0.5474457932784171
36,Berberidaceae,95,739,27.534562459058854,67.46543754094114,False,False,0.5474457932784171
37,Betulaceae,27,210,7.584786960496697,19.415213039503303,False,False,0.5474457932784171
38,Biebersteiniaceae,3,4,3.0520471422569346,-0.05204714225693463,False,False,0.5474457932784171
39,Bignoniaceae,53,904,35.869343913436715,17.130656086563285,False,False,0.5474457932784171
40,Bixaceae,5,27,3.6080947809506982,1.3919052190493018,False,False,0.5474457932784171
41,Bonnetiaceae,1,38,3.8703266657126134,-2.8703266657126134,False,False,0.5474457932784171
42,Boraginaceae,139,3507,104.97000787520979,34.02999212479021,False,False,0.5474457932784171
43,Brassicaceae,310,4238,125.19702298852883,184.80297701147117,False,False,0.5474457932784171
44,Bromeliaceae,20,3720,111.05885257250269,-91.05885257250269,False,False,0.5474457932784171
45,Burseraceae,29,770,29.159864492965806,-0.15986449296580574,False,False,0.5474457932784171
46,Buxaceae,15,129,5.956520233607615,9.043479766392384,False,False,0.5474457932784171
47,Cabombaceae,1,7,3.1252040518453024,-2.1252040518453024,False,False,0.5474457932784171
48,Cactaceae,76,1984,67.21305974901071,8.78694025098929,False,False,0.5474457932784171
49,Calceolariaceae,7,274,8.322186326736992,-1.3221863267369915,False,False,0.5474457932784171
50,Calophyllaceae,55,437,12.015032841083757,42.98496715891624,False,False,0.5474457932784171
51,Calycanthaceae,4,11,3.2224447060861974,0.7775552939138026,False,False,0.5474457932784171
52,Calyceraceae,1,47,4.083220582001159,-3.083220582001159,False,False,0.5474457932784171
53,Campanulaceae,30,2517,81.41813701905711,-51.41813701905711,False,False,0.5474457932784171
54,Canellaceae,10,23,3.51216369884579,6.487836301154211,False,False,0.5474457932784171
55,Cannabaceae,8,113,5.600941606587298,2.3990583934127017,False,False,0.5474457932784171
56,Cannaceae,2,12,3.2467015642921644,-1.2467015642921644,False,False,0.5474457932784171
57,Capparaceae,35,438,12.050153216754618,22.949846783245384,False,False,0.5474457932784171
58,Caprifoliaceae,63,1120,44.181865067254975,18.818134932745025,False,False,0.5474457932784171
59,Cardiopteridaceae,2,41,3.9414540580248754,-1.9414540580248754,False,False,0.5474457932784171
60,Caricaceae,7,44,4.012418241748573,2.9875817582514266,False,False,0.5474457932784171
61,Caryocaraceae,1,26,3.5841413070230033,-2.5841413070230033,False,False,0.5474457932784171
62,Caryophyllaceae,56,3403,101.89155444932337,-45.891554449323365,False,False,0.5474457932784171
63,Casuarinaceae,5,91,5.103579911635615,-0.10357991163561486,False,False,0.5474457932784171
64,Celastraceae,79,1365,50.36204794157883,28.63795205842117,False,False,0.5474457932784171
65,Centroplacaceae,1,9,3.1738672308692517,-2.1738672308692517,False,False,0.5474457932784171
66,Cephalotaceae,1,1,2.978694155819028,-1.9786941558190279,False,False,0.5474457932784171
67,Cephalotaxaceae,6,8,3.149546400058398,2.850453599941602,False,False,0.5474457932784171
68,Ceratophyllaceae,1,6,3.1008401048159375,-2.1008401048159375,False,False,0.5474457932784171
69,Cercidiphyllaceae,1,2,3.003167023968544,-2.003167023968544,False,False,0.5474457932784171
70,Chloranthaceae,8,75,4.736408056398386,3.2635919436016136,False,False,0.5474457932784171
71,Chrysobalanaceae,9,546,17.037486038387183,-8.037486038387183,False,False,0.5474457932784171
72,Cistaceae,13,292,8.520983774910958,4.479016225089042,False,False,0.5474457932784171
73,Cleomaceae,27,225,7.8206255824535775,19.179374417546423,False,False,0.5474457932784171
74,Clethraceae,1,100,5.308134709503035,-4.308134709503035,False,False,0.5474457932784171
75,Clusiaceae,115,909,36.113430161288655,78.88656983871135,False,False,0.5474457932784171
76,Colchicaceae,46,295,8.568761565808847,37.43123843419115,False,False,0.5474457932784171
77,Columelliaceae,1,8,3.149546400058398,-2.149546400058398,False,False,0.5474457932784171
78,Combretaceae,32,586,19.278143666303727,12.721856333696273,False,False,0.5474457932784171
79,Commelinaceae,4,782,29.778848708692763,-25.778848708692763,False,False,0.5474457932784171
80,Connaraceae,4,241,8.02981482630374,-4.02981482630374,False,False,0.5474457932784171
81,Convolvulaceae,89,1979,67.0724869816474,21.9275130183526,False,False,0.5474457932784171
82,Coriariaceae,5,17,3.367672082359166,1.632327917640834,False,False,0.5474457932784171
83,Cornaceae,17,113,5.600941606587298,11.399058393412702,False,False,0.5474457932784171
84,Costaceae,3,163,6.6871688808901055,-3.6871688808901055,False,False,0.5474457932784171
85,Crassulaceae,54,1823,62.681270264526404,-8.681270264526404,False,False,0.5474457932784171
86,Crossosomataceae,1,7,3.1252040518453024,-2.1252040518453024,False,False,0.5474457932784171
87,Cucurbitaceae,48,1065,42.53173153697944,5.468268463020557,False,False,0.5474457932784171
88,Cunoniaceae,9,337,9.519636606429941,-0.5196366064299411,False,False,0.5474457932784171
