,extracted_organism_name,extracted_compound_name,accepted_name,accepted_name_w_author,InChIKey_simp,refDOI,pairs
count,5046,5046,5046,5046,5046,5046,5046
unique,592,2496,557,557,2001,201,4738
top,artemisia absinthium l,quercetin,Artemisia absinthium,Artemisia absinthium L.,REFJWTPEDVJJIY,10.30495/tpr.2022.694114,Astragalus mongholicus_WQZGKKKJIJFFOK
freq,150,61,150,150,62,244,6
