,refDOI
0,10.29327%2F269504.3.1-28
1,10.9734%2Fjocamr%2F2019%2Fv8i430130
2,10.25081%2Fjmhe.2020.v6.6431
3,10.11144%2Fjaveriana.sc19-3.mlab
4,10.17169%2Frefubium-47555
5,10.24377%2Fjnpd.article871
6,10.20873%2Fjbb.uft.cemaf.v9n1.menezesfilho
7,10.20873%2Fjbb.uft.cemaf.v10n1.menezes
8,10.21577%2F0100-4042.20250134
9,10.5772%2F28961
