,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
367,SSA,1,2,329.9760254430379,-328.9760254430379,False,False,0.604772446873001
366,ANT,2,3,330.0956578019296,-328.0956578019296,False,False,0.604772446873001
363,MCS,5,10,330.9330843141715,-325.9330843141715,False,False,0.604772446873001
364,HMD,4,11,331.0527166730632,-327.0527166730632,False,False,0.604772446873001
361,HBI,5,12,331.17234903195487,-326.17234903195487,False,False,0.604772446873001
354,WAK,12,22,332.36867262087185,-320.36867262087185,False,False,0.604772446873001
360,CRZ,6,22,332.36867262087185,-326.36867262087185,False,False,0.604772446873001
362,SGE,5,23,332.48830497976354,-327.48830497976354,False,False,0.604772446873001
359,MPE,7,24,332.60793733865523,-325.60793733865523,False,False,0.604772446873001
358,DSV,7,28,333.086466774222,-326.086466774222,False,False,0.604772446873001
352,PHX,14,28,333.086466774222,-319.086466774222,False,False,0.604772446873001
357,ASP,7,32,333.5649962097888,-326.5649962097888,False,False,0.604772446873001
355,KEG,11,32,333.5649962097888,-322.5649962097888,False,False,0.604772446873001
353,ASC,13,36,334.0435256453556,-321.0435256453556,False,False,0.604772446873001
356,EAS,9,41,334.64168743981406,-325.64168743981406,False,False,0.604772446873001
365,MAQ,3,42,334.76131979870576,-331.76131979870576,False,False,0.604772446873001
348,LIN,24,50,335.71837866983935,-311.71837866983935,False,False,0.604772446873001
345,CGS,29,53,336.07727574651443,-307.07727574651443,False,False,0.604772446873001
346,TUV,27,53,336.07727574651443,-309.07727574651443,False,False,0.604772446873001
341,NRU,35,57,336.5558051820812,-301.5558051820812,False,False,0.604772446873001
343,TOK,33,70,338.11102584767326,-305.11102584767326,False,False,0.604772446873001
339,MCI,40,70,338.11102584767326,-298.11102584767326,False,False,0.604772446873001
336,CKI,50,76,338.8288200010235,-288.8288200010235,False,False,0.604772446873001
350,STH,17,89,340.3840406666155,-323.3840406666155,False,False,0.604772446873001
334,GIL,53,96,341.2214671788574,-288.2214671788574,False,False,0.604772446873001
351,TDC,14,98,341.46073189664077,-327.46073189664077,False,False,0.604772446873001
337,SEL,43,98,341.46073189664077,-298.46073189664077,False,False,0.604772446873001
342,PIT,34,118,343.85337907447473,-309.85337907447473,False,False,0.604772446873001
328,MRS,67,125,344.6908055867166,-277.6908055867166,False,False,0.604772446873001
344,KER,30,129,345.16933502228335,-315.16933502228335,False,False,0.604772446873001
335,TUA,52,153,348.0405116356841,-296.0405116356841,False,False,0.604772446873001
316,MDV,104,153,348.0405116356841,-244.04051163568408,False,False,0.604772446873001
323,KZN,78,181,351.3902176846516,-273.3902176846516,False,False,0.604772446873001
349,FAL,18,183,351.629482402435,-333.629482402435,False,False,0.604772446873001
314,LDV,114,183,351.629482402435,-237.62948240243497,False,False,0.604772446873001
322,BER,82,197,353.3043354269187,-271.3043354269187,False,False,0.604772446873001
327,ALD,71,198,353.4239677858104,-282.4239677858104,False,False,0.604772446873001
340,SVA,38,200,353.66323250359386,-315.66323250359386,False,False,0.604772446873001
325,ROD,76,206,354.381026656944,-278.381026656944,False,False,0.604772446873001
331,CPI,60,210,354.8595560925108,-294.8595560925108,False,False,0.604772446873001
309,SCS,131,210,354.8595560925108,-223.8595560925108,False,False,0.604772446873001
347,ATP,25,211,354.9791884514025,-329.9791884514025,False,False,0.604772446873001
318,XMS,101,215,355.4577178869693,-254.4577178869693,False,False,0.604772446873001
329,NUE,67,216,355.577350245861,-288.577350245861,False,False,0.604772446873001
338,JNF,43,262,361.080438754879,-318.080438754879,False,False,0.604772446873001
304,SWC,160,264,361.3197034726624,-201.3197034726624,False,False,0.604772446873001
330,MXI,66,277,362.87492413825447,-296.87492413825447,False,False,0.604772446873001
313,ARU,120,287,364.07124772717145,-244.07124772717145,False,False,0.604772446873001
321,COO,85,294,364.9086742394133,-279.9086742394133,False,False,0.604772446873001
326,SCZ,73,300,365.6264683927635,-292.6264683927635,False,False,0.604772446873001
315,WAL,107,303,365.9853654694386,-258.9853654694386,False,False,0.604772446873001
308,OGA,136,348,371.3688216195649,-235.36882161956493,False,False,0.604772446873001
324,NFK,78,359,372.6847775673736,-294.6847775673736,False,False,0.604772446873001
299,KUW,176,360,372.8044099262653,-196.8044099262653,False,False,0.604772446873001
333,MRQ,58,364,373.28293936183206,-315.28293936183206,False,False,0.604772446873001
332,CTM,60,364,373.28293936183206,-313.28293936183206,False,False,0.604772446873001
303,FOR,162,368,373.7614687973989,-211.7614687973989,False,False,0.604772446873001
319,ALU,96,368,373.7614687973989,-277.7614687973989,False,False,0.604772446873001
320,TUB,87,377,374.8381600274241,-287.8381600274241,False,False,0.604772446873001
298,WSA,177,392,376.63264541079957,-199.63264541079957,False,False,0.604772446873001
307,TCI,144,405,378.18786607639163,-234.18786607639163,False,False,0.604772446873001
310,SEY,128,416,379.5038220242003,-251.5038220242003,False,False,0.604772446873001
300,MRN,172,472,386.2032341221353,-214.2032341221353,False,False,0.604772446873001
294,NLA,194,482,387.3995577110523,-193.3995577110523,False,False,0.604772446873001
301,TON,167,519,391.8259549900451,-224.8259549900451,False,False,0.604772446873001
311,GNL,125,528,392.9026462200703,-267.9026462200703,False,False,0.604772446873001
290,CVI,211,537,393.9793374500956,-182.9793374500956,False,False,0.604772446873001
284,CAY,239,556,396.25235226903783,-157.25235226903783,False,False,0.604772446873001
276,AZO,282,558,396.4916169868212,-114.49161698682121,False,False,0.604772446873001
306,GAL,146,592,400.55911718913893,-254.55911718913893,False,False,0.604772446873001
295,CPV,185,605,402.114337854731,-217.114337854731,False,False,0.604772446873001
305,NUN,155,622,404.1480879558898,-249.14808795588982,False,False,0.604772446873001
312,SCI,124,624,404.38735267367326,-280.38735267367326,False,False,0.604772446873001
279,PEI,275,708,414.4364708205758,-139.43647082057578,False,False,0.604772446873001
263,GST,339,727,416.709485639518,-77.709485639518,False,False,0.604772446873001
291,LAB,207,727,416.709485639518,-209.709485639518,False,False,0.604772446873001
271,DJI,302,776,422.5714712252111,-120.5714712252111,False,False,0.604772446873001
296,ICE,185,787,423.8874271730198,-238.88742717301977,False,False,0.604772446873001
268,GAM,325,800,425.44264783861183,-100.44264783861183,False,False,0.604772446873001
289,SOC,212,801,425.5622801975035,-213.56228019750353,False,False,0.604772446873001
254,MDR,387,814,427.1175008630956,-40.117500863095586,False,False,0.604772446873001
273,VNA,296,827,428.67272152868765,-132.67272152868765,False,False,0.604772446873001
302,SAM,163,860,432.6205893721136,-269.6205893721136,False,False,0.604772446873001
293,CAB,195,936,441.7126486478826,-246.7126486478826,False,False,0.604772446873001
297,REU,179,992,448.4120607458176,-269.4120607458176,False,False,0.604772446873001
292,MAU,203,1002,449.6083843347346,-246.60838433473458,False,False,0.604772446873001
255,MTN,386,1009,450.4458108469764,-64.44581084697643,False,False,0.604772446873001
274,NFL,286,1011,450.6850755647598,-164.6850755647598,False,False,0.604772446873001
283,CRL,241,1036,453.67588453705224,-212.67588453705224,False,False,0.604772446873001
278,NWT,277,1054,455.8292669971028,-178.82926699710282,False,False,0.604772446873001
258,NGR,370,1079,458.82007596939525,-88.82007596939525,False,False,0.604772446873001
265,BAH,334,1085,459.5378701227454,-125.5378701227454,False,False,0.604772446873001
264,WDC,337,1095,460.73419371166233,-123.73419371166233,False,False,0.604772446873001
282,COM,249,1105,461.93051730057937,-212.93051730057937,False,False,0.604772446873001
260,NSC,363,1122,463.9642674017382,-100.9642674017382,False,False,0.604772446873001
280,YUK,268,1125,464.3231644784133,-196.32316447841328,False,False,0.604772446873001
252,NDA,393,1138,465.87838514400534,-72.87838514400534,False,False,0.604772446873001
243,KUR,465,1141,466.2372822206804,-1.237282220680413,False,False,0.604772446873001
257,NBR,380,1150,467.3139734507057,-87.3139734507057,False,False,0.604772446873001
267,KAM,330,1153,467.6728705273808,-137.67287052738078,False,False,0.604772446873001
195,SIN,605,1243,478.4397828276335,126.56021717236649,False,False,0.604772446873001
234,SAK,510,1258,480.23426821100895,29.765731788991047,False,False,0.604772446873001
275,MAG,286,1262,480.7127976465757,-194.71279764657572,False,False,0.604772446873001
246,NCB,449,1263,480.8324300054674,-31.832430005467415,False,False,0.604772446873001
253,SAS,392,1308,486.21588615559375,-94.21588615559375,False,False,0.604772446873001
244,OMA,464,1314,486.93368030894396,-22.933680308943963,False,False,0.604772446873001
317,HAW,104,1315,487.0533126678356,-383.0533126678356,False,False,0.604772446873001
247,RHO,446,1349,491.1208128701533,-45.120812870153316,False,False,0.604772446873001
272,VAN,296,1352,491.4797099468284,-195.4797099468284,False,False,0.604772446873001
250,MAN,428,1375,494.23125420133744,-66.23125420133744,False,False,0.604772446873001
286,CLS,224,1385,495.4275777902544,-271.4275777902544,False,False,0.604772446873001
266,ASK,332,1412,498.6576514803302,-166.65765148033017,False,False,0.604772446873001
248,GNB,445,1419,499.4950779925721,-54.49507799257208,False,False,0.604772446873001
228,IRE,541,1442,502.2466222470811,38.75337775291888,False,False,0.604772446873001
190,AMU,610,1445,502.6055193237562,107.3944806762438,False,False,0.604772446873001
