,family,Species per Family in Data,Species per Family,Species per Family in Data_loess_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,130,5526,355.13196379825916,-225.13196379825916,False,False,0.6305041157098812
1,Achariaceae,20,177,12.193579379668643,7.806420620331357,False,False,0.6305041157098812
2,Acoraceae,3,4,2.7105769231889494,0.2894230768110506,False,False,0.6305041157098812
3,Actinidiaceae,10,449,31.099268536043645,-21.099268536043645,False,False,0.6305041157098812
4,Aizoaceae,58,1799,119.04581740755403,-61.045817407554026,False,False,0.6305041157098812
5,Akaniaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
6,Alismataceae,7,122,9.320780828224455,-2.3207808282244553,False,False,0.6305041157098812
7,Alstroemeriaceae,18,260,15.996493428478374,2.0035065715216263,False,False,0.6305041157098812
8,Altingiaceae,3,15,3.340267255470117,-0.34026725547011694,False,False,0.6305041157098812
9,Alzateaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
10,Amaranthaceae,148,2411,157.4416978980307,-9.441697898030696,False,False,0.6305041157098812
11,Amaryllidaceae,224,2535,165.19817546753427,58.80182453246573,False,False,0.6305041157098812
12,Amborellaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
13,Anacardiaceae,73,941,68.96712616583329,4.032873834166708,False,False,0.6305041157098812
14,Ancistrocladaceae,14,20,3.6253482848694043,10.374651715130597,False,False,0.6305041157098812
15,Anisophylleaceae,2,57,5.7165746408541995,-3.7165746408541995,False,False,0.6305041157098812
16,Annonaceae,317,2577,167.81488355793442,149.18511644206558,False,False,0.6305041157098812
17,Aphloiaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
18,Apiaceae,532,3958,254.36618818951592,277.6338118104841,False,False,0.6305041157098812
19,Apocynaceae,505,6707,430.3933406031703,74.60665939682968,False,False,0.6305041157098812
20,Aquifoliaceae,76,574,41.31895029664652,34.68104970335348,False,False,0.6305041157098812
21,Araceae,109,4593,295.4567901347299,-186.45679013472989,False,False,0.6305041157098812
22,Araliaceae,103,1686,112.49636587955084,-9.496365879550837,False,False,0.6305041157098812
23,Araucariaceae,15,38,4.646427949773469,10.353572050226532,False,False,0.6305041157098812
24,Arecaceae,45,2527,164.6992348213235,-119.6992348213235,False,False,0.6305041157098812
25,Aristolochiaceae,124,760,55.64365579500556,68.35634420499444,False,False,0.6305041157098812
26,Asparagaceae,240,3552,227.68747374277459,12.312526257225414,False,False,0.6305041157098812
27,Asphodelaceae,220,1263,89.38915224239956,130.61084775760042,False,False,0.6305041157098812
28,Aspleniaceae,28,3425,219.5446127472547,-191.5446127472547,False,False,0.6305041157098812
29,Asteraceae,3842,35217,2274.471168959074,1567.528831040926,True,False,0.6305041157098812
30,Atherospermataceae,13,17,3.4543811656924714,9.545618834307529,False,False,0.6305041157098812
31,Austrobaileyaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
32,Balanopaceae,1,9,2.99724443339179,-1.9972444333917898,False,False,0.6305041157098812
33,Balanophoraceae,13,61,5.940964090340141,7.059035909659859,False,False,0.6305041157098812
34,Balsaminaceae,9,1172,84.05567757528236,-75.05567757528236,False,False,0.6305041157098812
35,Basellaceae,6,19,3.568386003626466,2.431613996373534,False,False,0.6305041157098812
36,Begoniaceae,7,2136,140.01699440545673,-133.01699440545673,False,False,0.6305041157098812
37,Berberidaceae,140,739,54.040492273024675,85.95950772697532,False,False,0.6305041157098812
38,Berberidopsidaceae,1,4,2.7105769231889494,-1.7105769231889494,False,False,0.6305041157098812
39,Betulaceae,53,210,13.683768826701531,39.31623117329847,False,False,0.6305041157098812
40,Biebersteiniaceae,3,4,2.7105769231889494,0.2894230768110506,False,False,0.6305041157098812
41,Bignoniaceae,93,904,66.43096822781587,26.569031772184132,False,False,0.6305041157098812
42,Bixaceae,5,27,4.023362143546153,0.9766378564538467,False,False,0.6305041157098812
43,Blandfordiaceae,1,4,2.7105769231889494,-1.7105769231889494,False,False,0.6305041157098812
44,Bonnetiaceae,2,38,4.646427949773469,-2.646427949773469,False,False,0.6305041157098812
45,Boraginaceae,225,3507,224.7671944895987,0.23280551040130604,False,False,0.6305041157098812
46,Brassicaceae,185,4238,272.57308437985444,-87.57308437985444,False,False,0.6305041157098812
47,Bromeliaceae,39,3720,238.7299282006836,-199.7299282006836,False,False,0.6305041157098812
48,Burseraceae,63,770,56.405748025625776,6.594251974374224,False,False,0.6305041157098812
49,Buxaceae,18,129,9.701281875012366,8.298718124987634,False,False,0.6305041157098812
50,Byblidaceae,1,8,2.93997138457022,-1.93997138457022,False,False,0.6305041157098812
51,Cabombaceae,1,7,2.8826683222729197,-1.8826683222729197,False,False,0.6305041157098812
52,Cactaceae,97,1984,130.30567203603766,-33.30567203603766,False,False,0.6305041157098812
53,Calceolariaceae,23,274,16.61172123281822,6.388278767181781,False,False,0.6305041157098812
54,Calophyllaceae,79,437,30.008361967440138,48.99163803255986,False,False,0.6305041157098812
55,Calycanthaceae,4,11,3.1117014676164985,0.8882985323835015,False,False,0.6305041157098812
56,Calyceraceae,9,47,5.154244261876416,3.845755738123584,False,False,0.6305041157098812
57,Campanulaceae,80,2517,164.07530714902487,-84.07530714902487,False,False,0.6305041157098812
58,Campynemataceae,1,4,2.7105769231889494,-1.7105769231889494,False,False,0.6305041157098812
59,Canellaceae,11,23,3.79607811708372,7.20392188291628,False,False,0.6305041157098812
60,Cannabaceae,13,113,8.82842454795169,4.171575452048311,False,False,0.6305041157098812
61,Cannaceae,1,12,3.168885992320069,-2.168885992320069,False,False,0.6305041157098812
62,Capparaceae,37,438,30.09976973850683,6.900230261493171,False,False,0.6305041157098812
63,Caprifoliaceae,133,1120,80.78855092017892,52.21144907982108,False,False,0.6305041157098812
64,Cardiopteridaceae,2,41,4.815887015366801,-2.815887015366801,False,False,0.6305041157098812
65,Caricaceae,5,44,4.985157678539592,0.014842321460408314,False,False,0.6305041157098812
