,family,Species per Family in Data,Species per Family,Species per Family in Data_loess_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
66,Caryocaraceae,5,26,3.9665784484235957,1.0334215515764043,False,False,0.6305041157098812
67,Caryophyllaceae,106,3403,218.1723700229506,-112.17237002295059,False,False,0.6305041157098812
68,Casuarinaceae,5,91,7.6141611000736935,-2.6141611000736935,False,False,0.6305041157098812
69,Celastraceae,165,1365,94.70767537714622,70.29232462285378,False,False,0.6305041157098812
70,Centroplacaceae,4,9,2.99724443339179,1.0027555666082102,False,False,0.6305041157098812
71,Cephalotaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
72,Cephalotaxaceae,5,8,2.93997138457022,2.06002861542978,False,False,0.6305041157098812
73,Ceratophyllaceae,1,6,2.82533502328927,-1.82533502328927,False,False,0.6305041157098812
74,Cercidiphyllaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
75,Chloranthaceae,18,75,6.723943134208259,11.276056865791741,False,False,0.6305041157098812
76,Chrysobalanaceae,44,546,39.1462661120029,4.853733887997102,False,False,0.6305041157098812
77,Cistaceae,16,292,17.55277298943782,-1.5527729894378197,False,False,0.6305041157098812
78,Cleomaceae,24,225,14.362027761910033,9.637972238089967,False,False,0.6305041157098812
79,Clethraceae,2,100,8.112470125179136,-6.1124701251791365,False,False,0.6305041157098812
80,Clusiaceae,129,909,66.78051772593696,62.21948227406304,False,False,0.6305041157098812
81,Colchicaceae,50,295,17.746055885623974,32.253944114376026,False,False,0.6305041157098812
82,Columelliaceae,2,8,2.93997138457022,-0.93997138457022,False,False,0.6305041157098812
83,Combretaceae,69,586,42.2578174744929,26.742182525507097,False,False,0.6305041157098812
84,Commelinaceae,8,782,57.3193201972088,-49.3193201972088,False,False,0.6305041157098812
85,Connaraceae,6,241,15.12108722742868,-9.12108722742868,False,False,0.6305041157098812
86,Convolvulaceae,99,1979,129.98882319684313,-30.98882319684313,False,False,0.6305041157098812
87,Coriariaceae,5,17,3.4543811656924714,1.5456188343075286,False,False,0.6305041157098812
88,Cornaceae,22,113,8.82842454795169,13.17157545204831,False,False,0.6305041157098812
89,Corynocarpaceae,1,5,2.7679712853777714,-1.7679712853777714,False,False,0.6305041157098812
90,Costaceae,8,163,11.496708865045658,-3.496708865045658,False,False,0.6305041157098812
91,Crassulaceae,137,1823,120.44890763252553,16.551092367474467,False,False,0.6305041157098812
92,Crossosomataceae,1,7,2.8826683222729197,-1.8826683222729197,False,False,0.6305041157098812
93,Crypteroniaceae,1,12,3.168885992320069,-2.168885992320069,False,False,0.6305041157098812
94,Cucurbitaceae,89,1065,77.22921807277316,11.770781927226835,False,False,0.6305041157098812
95,Cunoniaceae,8,337,21.153315172832617,-13.153315172832617,False,False,0.6305041157098812
96,Cupressaceae,101,177,12.193579379668643,88.80642062033135,False,False,0.6305041157098812
97,Cyatheaceae,10,816,59.904041503262036,-49.904041503262036,False,False,0.6305041157098812
98,Cycadaceae,4,119,9.157014945850923,-5.157014945850923,False,False,0.6305041157098812
99,Cymodoceaceae,3,18,3.511397062728225,-0.5113970627282249,False,False,0.6305041157098812
100,Cynomoriaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
101,Cyperaceae,248,6053,388.7109818366206,-140.7109818366206,False,False,0.6305041157098812
102,Cytinaceae,2,12,3.168885992320069,-1.1688859923200692,False,False,0.6305041157098812
103,Daphniphyllaceae,13,31,4.250255243668622,8.749744756331378,False,False,0.6305041157098812
104,Datiscaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
105,Degeneriaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
106,Dennstaedtiaceae,21,264,16.173855518878906,4.826144481121094,False,False,0.6305041157098812
107,Diapensiaceae,1,19,3.568386003626466,-2.568386003626466,False,False,0.6305041157098812
108,Dichapetalaceae,12,209,13.641004435058077,-1.6410044350580772,False,False,0.6305041157098812
109,Didiereaceae,4,20,3.6253482848694043,0.3746517151305957,False,False,0.6305041157098812
110,Didymochlaenaceae,1,20,3.6253482848694043,-2.6253482848694043,False,False,0.6305041157098812
111,Dilleniaceae,12,616,44.616263527024586,-32.616263527024586,False,False,0.6305041157098812
112,Dioncophyllaceae,3,3,2.6531517717436053,0.3468482282563947,False,False,0.6305041157098812
113,Dioscoreaceae,70,658,47.85169947818567,22.148300521814328,False,False,0.6305041157098812
114,Dipentodontaceae,3,21,3.6822842035397847,-0.6822842035397847,False,False,0.6305041157098812
115,Dipteridaceae,2,11,3.1117014676164985,-1.1117014676164985,False,False,0.6305041157098812
116,Dipterocarpaceae,59,538,38.52082964485769,20.47917035514231,False,False,0.6305041157098812
117,Doryanthaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
118,Droseraceae,38,276,16.701099546787194,21.298900453212806,False,False,0.6305041157098812
119,Drosophyllaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
120,Ebenaceae,112,813,59.67611822292285,52.32388177707715,False,False,0.6305041157098812
121,Elaeagnaceae,11,107,8.498605515446881,2.501394484553119,False,False,0.6305041157098812
122,Elaeocarpaceae,32,791,58.00394589955996,-26.00394589955996,False,False,0.6305041157098812
123,Elatinaceae,1,58,5.7727007198509455,-4.7727007198509455,False,False,0.6305041157098812
124,Ephedraceae,34,76,6.779729007338681,27.22027099266132,False,False,0.6305041157098812
125,Equisetaceae,13,41,4.815887015366801,8.184112984633199,False,False,0.6305041157098812
126,Ericaceae,260,4709,302.9035099648315,-42.90350996483153,False,False,0.6305041157098812
127,Eriocaulaceae,15,1230,87.54291208220106,-72.54291208220106,False,False,0.6305041157098812
128,Erythroxylaceae,48,283,17.04016408997242,30.95983591002758,False,False,0.6305041157098812
129,Escalloniaceae,6,158,11.240365120717039,-5.240365120717039,False,False,0.6305041157098812
130,Eucommiaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
131,Euphorbiaceae,438,6554,420.6328213160511,17.367178683948907,False,False,0.6305041157098812
132,Eupomatiaceae,2,3,2.6531517717436053,-0.6531517717436053,False,False,0.6305041157098812
133,Eupteleaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
134,Fabaceae,2340,22681,1461.339473905894,878.660526094106,True,False,0.6305041157098812
135,Fagaceae,71,1181,84.61117223614727,-13.611172236147269,False,False,0.6305041157098812
136,Fouquieriaceae,3,11,3.1117014676164985,-0.11170146761649846,False,False,0.6305041157098812
137,Francoaceae,6,36,4.533347610016729,1.4666523899832713,False,False,0.6305041157098812
138,Frankeniaceae,2,84,7.225324928535251,-5.225324928535251,False,False,0.6305041157098812
139,Garryaceae,7,27,4.023362143546153,2.9766378564538467,False,False,0.6305041157098812
140,Gelsemiaceae,4,14,3.283168557947345,0.7168314420526549,False,False,0.6305041157098812
141,Gentianaceae,180,1896,124.81375617036139,55.18624382963861,False,False,0.6305041157098812
142,Geraniaceae,52,820,60.20787524401237,-8.20787524401237,False,False,0.6305041157098812
143,Gesneriaceae,31,3979,255.73868965161492,-224.73868965161492,False,False,0.6305041157098812
144,Ginkgoaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
145,Gisekiaceae,1,7,2.8826683222729197,-1.8826683222729197,False,False,0.6305041157098812
146,Gleicheniaceae,7,164,11.547550670366782,-4.547550670366782,False,False,0.6305041157098812
147,Gnetaceae,15,44,4.985157678539592,10.014842321460408,False,False,0.6305041157098812
148,Gomortegaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
149,Goodeniaceae,10,471,33.046096130300135,-23.046096130300135,False,False,0.6305041157098812
150,Goupiaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
151,Griseliniaceae,2,7,2.8826683222729197,-0.8826683222729197,False,False,0.6305041157098812
152,Grossulariaceae,16,198,13.166264328471854,2.833735671528146,False,False,0.6305041157098812
153,Gunneraceae,1,65,6.165049393272079,-5.165049393272079,False,False,0.6305041157098812
154,Gyrostemonaceae,1,20,3.6253482848694043,-2.6253482848694043,False,False,0.6305041157098812
155,Haemodoraceae,16,117,9.047633781892431,6.952366218107569,False,False,0.6305041157098812
156,Haloragaceae,3,169,11.799434331051632,-8.799434331051632,False,False,0.6305041157098812
157,Hamamelidaceae,6,115,8.938100827462574,-2.9381008274625735,False,False,0.6305041157098812
158,Helwingiaceae,1,4,2.7105769231889494,-1.7105769231889494,False,False,0.6305041157098812
159,Hernandiaceae,10,70,6.444731395915587,3.5552686040844126,False,False,0.6305041157098812
160,Himantandraceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
161,Humiriaceae,1,67,6.276978712412652,-5.276978712412652,False,False,0.6305041157098812
162,Hydrangeaceae,21,226,14.408714819309084,6.591285180690916,False,False,0.6305041157098812
163,Hydrocharitaceae,8,144,10.506620737700976,-2.5066207377009757,False,False,0.6305041157098812
164,Hydrostachyaceae,3,22,3.7391940502707626,-0.7391940502707626,False,False,0.6305041157098812
165,Hymenophyllaceae,16,593,42.80987824951069,-26.80987824951069,False,False,0.6305041157098812
166,Hypericaceae,138,636,46.16644093560821,91.83355906439179,False,False,0.6305041157098812
167,Hypodematiaceae,1,27,4.023362143546153,-3.0233621435461533,False,False,0.6305041157098812
168,Hypoxidaceae,15,166,11.648779250562512,3.3512207494374877,False,False,0.6305041157098812
169,Icacinaceae,13,158,11.240365120717039,1.7596348792829613,False,False,0.6305041157098812
170,Iridaceae,104,2613,170.05450260319634,-66.05450260319634,False,False,0.6305041157098812
171,Irvingiaceae,1,12,3.168885992320069,-2.168885992320069,False,False,0.6305041157098812
172,Iteaceae,12,23,3.79607811708372,8.20392188291628,False,False,0.6305041157098812
173,Juglandaceae,17,84,7.225324928535251,9.774675071464749,False,False,0.6305041157098812
174,Juncaceae,6,530,37.89526427692921,-31.89526427692921,False,False,0.6305041157098812
175,Juncaginaceae,1,35,4.476774383085739,-3.476774383085739,False,False,0.6305041157098812
176,Krameriaceae,9,17,3.4543811656924714,5.545618834307529,False,False,0.6305041157098812
177,Lamiaceae,1228,8229,527.776734042717,700.223265957283,True,False,0.6305041157098812
178,Lanariaceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
179,Lardizabalaceae,13,41,4.815887015366801,8.184112984633199,False,False,0.6305041157098812
180,Lauraceae,298,3424,219.4819408105823,78.5180591894177,False,False,0.6305041157098812
181,Lecythidaceae,25,395,26.26644473072187,-1.2664447307218687,False,False,0.6305041157098812
182,Lentibulariaceae,5,448,31.008996367251815,-26.008996367251815,False,False,0.6305041157098812
183,Lepidobotryaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
184,Liliaceae,67,805,59.068223089305576,7.931776910694424,False,False,0.6305041157098812
185,Limnanthaceae,2,9,2.99724443339179,-0.9972444333917898,False,False,0.6305041157098812
186,Linaceae,31,284,17.09293343508281,13.90706656491719,False,False,0.6305041157098812
187,Linderniaceae,7,327,20.28148926671711,-13.28148926671711,False,False,0.6305041157098812
188,Lindsaeaceae,8,270,16.436790443409933,-8.436790443409933,False,False,0.6305041157098812
189,Loasaceae,52,335,20.978058391902465,31.021941608097535,False,False,0.6305041157098812
190,Loganiaceae,94,504,35.814719325987696,58.185280674012304,False,False,0.6305041157098812
191,Loranthaceae,25,1076,77.95416567747498,-52.954165677474975,False,False,0.6305041157098812
192,Lycopodiaceae,68,463,32.347493183429116,35.652506816570884,False,False,0.6305041157098812
193,Lythraceae,40,701,51.13515907171577,-11.13515907171577,False,False,0.6305041157098812
194,Magnoliaceae,47,382,25.151470813455603,21.848529186544397,False,False,0.6305041157098812
195,Malpighiaceae,15,1494,101.60312575748404,-86.60312575748404,False,False,0.6305041157098812
196,Malvaceae,205,5572,358.0652781326142,-153.0652781326142,False,False,0.6305041157098812
197,Marantaceae,2,589,42.4933511276001,-40.4933511276001,False,False,0.6305041157098812
198,Marattiaceae,6,188,12.715090768427718,-6.715090768427718,False,False,0.6305041157098812
199,Marcgraviaceae,1,136,10.079068890116782,-9.079068890116782,False,False,0.6305041157098812
200,Marsileaceae,5,58,5.7727007198509455,-0.7727007198509455,False,False,0.6305041157098812
201,Martyniaceae,2,14,3.283168557947345,-1.283168557947345,False,False,0.6305041157098812
202,Mayacaceae,1,5,2.7679712853777714,-1.7679712853777714,False,False,0.6305041157098812
203,Mazaceae,3,49,5.266867946187797,-2.266867946187797,False,False,0.6305041157098812
204,Melanthiaceae,37,192,12.898240743678908,24.101759256321092,False,False,0.6305041157098812
205,Melastomataceae,81,6012,386.0999878822496,-305.0999878822496,False,False,0.6305041157098812
206,Meliaceae,169,772,56.55807642904815,112.44192357095184,False,False,0.6305041157098812
207,Menispermaceae,148,554,39.765430883580194,108.2345691164198,False,False,0.6305041157098812
208,Menyanthaceae,12,73,6.612314858847482,5.387685141152518,False,False,0.6305041157098812
209,Metteniusaceae,4,66,6.221023482893411,-2.2210234828934112,False,False,0.6305041157098812
210,Microteaceae,1,10,3.0544877078345753,-2.0544877078345753,False,False,0.6305041157098812
211,Molluginaceae,4,97,7.946584647250371,-3.946584647250371,False,False,0.6305041157098812
212,Monimiaceae,15,278,16.793175163680885,-1.7931751636808855,False,False,0.6305041157098812
213,Montiaceae,1,278,16.793175163680885,-15.793175163680885,False,False,0.6305041157098812
214,Moraceae,150,1302,91.45479606068702,58.545203939312984,False,False,0.6305041157098812
215,Moringaceae,4,13,3.2260415807602074,0.7739584192397926,False,False,0.6305041157098812
216,Muntingiaceae,1,3,2.6531517717436053,-1.6531517717436053,False,False,0.6305041157098812
217,Musaceae,5,98,8.001904984972674,-3.0019049849726738,False,False,0.6305041157098812
218,Myodocarpaceae,1,15,3.340267255470117,-2.340267255470117,False,False,0.6305041157098812
219,Myricaceae,10,52,5.4356544691224125,4.5643455308775875,False,False,0.6305041157098812
220,Myristicaceae,57,541,38.7539920368166,18.246007963183402,False,False,0.6305041157098812
221,Myrothamnaceae,1,2,2.5956956882123574,-1.5956956882123574,False,False,0.6305041157098812
222,Myrtaceae,415,6379,409.4769229723214,5.523077027678596,False,False,0.6305041157098812
223,Nartheciaceae,3,37,4.589898712141103,-1.5898987121411032,False,False,0.6305041157098812
224,Nelumbonaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
225,Nepenthaceae,6,212,13.769553949451103,-7.769553949451103,False,False,0.6305041157098812
226,Nitrariaceae,8,17,3.4543811656924714,4.545618834307529,False,False,0.6305041157098812
227,Nothofagaceae,10,42,4.872331250978012,5.127668749021988,False,False,0.6305041157098812
228,Nyctaginaceae,15,466,32.61084845259182,-17.610848452591817,False,False,0.6305041157098812
229,Nymphaeaceae,24,101,8.167714046050511,15.832285953949489,False,False,0.6305041157098812
230,Nyssaceae,5,37,4.589898712141103,0.41010128785889677,False,False,0.6305041157098812
231,Ochnaceae,23,643,46.70400413850421,-23.70400413850421,False,False,0.6305041157098812
232,Olacaceae,17,185,12.575394465516181,4.424605534483819,False,False,0.6305041157098812
233,Oleaceae,82,767,56.1772013902004,25.822798609799598,False,False,0.6305041157098812
234,Onagraceae,134,799,58.612189601553204,75.38781039844679,False,False,0.6305041157098812
235,Ophioglossaceae,6,145,10.559693936902397,-4.559693936902397,False,False,0.6305041157098812
236,Orchidaceae,225,31577,2038.2613903333513,-1813.2613903333513,False,True,0.6305041157098812
237,Orobanchaceae,125,2280,149.19508792442116,-24.19508792442116,False,False,0.6305041157098812
238,Osmundaceae,3,28,4.080121400142882,-1.0801214001428816,False,False,0.6305041157098812
239,Oxalidaceae,7,685,49.91185781452006,-42.91185781452006,False,False,0.6305041157098812
240,Paeoniaceae,13,42,4.872331250978012,8.12766874902199,False,False,0.6305041157098812
241,Pandaceae,2,17,3.4543811656924714,-1.4543811656924714,False,False,0.6305041157098812
242,Pandanaceae,9,931,68.29168683801431,-59.291686838014314,False,False,0.6305041157098812
243,Papaveraceae,219,1062,77.03156588788454,141.96843411211546,False,False,0.6305041157098812
244,Paracryphiaceae,1,36,4.533347610016729,-3.5333476100167287,False,False,0.6305041157098812
245,Passifloraceae,106,1058,76.76739239302833,29.23260760697167,False,False,0.6305041157098812
246,Paulowniaceae,1,11,3.1117014676164985,-2.1117014676164985,False,False,0.6305041157098812
247,Pedaliaceae,21,79,6.946972729751662,14.053027270248338,False,False,0.6305041157098812
248,Pentadiplandraceae,1,1,2.5382085546741613,-1.5382085546741613,False,False,0.6305041157098812
249,Pentaphylacaceae,10,541,38.7539920368166,-28.753992036816598,False,False,0.6305041157098812
250,Peraceae,4,107,8.498605515446881,-4.498605515446881,False,False,0.6305041157098812
251,Petiveriaceae,2,22,3.7391940502707626,-1.7391940502707626,False,False,0.6305041157098812
252,Phellinaceae,1,10,3.0544877078345753,-2.0544877078345753,False,False,0.6305041157098812
253,Philydraceae,1,6,2.82533502328927,-1.82533502328927,False,False,0.6305041157098812
254,Phrymaceae,9,230,14.596840772731209,-5.596840772731209,False,False,0.6305041157098812
255,Phyllanthaceae,91,2101,137.7791963603355,-46.779196360335504,False,False,0.6305041157098812
256,Physenaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
257,Phytolaccaceae,13,34,4.4201787790027405,8.57982122099726,False,False,0.6305041157098812
258,Picramniaceae,9,54,5.548080717608039,3.4519192823919607,False,False,0.6305041157098812
259,Picrodendraceae,5,98,8.001904984972674,-3.0019049849726738,False,False,0.6305041157098812
260,Pinaceae,145,268,16.349499301832264,128.65050069816775,False,False,0.6305041157098812
261,Piperaceae,141,3871,248.6668599156476,-107.66685991564759,False,False,0.6305041157098812
262,Pittosporaceae,13,324,20.022162835123048,-7.022162835123048,False,False,0.6305041157098812
263,Plantaginaceae,275,2208,144.6184840753378,130.3815159246622,False,False,0.6305041157098812
264,Platanaceae,3,10,3.0544877078345753,-0.05448770783457535,False,False,0.6305041157098812
265,Plumbaginaceae,29,1139,81.98916115504922,-52.98916115504922,False,False,0.6305041157098812
266,Poaceae,181,12364,793.8557207107443,-612.8557207107443,False,True,0.6305041157098812
267,Podocarpaceae,61,199,13.21018279550828,47.78981720449172,False,False,0.6305041157098812
268,Podostemaceae,3,362,23.38457498139159,-20.38457498139159,False,False,0.6305041157098812
269,Polemoniaceae,5,430,29.367780676532853,-24.367780676532853,False,False,0.6305041157098812
270,Polygalaceae,50,1336,93.21355795481028,-43.213557954810284,False,False,0.6305041157098812
271,Polygonaceae,145,1602,107.67207028058577,37.32792971941423,False,False,0.6305041157098812
272,Polypodiaceae,40,4525,291.08564938228056,-251.08564938228056,False,False,0.6305041157098812
273,Pontederiaceae,4,47,5.154244261876416,-1.154244261876416,False,False,0.6305041157098812
274,Portulacaceae,6,153,10.980780725117988,-4.980780725117988,False,False,0.6305041157098812
275,Posidoniaceae,1,9,2.99724443339179,-1.9972444333917898,False,False,0.6305041157098812
276,Potamogetonaceae,6,194,12.988467066886601,-6.988467066886601,False,False,0.6305041157098812
277,Primulaceae,130,3412,218.7320671746177,-88.7320671746177,False,False,0.6305041157098812
278,Proteaceae,53,1875,123.53787355059447,-70.53787355059447,False,False,0.6305041157098812
279,Psilotaceae,4,20,3.6253482848694043,0.3746517151305957,False,False,0.6305041157098812
280,Pteridaceae,104,1421,97.64304985767755,6.356950142322447,False,False,0.6305041157098812
281,Putranjivaceae,10,221,14.176455520390306,-4.176455520390306,False,False,0.6305041157098812
282,Quillajaceae,2,2,2.5956956882123574,-0.5956956882123574,False,False,0.6305041157098812
283,Rafflesiaceae,1,50,5.323149883982422,-4.323149883982422,False,False,0.6305041157098812
284,Ranunculaceae,434,4025,258.74089031467526,175.25910968532474,False,False,0.6305041157098812
285,Resedaceae,17,118,9.102343907815026,7.897656092184974,False,False,0.6305041157098812
286,Restionaceae,6,554,39.765430883580194,-33.765430883580194,False,False,0.6305041157098812
287,Rhabdodendraceae,2,3,2.6531517717436053,-0.6531517717436053,False,False,0.6305041157098812
288,Rhamnaceae,98,1226,87.31160139695523,10.688398603044774,False,False,0.6305041157098812
289,Rhizophoraceae,21,155,11.084976521014166,9.915023478985834,False,False,0.6305041157098812
290,Rosaceae,360,5850,375.7822050185765,-15.78220501857652,False,False,0.6305041157098812
291,Rubiaceae,461,14352,922.2075233433284,-461.2075233433284,False,True,0.6305041157098812
292,Ruppiaceae,2,11,3.1117014676164985,-1.1117014676164985,False,False,0.6305041157098812
293,Rutaceae,596,2224,145.63779679353183,450.36220320646817,True,False,0.6305041157098812
294,Sabiaceae,5,164,11.547550670366782,-6.547550670366782,False,False,0.6305041157098812
295,Salicaceae,118,1618,108.58594038110645,9.414059618893546,False,False,0.6305041157098812
296,Salvadoraceae,3,10,3.0544877078345753,-0.05448770783457535,False,False,0.6305041157098812
297,Salviniaceae,4,21,3.6822842035397847,0.3177157964602153,False,False,0.6305041157098812
298,Santalaceae,33,1133,81.61109815886965,-48.61109815886965,False,False,0.6305041157098812
299,Sapindaceae,162,1995,131.00411112685921,30.995888873140785,False,False,0.6305041157098812
300,Sapotaceae,41,1367,94.81116955185065,-53.811169551850654,False,False,0.6305041157098812
301,Sarcolaenaceae,1,72,6.556472505652514,-5.556472505652514,False,False,0.6305041157098812
302,Sarraceniaceae,9,53,5.49187733642864,3.50812266357136,False,False,0.6305041157098812
303,Saururaceae,5,6,2.82533502328927,2.17466497671073,False,False,0.6305041157098812
304,Saxifragaceae,47,908,66.71080981510254,-19.710809815102536,False,False,0.6305041157098812
305,Schisandraceae,44,84,7.225324928535251,36.77467507146475,False,False,0.6305041157098812
306,Schoepfiaceae,1,34,4.4201787790027405,-3.4201787790027405,False,False,0.6305041157098812
