,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
367,SSA,1,2,299.6198090279519,-298.6198090279519,False,False,0.6130814278814822
366,ANT,2,3,299.7302218474858,-297.7302218474858,False,False,0.6130814278814822
361,MCS,5,10,300.5031115842228,-295.5031115842228,False,False,0.6130814278814822
363,HMD,4,11,300.6135244037567,-296.6135244037567,False,False,0.6130814278814822
364,HBI,4,12,300.72393722329053,-296.72393722329053,False,False,0.6130814278814822
359,CRZ,6,22,301.82806541862914,-295.82806541862914,False,False,0.6130814278814822
354,WAK,11,22,301.82806541862914,-290.82806541862914,False,False,0.6130814278814822
362,SGE,5,23,301.938478238163,-296.938478238163,False,False,0.6130814278814822
357,MPE,7,24,302.0488910576969,-295.0488910576969,False,False,0.6130814278814822
360,DSV,6,28,302.49054233583234,-296.49054233583234,False,False,0.6130814278814822
352,PHX,13,28,302.49054233583234,-289.49054233583234,False,False,0.6130814278814822
358,ASP,6,32,302.9321936139678,-296.9321936139678,False,False,0.6130814278814822
355,KEG,11,32,302.9321936139678,-291.9321936139678,False,False,0.6130814278814822
350,ASC,13,36,303.3738448921032,-290.3738448921032,False,False,0.6130814278814822
356,EAS,8,41,303.92590898977255,-295.92590898977255,False,False,0.6130814278814822
365,MAQ,3,42,304.0363218093064,-301.0363218093064,False,False,0.6130814278814822
347,LIN,23,50,304.9196243655773,-281.9196243655773,False,False,0.6130814278814822
345,TUV,26,53,305.25086282417885,-279.25086282417885,False,False,0.6130814278814822
344,CGS,28,53,305.25086282417885,-277.25086282417885,False,False,0.6130814278814822
340,NRU,34,57,305.6925141023143,-271.6925141023143,False,False,0.6130814278814822
343,TOK,31,70,307.1278807562545,-276.1278807562545,False,False,0.6130814278814822
339,MCI,36,70,307.1278807562545,-271.1278807562545,False,False,0.6130814278814822
336,CKI,48,76,307.7903576734577,-259.7903576734577,False,False,0.6130814278814822
349,STH,16,89,309.2257243273979,-293.2257243273979,False,False,0.6130814278814822
333,GIL,51,96,309.998614064135,-258.998614064135,False,False,0.6130814278814822
337,SEL,40,98,310.2194397032027,-270.2194397032027,False,False,0.6130814278814822
353,TDC,12,98,310.2194397032027,-298.2194397032027,False,False,0.6130814278814822
342,PIT,32,118,312.42769609387994,-280.42769609387994,False,False,0.6130814278814822
