,accepted_species_w_author,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,Any Use,In Phytochemical Data
count,362753,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0,362753.0
unique,362753,,,,,,,,,,,,
top,× Vandoglossum moorei (Rolfe) J.M.H.Shaw,,,,,,,,,,,,
freq,1,,,,,,,,,,,,
mean,,0.01121424219785915,0.02283647550812812,0.006461697077625822,0.012934420942073532,0.017728316512888937,0.002676752501013086,0.03405071770598727,0.06538333246037938,0.007738047652259251,0.006552668068906391,0.09778003214308359,0.07182848935777236
std,,0.10530201107982526,0.149382168983688,0.08012466066317435,0.11299184436120212,0.13196238597350682,0.05166812224500472,0.18135974470976163,0.2472013769266116,0.08762528994095056,0.08068301280621294,0.29701740799344883,0.2582040690258505
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
