,InChIKey_simp,refDOI,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name,pairs
count,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
unique,36,8,11,11,11,8,1,11,11,11,9,11,1,1,11,47
top,AXNVHPCVMSNXNP,10.5772_28961,969218-1,Vernonanthura patens,Vernonanthura patens (Kunth) H.Rob.,Asteraceae,Species,Vernonanthura patens,Vernonanthura patens (Kunth) H.Rob.,969218-1,Vernonanthura,3052283,Accepted,direct_wcvp_unique,Vernonanthura patens,Curatella americanaMQYXUWHLBZFQQO
freq,6,17,17,17,17,18,47,17,17,17,17,17,47,47,17,1
