,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Annonaceae,1,2577,1.1518886151910526,-0.15188861519105257,False,False,0.5938583468136551
1,Araceae,2,4593,1.2083508843609678,0.7916491156390322,True,False,0.5938583468136551
2,Asteraceae,2,35217,2.0660396398468244,-0.06603963984682437,False,False,0.5938583468136551
3,Burseraceae,1,770,1.1012798253150422,-0.1012798253150422,False,False,0.5938583468136551
4,Dilleniaceae,1,616,1.096966735309007,-0.0969667353090069,False,False,0.5938583468136551
5,Lauraceae,1,3424,1.175610610224246,-0.17561061022424607,False,False,0.5938583468136551
6,Malvaceae,1,5572,1.2357698136850488,-0.2357698136850488,False,False,0.5938583468136551
7,Orchidaceae,2,31577,1.9640938760678108,0.03590612393218917,False,False,0.5938583468136551
