,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
34,CAY,1,556,1.7343790539610784,-0.7343790539610784,False,False,0.5272849208163877
37,VNA,1,827,1.8347913829977749,-0.8347913829977749,False,False,0.5272849208163877
33,BAH,1,1085,1.930386884442305,-0.9303868844423051,False,False,0.5272849208163877
44,CLS,1,1385,2.0415444442615263,-1.0415444442615263,False,False,0.5272849208163877
43,CLN,1,1751,2.1771566672409763,-1.1771566672409763,False,False,0.5272849208163877
32,WIN,2,2036,2.2827563490692366,-0.28275634906923663,False,False,0.5272849208163877
30,LEE,2,2083,2.3001710334409147,-0.30017103344091467,False,False,0.5272849208163877
39,AGS,1,2090,2.3027647098366963,-1.3027647098366963,False,False,0.5272849208163877
31,PUE,2,2395,2.4157748956529046,-0.4157748956529046,False,False,0.5272849208163877
24,TRT,3,2569,2.480246280348053,0.519753719651947,False,False,0.5272849208163877
45,URU,1,2591,2.488397834734796,-1.488397834734796,False,False,0.5272849208163877
42,CLC,1,3041,2.655134174463628,-1.6551341744636279,False,False,0.5272849208163877
36,JAM,1,3086,2.671807808436511,-1.671807808436511,False,False,0.5272849208163877
35,FLA,1,3191,2.7107129543732382,-1.7107129543732382,False,False,0.5272849208163877
22,ELS,4,3546,2.842249400159317,1.157750599840683,False,False,0.5272849208163877
5,BLZ,8,3641,2.87744929410207,5.12255070589793,True,False,0.5272849208163877
27,HAI,2,3714,2.904497633658081,-0.9044976336580808,False,False,0.5272849208163877
26,DOM,2,3967,2.9982405091056243,-0.9982405091056243,False,False,0.5272849208163877
19,SUR,5,4495,3.1938778143874536,1.8061221856125464,False,False,0.5272849208163877
16,FRG,6,5161,3.440647597186125,2.559352402813875,False,False,0.5272849208163877
29,PAR,2,5347,3.509565284274042,-1.509565284274042,False,False,0.5272849208163877
38,AGE,1,5389,3.525127342648733,-2.525127342648733,False,False,0.5272849208163877
40,AGW,1,5407,3.5317967962378862,-2.5317967962378862,False,False,0.5272849208163877
9,NIC,8,5892,3.711501517945627,4.288498482054373,True,False,0.5272849208163877
25,CUB,3,6155,3.8089496453871443,-0.8089496453871443,False,False,0.5272849208163877
17,GUY,5,6369,3.888242038058189,1.111757961941811,False,False,0.5272849208163877
8,HON,8,6712,4.015332181451498,3.984667818548502,False,False,0.5272849208163877
28,MXN,2,7047,4.139458123249629,-2.1394581232496286,False,False,0.5272849208163877
20,MXC,5,7540,4.322127046552549,0.6778729534474506,False,False,0.5272849208163877
12,MXG,7,7912,4.459962420728384,2.5400375792716163,False,False,0.5272849208163877
3,GUA,8,8358,4.6252166596596265,3.3747833403403735,False,False,0.5272849208163877
41,BZS,1,8613,4.719700585505964,-3.719700585505964,False,False,0.5272849208163877
7,MXT,8,9348,4.992036607063056,3.0079633929369436,False,False,0.5272849208163877
23,BZC,4,9971,5.222873806287639,-1.2228738062876392,False,False,0.5272849208163877
6,PAN,8,10198,5.306983026550849,2.6930169734491507,False,False,0.5272849208163877
4,COS,8,10799,5.52966867138869,2.4703313286113104,False,False,0.5272849208163877
21,MXE,5,11401,5.752724841425927,-0.7527248414259269,False,False,0.5272849208163877
18,BZE,5,11594,5.824236204909626,-0.8242362049096261,False,False,0.5272849208163877
14,BZN,6,13576,6.558617150115281,-0.558617150115281,False,False,0.5272849208163877
11,MXS,7,14194,6.787601723342877,0.2123982766571233,False,False,0.5272849208163877
13,BOL,7,14896,7.047710413319854,-0.04771041331985426,False,False,0.5272849208163877
1,VEN,10,16340,7.582748801249706,2.417251198750294,False,False,0.5272849208163877
15,BZL,6,18428,8.356405417591485,-2.3564054175914855,False,False,0.5272849208163877
2,ECU,8,18482,8.376413778358947,-0.3764137783589465,False,False,0.5272849208163877
10,PER,7,20876,9.263451105716332,-2.2634511057163316,False,False,0.5272849208163877
0,CLM,10,25181,10.858562089122158,-0.8585620891221577,False,False,0.5272849208163877
