,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI,sanitised_dois
400172,"(E,6R)-6-[(1'S,3R,6S,7S,7aS)-7-(2-carboxyethyl)-1',7-dimethyl-3'-methylidene-6-prop-1-en-2-ylspiro[2,5,6,7a-tetrahydro-1H-indene-3,2'-cyclopentane]-1'-yl]-2-methyl-4-oxohept-2-enoic acid",CHXUEUOZCWRHTH-NSXZUBEWSA-N,CHXUEUOZCWRHTH,Abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,Abies balsamea,Pinaceae,10.1021/OL300237F,10.1021_OL300237F
400243,"phenanthrene, 1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,1,4a-trimethyl-7-(1-methylethyl)-, (4aS,4bR,10aS)-",BBPXZLJCPUPNGH-UHFFFAOYSA-N,BBPXZLJCPUPNGH,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis,Pinaceae,10.1104/PP.106.3.999,10.1104_PP.106.3.999
233289,robinetinidol,GMPPKSLKMRADRM-SWLSCSKDSA-N,GMPPKSLKMRADRM,Acacia dealbata,Acacia dealbata,Acacia dealbata Link,Acacia dealbata,Fabaceae,10.1042/BJ0780834,10.1042_BJ0780834
229124,robinetinidol,GMPPKSLKMRADRM-SWLSCSKDSA-N,GMPPKSLKMRADRM,Acacia decurrens,Acacia decurrens,Acacia decurrens (J.C.Wendl.) Willd.,Acacia decurrens,Fabaceae,10.1042/BJ0780834,10.1042_BJ0780834
230044,(R)-naringenin,FTVWIRXFELQLPI-CYBMUJFWSA-N,FTVWIRXFELQLPI,Acacia longifolia,Acacia longifolia,Acacia longifolia (Andrews) Willd.,Acacia longifolia,Fabaceae,10.5380/ACD.V4I1.524,10.5380_ACD.V4I1.524
234535,fisetinidol,VFZYLYJWCROVLO-DZGCQCFKSA-N,VFZYLYJWCROVLO,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia mearnsii,Fabaceae,10.1093/ECAM/NEQ043,10.1093_ECAM_NEQ043
234537,fisetinidol,VFZYLYJWCROVLO-DZGCQCFKSA-N,VFZYLYJWCROVLO,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia mearnsii,Fabaceae,10.1093/ECAM/NEP241,10.1093_ECAM_NEP241
234602,robinetinidol,GMPPKSLKMRADRM-SWLSCSKDSA-N,GMPPKSLKMRADRM,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia mearnsii,Fabaceae,10.1042/BJ0780834,10.1042_BJ0780834
237718,robinetinidol,GMPPKSLKMRADRM-SWLSCSKDSA-N,GMPPKSLKMRADRM,Acacia pycnantha,Acacia pycnantha,Acacia pycnantha Benth.,Acacia pycnantha,Fabaceae,10.1042/BJ0780834,10.1042_BJ0780834
517555,Q110186427,QCZXQEYEVLCQHL-MIBTZWEZSA-N,QCZXQEYEVLCQHL,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
517606,euscaphic acid,OXVUXGFZHDKYLS-QUFHAEKXSA-N,OXVUXGFZHDKYLS,Acanthochlamys bracteata,Acanthochlamys bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys bracteata,Velloziaceae,10.1002/CHIN.200549164,10.1002_CHIN.200549164
