,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
322,HBI,1,12,12.594291517219219,-11.594291517219219,False,False,0.43155256833760824
336,ASC,1,36,12.700158645731829,-11.700158645731829,False,False,0.43155256833760824
337,CGS,1,53,12.775147861761594,-11.775147861761594,False,False,0.43155256833760824
324,TUV,1,53,12.775147861761594,-11.775147861761594,False,False,0.43155256833760824
323,NRU,1,57,12.792792383180362,-11.792792383180362,False,False,0.43155256833760824
338,MCI,1,70,12.85013707779136,-11.85013707779136,False,False,0.43155256833760824
325,TOK,1,70,12.85013707779136,-11.85013707779136,False,False,0.43155256833760824
298,CKI,3,76,12.876603859919513,-9.876603859919513,False,False,0.43155256833760824
339,STH,1,89,12.93394855453051,-11.93394855453051,False,False,0.43155256833760824
321,GIL,1,96,12.964826467013355,-11.964826467013355,False,False,0.43155256833760824
329,SEL,1,98,12.973648727722738,-11.973648727722738,False,False,0.43155256833760824
315,MRS,2,125,13.092749247299425,-11.092749247299425,False,False,0.43155256833760824
335,KER,1,129,13.110393768718193,-12.110393768718193,False,False,0.43155256833760824
216,MDV,10,153,13.216260897230804,-3.2162608972308036,False,False,0.43155256833760824
267,KZN,5,181,13.339772547162182,-8.339772547162182,False,False,0.43155256833760824
209,LDV,12,183,13.348594807871567,-1.3485948078715673,False,False,0.43155256833760824
280,ALD,4,198,13.414761763191947,-9.414761763191947,False,False,0.43155256833760824
331,SVA,1,200,13.423584023901332,-12.423584023901332,False,False,0.43155256833760824
304,ROD,2,206,13.450050806029484,-11.450050806029484,False,False,0.43155256833760824
243,SCS,7,210,13.467695327448252,-6.4676953274482525,False,False,0.43155256833760824
311,CPI,2,210,13.467695327448252,-11.467695327448252,False,False,0.43155256833760824
251,XMS,6,215,13.489750979221714,-7.489750979221714,False,False,0.43155256833760824
310,NUE,2,216,13.494162109576406,-11.494162109576406,False,False,0.43155256833760824
221,SWC,9,264,13.705896366601626,-4.7058963666016265,False,False,0.43155256833760824
308,MXI,2,277,13.763241061212623,-11.763241061212623,False,False,0.43155256833760824
224,ARU,9,287,13.807352364759545,-4.807352364759545,False,False,0.43155256833760824
293,COO,3,294,13.838230277242388,-10.838230277242388,False,False,0.43155256833760824
317,SCZ,2,300,13.864697059370542,-11.864697059370542,False,False,0.43155256833760824
303,WAL,3,303,13.877930450434619,-10.877930450434619,False,False,0.43155256833760824
247,OGA,7,348,14.076431316395762,-7.076431316395762,False,False,0.43155256833760824
326,NFK,1,359,14.124953750297376,-13.124953750297376,False,False,0.43155256833760824
239,KUW,7,360,14.129364880652068,-7.1293648806520675,False,False,0.43155256833760824
328,MRQ,1,364,14.147009402070836,-13.147009402070836,False,False,0.43155256833760824
327,FOR,1,368,14.164653923489604,-13.164653923489604,False,False,0.43155256833760824
302,TUB,3,377,14.204354096681833,-11.204354096681833,False,False,0.43155256833760824
295,WSA,3,392,14.270521052002215,-11.270521052002215,False,False,0.43155256833760824
223,TCI,9,405,14.327865746613211,-5.327865746613211,False,False,0.43155256833760824
259,SEY,6,416,14.376388180514825,-8.376388180514825,False,False,0.43155256833760824
220,MRN,9,472,14.623411480377582,-5.623411480377582,False,False,0.43155256833760824
210,NLA,12,482,14.667522783924502,-2.667522783924502,False,False,0.43155256833760824
300,TON,3,519,14.830734607048111,-11.830734607048111,False,False,0.43155256833760824
332,GNL,1,528,14.87043478024034,-13.87043478024034,False,False,0.43155256833760824
225,CVI,9,537,14.910134953432568,-5.910134953432568,False,False,0.43155256833760824
226,CAY,9,556,14.993946430171718,-5.993946430171718,False,False,0.43155256833760824
211,AZO,12,558,15.002768690881101,-3.0027686908811013,False,False,0.43155256833760824
318,GAL,2,592,15.152747122940633,-13.152747122940633,False,False,0.43155256833760824
192,CPV,16,605,15.21009181755163,0.7899081824483698,False,False,0.43155256833760824
301,SCI,3,624,15.29390329429078,-12.29390329429078,False,False,0.43155256833760824
314,PEI,2,708,15.664438244084916,-13.664438244084916,False,False,0.43155256833760824
197,GST,15,727,15.748249720824067,-0.7482497208240666,False,False,0.43155256833760824
196,DJI,16,776,15.964395108203977,0.035604891796023,False,False,0.43155256833760824
284,ICE,4,787,16.01291754210559,-12.01291754210559,False,False,0.43155256833760824
148,GAM,28,800,16.070262236716587,11.929737763283413,False,False,0.43155256833760824
234,SOC,8,801,16.07467336707128,-8.07467336707128,False,False,0.43155256833760824
205,MDR,12,814,16.132018061682277,-4.1320180616822775,False,False,0.43155256833760824
200,VNA,14,827,16.189362756293274,-2.1893627562932743,False,False,0.43155256833760824
289,SAM,4,860,16.334930057998115,-12.334930057998115,False,False,0.43155256833760824
204,CAB,13,936,16.670175964954712,-3.670175964954712,False,False,0.43155256833760824
246,REU,7,992,16.91719926481747,-9.91719926481747,False,False,0.43155256833760824
206,MAU,12,1002,16.96131056836439,-4.961310568364389,False,False,0.43155256833760824
171,MTN,22,1009,16.992188480847236,5.007811519152764,False,False,0.43155256833760824
334,NFL,1,1011,17.00101074155662,-16.00101074155662,False,False,0.43155256833760824
217,CRL,10,1036,17.111289000423923,-7.111289000423923,False,False,0.43155256833760824
316,NWT,2,1054,17.19068934680838,-15.19068934680838,False,False,0.43155256833760824
147,NGR,28,1079,17.30096760567568,10.69903239432432,False,False,0.43155256833760824
199,BAH,14,1085,17.327434387803834,-3.3274343878038337,False,False,0.43155256833760824
294,WDC,3,1095,17.371545691350754,-14.371545691350754,False,False,0.43155256833760824
201,COM,14,1105,17.415656994897677,-3.4156569948976774,False,False,0.43155256833760824
297,NSC,3,1122,17.490646210927444,-14.490646210927444,False,False,0.43155256833760824
333,YUK,1,1125,17.503879601991517,-16.503879601991517,False,False,0.43155256833760824
286,NDA,4,1138,17.561224296602518,-13.561224296602518,False,False,0.43155256833760824
229,KUR,8,1141,17.57445768766659,-9.574457687666591,False,False,0.43155256833760824
299,NBR,3,1150,17.61415786085882,-14.614157860858821,False,False,0.43155256833760824
281,KAM,4,1153,17.627391251922898,-13.627391251922898,False,False,0.43155256833760824
175,SIN,21,1243,18.024392983845186,2.9756070161548145,False,False,0.43155256833760824
222,SAK,9,1258,18.090559939165566,-9.090559939165566,False,False,0.43155256833760824
296,MAG,3,1262,18.108204460584336,-15.108204460584336,False,False,0.43155256833760824
152,NCB,27,1263,18.11261559093903,8.88738440906097,False,False,0.43155256833760824
312,SAS,2,1308,18.311116456900173,-16.311116456900173,False,False,0.43155256833760824
181,OMA,20,1314,18.337583239028326,1.6624167609716736,False,False,0.43155256833760824
290,RHO,4,1349,18.491972801442547,-14.491972801442547,False,False,0.43155256833760824
227,VAN,9,1352,18.505206192506623,-9.505206192506623,False,False,0.43155256833760824
313,MAN,2,1375,18.606662190664544,-16.606662190664544,False,False,0.43155256833760824
330,CLS,1,1385,18.650773494211464,-17.650773494211464,False,False,0.43155256833760824
307,ASK,2,1412,18.76987401378815,-16.76987401378815,False,False,0.43155256833760824
126,GNB,34,1419,18.800751926270994,15.199248073729006,False,False,0.43155256833760824
198,IRE,15,1442,18.902207924428915,-3.9022079244289145,False,False,0.43155256833760824
188,AMU,18,1445,18.915441315492988,-0.9154413154929877,False,False,0.43155256833760824
253,SDA,6,1453,18.950730358330524,-12.950730358330524,False,False,0.43155256833760824
133,BLR,32,1473,19.038952965424368,12.961047034575632,False,False,0.43155256833760824
257,NEB,6,1478,19.061008617197828,-13.061008617197828,False,False,0.43155256833760824
138,BAL,32,1493,19.127175572518208,12.872824427481792,False,False,0.43155256833760824
319,NZN,1,1497,19.14482009393698,-18.14482009393698,False,False,0.43155256833760824
176,EQG,21,1514,19.21980930996674,1.7801906900332582,False,False,0.43155256833760824
161,RUW,24,1530,19.290387395641815,4.709612604358185,False,False,0.43155256833760824
207,CTA,12,1533,19.303620786705892,-7.303620786705892,False,False,0.43155256833760824
282,NWH,4,1562,19.431543566991962,-15.431543566991962,False,False,0.43155256833760824
283,DEL,4,1585,19.532999565149883,-15.532999565149883,False,False,0.43155256833760824
249,IOW,6,1601,19.603577650824956,-13.603577650824956,False,False,0.43155256833760824
165,EGY,23,1610,19.643277824017183,3.356722175982817,False,False,0.43155256833760824
202,LES,13,1641,19.78002286501264,-6.78002286501264,False,False,0.43155256833760824
134,CYP,32,1651,19.82413416855956,12.17586583144044,False,False,0.43155256833760824
309,ABT,2,1666,19.89030112387994,-17.89030112387994,False,False,0.43155256833760824
186,CNY,19,1666,19.89030112387994,-0.8903011238799401,False,False,0.43155256833760824
272,MAI,5,1671,19.9123567756534,-14.9123567756534,False,False,0.43155256833760824
250,VER,6,1683,19.965290339909707,-13.965290339909707,False,False,0.43155256833760824
195,BIS,16,1701,20.044690686294164,-4.044690686294164,False,False,0.43155256833760824
189,TVA,17,1708,20.07556859877701,-3.0755685987770107,False,False,0.43155256833760824
291,FIJ,4,1713,20.09762425055047,-16.09762425055047,False,False,0.43155256833760824
194,IRK,16,1727,20.15938007551616,-4.159380075516161,False,False,0.43155256833760824
277,KAN,4,1743,20.229958161191234,-16.229958161191234,False,False,0.43155256833760824
146,BLT,29,1748,20.25201381296469,8.747986187035309,False,False,0.43155256833760824
275,CLN,4,1751,20.265247204028768,-16.265247204028768,False,False,0.43155256833760824
252,CNT,6,1755,20.282891725447538,-14.282891725447538,False,False,0.43155256833760824
278,WVA,4,1815,20.54755954672906,-16.54755954672906,False,False,0.43155256833760824
166,DEN,23,1816,20.551970677083755,2.448029322916245,False,False,0.43155256833760824
149,LBY,27,1817,20.55638180743845,6.443618192561551,False,False,0.43155256833760824
129,AND,33,1818,20.56079293779314,12.439207062206862,False,False,0.43155256833760824
