,CAS ID,InChIKey
0,1068050-46-3,
0,107390-52-3,
0,145051-95-2,
0,30430-49-0,
0,925673-67-2,
0,145039-89-0,
0,530097-82-6,
0,518-75-2,JLWQFKMKUKQXMW-IYSWYEEDSA-N
0,854724-77-9,
0,2088881-33-6,
0,34341-29-2,
0,501-75-7,FHQDWPCFSJMNCT-UHFFFAOYSA-N
0,69735-28-0,PKAFVNJHLLUZFP-CYBMUJFWSA-N
0,119763-89-2,
0,77305-81-8,
0,100079-33-2,
0,461696-08-2,
0,3862-34-8,
0,29018-62-0,
0,97868-10-5,
0,123715-09-3,
0,108789-18-0,UFOVAZLPOLBVGA-MVVLSVRYSA-N
0,118448-91-2,
0,60267-24-5,DEXBUPZUMRUNGB-UHFFFAOYSA-N
0,27579-97-1,PJPHIAMRKUNVSU-NJZAAPMLSA-N
0,191349-10-7,
0,941298-00-6,
0,884490-01-1,
0,159971-08-1,
0,497-77-8,UBTOEGCOMHAXGV-UVKBWZDVSA-M
0,90332-68-6,
0,72378-77-9,
0,64040-72-8,
0,799764-50-4,
0,856680-01-8,
0,1231900-74-5,
0,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N
0,145178-65-0,RFUWLZKZDWRDDA-MNQUYVSVSA-N
0,119539-81-0,
0,195823-86-0,
0,518-28-5,YJGVMLPVUAXIQN-XVVDYKMHSA-N
0,41496-40-6,
0,90985-77-6,
0,15527-80-7,
0,10121-28-5,
0,66548-00-3,BTRYMTRPHJVMRG-KTSQQWMFSA-N
0,6883-44-9,
0,61017-56-9,
0,296251-44-0,
0,36417-86-4,
0,914262-70-7,
0,17334-58-6,DIRROHKULXIUCB-DHJOXOLYSA-N
0,916656-29-6,
0,1242146-20-8,
0,815577-42-5,
0,72120-50-4,
0,960010-09-7,
0,28399-50-0,JJOLHRYZQSDLSA-LJQANCHMSA-N
0,508172-13-2,
0,368422-64-4,
0,51261-74-6,
0,103618-16-2,LEUWPSNVHJODDS-UHFFFAOYSA-N
0,1097647-35-2,
0,35910-15-7,UTBLUTBCAVVCIO-HPCBLLCTSA-N
0,35866-24-1,
0,95262-46-7,
0,174285-77-9,
0,1158294-47-3,
0,"lass=""d1"">206440-72-4",
0,80377-82-8,
0,20016-73-3,
0,124168-00-9,
0,315209-19-9,
0,162990-51-4,
0,194669-79-9,
0,65332-45-8,
0,1660155-38-3,
0,109602-69-9,
0,71052-19-2,
0,293320-63-5,
0,89139-30-0,
0,634918-20-0,
0,956012-28-5,
0,1187957-53-4,
0,65794-23-2,
0,210537-05-6,
0,217946-00-4,
0,60857-75-2,
0,104931-19-3,
0,149155-25-9,
0,124167-98-2,
0,19123-84-3,
0,289649-54-3,
0,1023755-02-3,
0,70215-98-4,
0,13186-19-1,SMZJCCHIPATQCN-LUTQBAROSA-N
0,38962-93-5,
0,11053-17-1,
0,292167-41-0,
0,11028-61-8,
0,257888-16-7,
0,118985-27-6,BYALYZGUSBVZQP-UHFFFAOYSA-N
0,1033593-12-2,
0,170554-71-9,
0,856414-64-7,
0,486992-27-2,
0,108026-27-3,
0,1141453-83-9,
0,158243-08-4,
0,103994-20-3,
0,935545-94-1,
0,35930-30-4,
0,32520-55-1,
0,485831-90-1,
0,171370-48-2,
0,1012315-36-4,
0,189372-55-2,
0,75557-22-1,
0,929907-58-4,
0,210109-25-4,
0,63543-09-9,XZHCLKKXXPKULI-UHFFFAOYSA-N
0,73343-42-7,KEIIIPKLVSSAEI-UHFFFAOYSA-N
0,625111-94-6,
0,152511-24-5,
0,34069-05-1,
0,64125-33-3,
