,CAS ID,InChIKey
0,156832-61-0,PUNFUIMDUBRENC-UHFFFAOYSA-N
0,18529-47-0,LNFVZUMSDAIQDQ-VOTSOKGWSA-N
0,152574-10-2,USFDIQKRDRIDPN-CTYIEIGBSA-N
0,531-29-3,SFLMUHDGSQZDOW-FAOXUISGSA-N
0,4839-19-4,SOFXQTNEGHNRMN-JWXFUTCRSA-N
0,38165-56-9,HTDHRCLVWUEXIS-HNVSNYHQSA-N
0,33429-83-3,ZSPZNFOLWQEVQJ-UHFFFAOYSA-N
0,53-57-6,ACFIXJIJDZMPPO-NNYOXOHSSA-N
0,97399-96-7,QANVGLGBLJFUIP-UHFFFAOYSA-N
0,303-38-8,GLDQAMYCGOIJDV-UHFFFAOYSA-N
0,79886-50-3,RATQVALKDAUZBW-XPMKZLBQSA-N
0,105814-56-0,YQGYDJYDIWCHOB-YPPUOXSUSA-N
0,118395-73-6,XJHXLMVKYIVZTE-FIUQLALASA-N
0,1197-01-9,XLPDVYGDNRIQFV-UHFFFAOYSA-N
0,53890-24-7,NKRBAUXTIWONOV-LBPRGKRZSA-N
0,52286-59-6,PWAOOJDMFUQOKB-QVPADXGFSA-N
0,98985-24-1,KZQBVJMJOSOUQU-UHFFFAOYSA-N
0,20379-19-5,TXOMRNMZLZXJQP-OQDMGONLSA-N
0,19722-76-0,JSZHZLWKXWFJCG-UHFFFAOYSA-N
0,123-07-9,HXDOZKJGKXYMEW-UHFFFAOYSA-N
0,23140-52-5,BJHIKXHVCXFQLS-PUFIMZNGSA-N
0,64142-78-5,NSMIMJYEKVSYMT-RMKNXTFCSA-N
0,623-05-2,BVJSUAQZOZWCKN-UHFFFAOYSA-N
0,21259-20-1,BXFOFFBJRFZBQZ-FHAHJZMBSA-N
0,86402-37-1,DYQZJCUKWTVTLH-HTUOISEFSA-N
0,73609-02-6,BIILLLVYACXZTR-KYJUHHDHSA-N
0,33880-83-0,OPFTUNCRGUEPRZ-UHFFFAOYSA-N
0,14476-37-0,NBSLHMOSERBUOV-UHFFFAOYSA-N
0,877-44-1,WNLWIOJSURYFIB-UHFFFAOYSA-N
0,92662-86-7,IHXFKGYLEMDOHV-WEVVVXLNSA-N
0,17398-11-7,QLDUXSCWWAQMTC-UHFFFAOYSA-N
0,144-62-7,MUBZPKHOEPUJKR-UHFFFAOYSA-N
0,32151-11-4,NEMBFIOCFSUBLI-UHFFFAOYSA-N
0,469-92-1,MKZIRHIVARSBHI-AEGPPILISA-N
0,27934-98-1,RWMXKBUPLSNIJL-BHBNKKJBSA-N
0,27670-80-0,IWKHGZDMTOKGQP-UHFFFAOYSA-N
0,321-02-8,JOUIQRNQJGXQDC-ZYUZMQFOSA-N
0,70862-11-2,DODDBCGMRAFLEB-UHFFFAOYSA-N
0,639-81-6,XCGSFFUVFURLIX-BRMNWJGKSA-N
0,62584-11-6,KBIGHBLKYNEVDZ-UHFFFAOYSA-N
0,487-24-1,SQVXWIUVAILQRH-UHFFFAOYSA-N
0,592-27-8,JVSWJIKNEAIKJW-UHFFFAOYSA-N
0,113558-11-5,ZOIXTVDCTOAUDQ-VYNCXLEOSA-N
0,5060-46-8,UFSFBMBWWNZIAF-UHFFFAOYSA-N
0,20878-97-1,NUNFZNIXYWTZMW-LLVKDONJSA-N
0,57459-42-4,KRQYBYJLACDKBF-RMVXJAJNSA-N
0,5989-43-5,QONYNSMAVSRIRD-UPQAZBFISA-N
0,2009-64-5,BMQYVXCPAOLZOK-NJGYIYPDSA-N
0,73793-68-7,LUSHRJRLUBDDTB-KNQGVANASA-N
0,134955-49-0,PMYIQOSLQPVVAD-UHFFFAOYSA-N
0,2638-57-5,OILXMJHPFNGGTO-OAFVHITRSA-N
0,103-45-7,MDHYEMXUFSJLGV-UHFFFAOYSA-N
0,52212-94-9,VWVDRJWACDDRKD-SECFAUQFSA-N
0,96-82-2,JYTUSYBCFIZPBE-AMTLMPIISA-N
0,18479-68-0,ZTYHGIAOVUPAAH-UHFFFAOYSA-N
0,51776-39-7,OWODMVTTWPVWQA-UHFFFAOYSA-N
0,19950-55-1,JLJAVUZBHSLLJL-GKHNXXNSSA-N
0,27368-79-2,BIJFTRIMTHYJOV-QRWZCSJESA-N
0,668-35-9,HHCAZEOWGVDROC-UHFFFAOYSA-N
0,71247-78-4,ZXENWDWQTWYUGY-DISOOBLMSA-N
0,22611-37-6,ZLOYHDGVJFCYJK-UHFFFAOYSA-N
0,55306-03-1,IFIQVSCCFRXSJV-GOVAGAJPSA-N
0,520-30-9,ZSYPIPFQOQGYHH-UHFFFAOYSA-N
0,31520-97-5,CFUKKPQRQGCLAT-NSHDSACASA-N
0,520-27-4,GZSOSUNBTXMUFQ-YFAPSIMESA-N
0,55038-27-2,CGAKBBMRMLAYMY-VRDMJVMJSA-N
0,577-16-2,YXWWHNCQZBVZPV-UHFFFAOYSA-N
0,85-32-5,RQFCJASXJCIDSX-UHFFFAOYSA-N
0,128129-58-8,PKSKJUUWVGTFQJ-YLJFTQHESA-N
0,50656-68-3,QIRUFAFQGKOTKA-ZRWKYKNNSA-N
0,7448-02-4,CHGIKSSZNBCNDW-QGBOJXOESA-N
0,6078-26-8,CYIFGHJXUWZGSW-GRXCUHEDSA-N
0,5129-60-2,WAKCWJNDXBPEBP-UHFFFAOYSA-N
0,768-91-2,UZUCFTVAWGRMTQ-UHFFFAOYSA-N
0,10338-51-9,ILRCGYURZSFMEG-RKQHYHRCSA-N
0,1117-61-9,QMVPMAAFGQKVCJ-SNVBAGLBSA-N
0,1892-29-1,KYNFOMQIXZUKRK-UHFFFAOYSA-N
0,137218-01-0,OKXOYLXOYZRYCB-UHFFFAOYSA-N
0,57-03-4,AWUCVROLDVIAJX-UHFFFAOYSA-N
0,62014-69-1,FCECVXQMCZMWDG-QLIJHQAKSA-N
0,20086-05-9,OPNWTAMLIMDKEY-QGILWXNYSA-N
0,2478-38-8,OJOBTAOGJIWAGB-UHFFFAOYSA-N
0,104386-89-2,NEYGQYOOZBPYMQ-MUUNZHRXSA-N
0,68831-68-5,QEKDLBSHZCJKRO-UHFFFAOYSA-N
0,160399-32-6,VFRBLIGIRLWBKM-MBAYUCDQSA-N
0,78214-15-0,MHLCZFBEHIXJSV-CZWHOCMUSA-N
0,484-29-7,WIONIXOBNMDJFJ-UHFFFAOYSA-N
0,1420-36-6,OJFDKHTZOUZBOS-UHFFFAOYSA-N
0,553-21-9,HRYLQFBHBWLLLL-AHNJNIBGSA-N
0,477-30-5,NNJPGOLRFBJNIW-UHFFFAOYSA-N
0,100477-88-1,NBRCIHAGNJRRRI-GORDUTHDSA-N
0,22804-49-5,FFVKXGZKJBHJMS-UHFFFAOYSA-N
0,23121-32-6,AAOFJKLTRKOQTQ-UHFFFAOYSA-N
0,4850-21-9,FDNDLNFGITWTOZ-LJQANCHMSA-N
0,69363-14-0,FYSHYFPJBONYCQ-QWHCGFSZSA-N
0,122-84-9,WFWKNGZODAOLEO-UHFFFAOYSA-N
0,144-98-9,AYFVYJQAPQTCCC-UHFFFAOYSA-N
0,55528-90-0,HDVXJTYHXDVWQO-NWANDNLSSA-N
0,29706-59-0,NVKNRXOMCYTFJF-WFLOGZPDSA-N
0,65350-86-9,PDHSAQOQVUXZGQ-UHFFFAOYSA-N
0,98674-52-3,PQEYTAGBXNEUQL-NXEZZACHSA-N
0,108-10-1,NTIZESTWPVYFNL-UHFFFAOYSA-N
0,23660-12-0,XFWZBMTTXLUWKW-YIUHCBHRSA-N
0,2230-70-8,JEANOXXXGPLTOI-UHFFFAOYSA-N
0,56001-43-5,PRNJXUQTUSFYLV-MLRPBERTSA-N
0,250268-59-8,HNUDFMQYCDPTHE-QPUDZDCCSA-N
0,95263-70-0,IBUZLJOVINHPCM-UHFFFAOYSA-N
0,15674-58-5,ZOQQFMKYEOHRMC-KFOCXKDFSA-N
0,33627-41-7,QKVABRCMWRXFAF-HMTTWLPMSA-N
0,484-14-0,RAKJVIPCCGXHHS-UHFFFAOYSA-N
0,130743-09-8,ZQOSECHKDTUIEK-NUIZVSKESA-N
0,119766-96-0,AETACSMBICRTEP-YHYXMXQVSA-N
0,85-65-4,MOHQPHOGSYSNPJ-UHFFFAOYSA-N
0,75330-75-5,PCZOHLXUXFIOCF-BXMDZJJMSA-N
0,2400-66-0,FWBUWJHWAKTPHI-UHFFFAOYSA-N
