,CAS ID,InChIKey
0,117458-38-5,
0,20188-83-4,LOMXQCXSNSCLNP-UFGFRKJLSA-N
0,117-39-5,REFJWTPEDVJJIY-UHFFFAOYSA-N
0,1782-65-6,HHWOKJDCJVESIF-JRJVTICQSA-N
0,65995-63-3,ZJVUMAFASBFUBG-UHFFFAOYSA-N
0,481-81-2,
0,238431-76-0,
0,57096-02-3,OEZZJTAJYYSQKM-UHFFFAOYSA-N
0,59462-26-9,
