,CAS ID,InChIKey
0,149155-01-1,
0,58130-91-9,DEQJJTUOVGHXHW-UHFFFAOYSA-N
0,1065213-70-8,
0,19275-47-9,MUUDYSFWQUSAOO-UHFFFAOYSA-N
0,64763-03-7,
0,19041-10-2,XMJFVIGTHMOGNZ-KALKGZTMSA-M
0,124-20-9,ATHGHQPFGPMSJY-UHFFFAOYSA-N
0,177081-76-4,
0,27003-73-2,MHXCIKYXNYCMHY-AUSJPIAWSA-N
0,81916-54-3,
0,120-47-8,NUVBSKCKDOMJSU-UHFFFAOYSA-N
0,62949-79-5,UWQYBLOHTQWSQD-UHFFFAOYSA-N
0,193483-95-3,
0,1393-03-9,
0,491-78-1,IYBLVRRCNVHZQJ-UHFFFAOYSA-N
0,58262-61-6,
0,77887-58-2,
0,1472-62-4,
0,53254-92-5,
0,67259-16-9,
0,65025-21-0,
0,5299-09-2,GRTOGORTSDXSFK-OYWVLEMYSA-N
0,99883-66-6,
0,115888-31-8,
0,77690-93-8,
0,130360-01-9,
0,63529-06-6,
0,56596-12-4,
0,19888-33-6,
0,21059-86-9,
0,107603-56-5,
0,14937-32-7,QJYNZEYHSMRWBK-NIKIMHBISA-N
0,231288-18-9,
0,142674-51-9,
0,300833-57-2,
0,35286-53-4,
0,1283095-31-7,
0,205577-56-6,
0,143601-13-2,
0,6813-21-4,
0,495-78-6,
0,142621-24-7,
0,27975-21-9,
0,24268-94-8,
0,33900-74-2,
0,3542-72-1,ZHTQCPCDXKMMLU-UHFFFAOYSA-N
0,60422-23-3,
0,76-22-2,DSSYKIVIOFKYAU-UHFFFAOYSA-N
0,2035-05-4,
0,38642-55-6,
0,85317-31-3,
0,143114-81-2,
0,256528-97-9,
0,66446-94-4,
0,55610-02-1,AFKGBLKLNRDQFN-UHFFFAOYSA-N
0,96383-98-1,
0,156281-21-9,
0,107-92-6,FERIUCNNQQJTOY-UHFFFAOYSA-N
0,109269-70-7,
0,35154-54-2,
0,327185-01-3,
0,64309-19-9,OKWFLKIFQAURIN-RQXRXZBQSA-N
0,79541-04-1,
0,918300-70-6,
0,106854-92-6,
0,90-29-9,KNJNBKINYHZUGC-UHFFFAOYSA-N
0,1012326-56-5,
0,1253190-76-9,
0,90-5-1,
0,18530-02-4,
0,53254-89-0,
0,26195-62-0,SVMNNRZZJAFEJM-UHFFFAOYSA-N
0,33352-59-9,
0,88477-78-5,QPLVRXNITVEQGA-UHFFFAOYSA-N
0,156953-93-4,
0,348082-39-3,
0,344912-80-7,
0,80443-11-4,
0,31025-53-3,PIJHQWMTZXDYER-QNDFHXLGSA-N
0,25555-57-1,SEEZIOZEUUMJME-FOWTUZBSSA-N
0,24405-58-1,
0,34302-19-7,PKPVGZROZJWCTE-GIKWLFIVSA-N
0,73215-92-6,
0,646-31-1,POOSGDOYLQNASK-UHFFFAOYSA-N
0,354994-30-2,
0,33676-00-5,LBJCUHLNHSKZBW-DSSITSQDSA-N
0,64280-47-3,
0,265319-48-0,
0,47845-44-3,
0,307504-15-0,
0,91147-18-1,
0,53254-81-2,
0,85915-64-6,
0,78101-26-5,
0,72361-60-5,WAYZHHGAMCRHBA-TYLJBMGJSA-N
0,41703-38-2,
0,1266104-28-2,
0,17291-05-3,ITDYPNOEEHONAH-UKRRQHHQSA-N
0,331954-16-6,
0,547-01-3,SRTGQBIWSBCVSM-JYBGDFTBSA-N
0,123520-95-6,QZQZNYPPPNBAEP-UHFFFAOYSA-N
0,132185-75-2,
0,96843-73-1,
0,1686-20-0,
0,678188-35-7,
0,1007894-64-5,
0,344423-27-4,
0,651300-13-9,
