,CAS ID,InChIKey
0,32602-81-6,
0,51986-37-9,
0,170661-69-5,
0,1093228-18-2,
0,99339-48-7,
0,126715-90-0,
0,243464-93-9,
0,1036-54-0,
0,61276-16-2,PZTVNHKDWVHORF-FMEUUFJCSA-N
0,128366-59-6,
0,73177-70-5,
0,131549-80-9,
0,57684-35-2,
0,118686-45-6,
0,95851-19-7,
0,160262-52-2,
0,126192-35-6,
0,651731-54-3,
0,68116-40-5,
0,201480-12-8,
0,4801-97-2,
0,69306-82-7,
0,906089-20-1,
0,1001598-53-3,
0,78887-73-7,
0,104363-17-9,
0,249891-18-7,
0,204253-92-9,
0,652153-80-5,
0,159650-19-8,
0,597542-74-0,
0,1823-86-5,
0,104363-13-5,
0,1255789-52-6,
0,133594-25-9,
0,22149-72-0,
0,10539-87-4,UGGAHNIITODSKB-UHFFFAOYSA-N
0,4546-59-2,
0,178460-21-4,
0,956700-00-8,
0,72741-87-8,FXUAIOOAOAVCGD-WCTZXXKLSA-N
0,60077-63-6,
0,117479-72-8,
0,1008376-89-3,
0,110202-68-1,
0,882677-14-7,
0,1252591-12-0,
0,55965-22-5,
0,487004-72-8,
0,1445876-93-6,
0,29482-55-1,
0,955127-07-8,
0,152695-31-3,
0,382137-54-4,
0,30452-60-9,
0,255830-26-3,
0,135247-97-1,NFCOJBIECSQMAM-JQISRXLJSA-N
0,343935-36-4,
0,2239-78-3,BEKZXQKGTDVSKX-UHFFFAOYSA-N
0,56645-88-6,
0,88839-93-4,
0,1012326-55-4,
0,13401-40-6,LWTDZKXXJRRKDG-KXBFYZLASA-N
0,832733-41-2,
0,934760-61-9,
0,189308-10-9,
0,2884-83-5,
0,134981-93-4,
0,77620-47-4,FAQMCKSIBZGZIB-UHFFFAOYSA-N
0,316146-86-8,
0,2233-18-3,UYGBSRJODQHNLQ-UHFFFAOYSA-N
0,34198-73-7,
0,6133-15-9,
0,108789-16-8,JIMGXIXILGGGKF-CNXMPEIMSA-N
0,175669-30-4,
0,15358-48-2,AYMJJTYUDBRBRA-MPNXSPFOSA-N
0,20194-60-9,
0,104148-45-0,LRGJZQCUGTZKGE-FQKPHLNHSA-N
0,79081-90-6,
0,796845-76-6,
0,55486-06-1,
0,903513-66-6,
0,179003-82-8,
0,95066-33-4,UTQKGBDSCRMUJO-UHFFFAOYSA-N
0,256531-73-4,
0,330808-27-0,
0,28289-13-6,
0,393085-15-9,
0,155545-01-0,
0,110601-24-6,
0,582298-55-3,
0,80450-22-2,
0,119152-48-6,
0,117383-33-2,
0,304654-93-1,
0,196086-14-3,
0,298184-60-8,
0,475-11-6,
0,108524-93-2,
0,638199-39-0,
0,78330-51-5,
0,142474-53-1,RCZMWVKBVFOCEE-ZDUSSCGKSA-N
0,97937-29-6,MCNOFFKXBMHLAD-BNFZFUHLSA-N
0,603995-09-1,
0,33554-60-8,
0,165198-90-3,
0,543-83-9,UVMLHMAIUVSYOL-UHFFFAOYSA-N
0,93376-07-9,
0,188655-39-2,
0,255901-22-5,
0,370563-80-7,
0,487-60-5,XVARCVCWNFACQC-RKQHYHRCSA-N
0,116-26-7,SGAWOGXMMPSZPB-UHFFFAOYSA-N
0,911682-67-2,
0,466-81-9,PLENFHSJZZDRNT-LINSIKMZSA-N
0,124676-46-6,
0,412929-51-2,
0,35535-32-1,
0,50906-63-3,
0,220777-86-6,
0,94535-52-1,
0,386277-86-7,
0,86703-04-0,
0,640276-28-4,
0,2407-43-4,GOUILHYTHSOMQJ-UHFFFAOYSA-N
0,169238-46-4,
0,112848-47-2,
0,68027-38-3,
0,80503-54-4,GEZBDPPVXYFNMG-UHFFFAOYSA-N
0,18642-23-4,YABIJLLNNFURIJ-UHFFFAOYSA-N
0,454222-43-6,
0,89803-86-1,
0,58974-68-8,
0,6878-12-2,
0,260405-85-4,
0,659738-08-6,
0,120330-44-1,
0,63335-24-0,KOAPDMKKECXPHX-UHFFFAOYSA-N
0,25782-25-6,
0,32619-42-4,RFWGABANNQMHMZ-ZCHJGGQASA-N
0,17105-72-5,
0,263250-03-9,
0,107602-36-8,
0,332843-47-7,
0,103197-37-1,
0,259529-86-7,
0,173485-48-8,
0,263249-36-1,
0,4176-17-4,VMYXUZSZMNBRCN-CQSZACIVSA-N
0,247095-90-5,
0,128397-04-6,
0,62956-48-3,
0,173792-67-1,
0,246245-14-7,
0,70195-23-2,
0,370068-00-1,
0,62820-10-4,
0,173615-23-1,
0,20733-99-7,
0,53925-28-3,
0,3213-30-7,WJXQFVMTIGJBFX-UHFFFAOYSA-N
0,59719-27-6,
0,207226-71-9,
0,27661-36-5,YTMNONATNXDQJF-QSLGVYCOSA-N
0,92070-73-0,
0,18688-40-9,IFGFYNRAHYENJQ-CHWSQXEVSA-N
0,18492-61-0,
0,289-16-7,QHGFEUAAQKJXDI-UHFFFAOYSA-N
0,7448-03-5,
0,163564-57-6,
0,98891-33-9,
0,36190-98-4,
0,158182-33-3,
0,218281-62-0,
0,54352-70-4,AFGMWONXXNDGGE-UHFFFAOYSA-N
0,85708-47-0,
0,67370-02-9,VZBCOPRNVQLISP-PSQKXIODSA-N
0,7331-58-0,YLRNDYZYIUVEDH-UHFFFAOYSA-N
0,156343-39-4,
0,70872-29-6,
0,50816-24-5,
0,302778-46-7,
0,476411-72-0,
