,CAS ID,InChIKey
0,13744-18-8,
0,89764-20-5,
0,29289-02-9,
0,131989-73-6,
0,58193-25-2,QSIMBUYUBYRBSU-ALPBESCQSA-N
0,3604-87-3,UPEZCKBFRMILAV-JMZLNJERSA-N
0,63543-59-9,
0,93098-79-4,
0,128700-30-1,
0,107286-94-2,
0,1259-94-5,
0,99883-42-8,
0,81905-13-7,
0,106900-15-6,
0,5289-74-7,NKDFYOWSKOHCCO-YPVLXUMRSA-N
0,54835-71-1,KZOPXYPPFZYEHT-RKPZXMFYSA-N
0,146805-53-0,
0,89764-19-2,
0,110352-79-9,
0,132923-22-9,
0,24699-16-9,CDYBOKJASDEORM-HBVDJMOISA-N
0,3260-50-2,ACAAVKGSTVOIQB-BASWHVEKSA-N
0,114590-44-2,
0,145204-84-8,
0,33285-16-4,
0,119784-25-7,OFFJUHSISSNBNT-NZWHLKEESA-N
0,25615-14-9,
0,288626-57-3,
0,111128-11-1,
0,120015-17-0,
0,55812-47-0,
0,93078-66-1,
0,482-38-2,PUPKKEQDLNREIM-QNSQPKOQSA-N
0,64323-49-5,
0,6915-15-7,BJEPYKJPYRNKOW-UHFFFAOYSA-N
0,70427-13-3,
0,54656-51-8,
0,128700-29-8,
0,69292-77-9,
0,75848-04-3,
0,81826-98-4,
0,88206-86-4,
0,71801-95-1,
0,34327-25-8,MALNZFMESUARAT-HGJZFELWSA-N
0,18089-44-6,UMMBJCYNGLCGEF-OAUIFJKNSA-N
0,53987-23-8,
0,54826-92-5,
0,31159-41-8,
0,33650-66-7,QZOALWMSYRBZSA-XSAMIUIESA-N
0,72247-03-1,DLEIYVDJTDXZOP-ASDADGTLSA-N
0,501-16-6,QAIPRVGONGVQAS-DUXPYHPUSA-N
0,19143-87-4,
0,137196-20-4,
0,75759-58-9,
0,13408-56-5,PJYYBCXMCWDUAZ-JJJZTNILSA-N
0,165673-60-9,
0,41756-09-6,
0,5041-67-8,POQICXMTUPVZMX-WNJKXWAASA-N
0,150697-53-3,
0,120015-16-9,
0,146713-96-4,
0,13454-27-8,
0,18016-58-5,
0,6980-44-5,AUKMHZZVLPQAOX-PCFYLXDYSA-N
0,1912-66-9,HXQRIQXPGMPSRW-WVVGHYSUSA-N
0,28535-69-5,
0,2392-95-2,JZMDHNZJOZUDLG-QVBRAHCHSA-N
