,CAS ID,InChIKey
0,152505-09-4,
0,13796-44-6,
0,88899-19-8,
0,211947-58-9,
0,185678-89-1,
0,161099-58-7,
0,84-39-9,UXYJCYXWJGAKQY-HNNXBMFYSA-N
0,104021-41-2,QBHFIWNWSDONQN-UHFFFAOYSA-N
0,1097190-76-5,
0,263723-46-2,
0,956512-89-3,
0,63115-49-1,
0,29837-07-8,
0,165542-15-4,
0,84323-09-1,
0,122537-46-6,
0,496776-71-7,
0,909803-26-5,
0,105608-45-5,
0,63768-12-7,
0,35471-10-4,JICZMZVYTMAXGX-KHSUWTBESA-N
0,5252-40-4,PKLPURDVDNBFCI-UHFFFAOYSA-N
0,913170-02-2,
0,117176-80-4,DVQKSIMSTILIJZ-UHFFFAOYSA-N
0,490-46-0,PFTAWBLQPZVEMU-UKRRQHHQSA-N
0,205598-16-9,
0,1173348-66-7,
0,88156-44-9,
0,57685-65-1,
0,315238-17-6,
0,951646-22-3,
0,1429-30-7,QULMBDNPZCFSPR-UHFFFAOYSA-N
0,77171-55-2,
0,149418-37-1,
0,610800-98-1,
0,263249-30-5,
0,220832-88-2,
0,1218-34-4,DZTHIGRZJZPRDV-UHFFFAOYSA-N
0,1616264-73-3,
0,124166-26-3,VXIWIIHDWPBCIM-DHZHZOJOSA-N
0,151436-54-3,
0,58808-76-7,
0,80931-31-3,
0,526-12-5,
0,175097-25-3,
0,91653-34-8,
0,87340-30-5,
0,18452-41-0,
0,2445-72-9,UYGGIIOLYXRSQY-UHFFFAOYSA-N
0,59633-81-7,
0,861807-89-8,
0,1012326-53-2,
0,24465-21-2,RLJCBUKFIDXOQW-MLYOOKFZSA-N
0,1041464-45-2,
0,5932-79-6,IXUOEGRSQCCEHB-UHFFFAOYSA-N
0,177602-13-0,
0,65684-23-3,
0,84534-40-7,
0,89029-11-8,
0,209863-01-4,
0,81398-30-3,
0,110823-68-2,
0,196606-15-2,
0,26894-48-4,
0,115473-61-5,VPHNLICITYBTRH-UHFFFAOYSA-N
0,2574-71-2,XDSSPSLGNGIIHP-VKHMYHEASA-N
0,148084-40-6,WMENTGZRTZXFDF-ZDGFMGGXSA-N
0,942915-42-6,
0,94414-19-4,
0,929695-72-7,
0,139626-30-5,
0,912539-82-3,
0,55719-85-2,KVMWYGAYARXPOL-QDEBKDIKSA-N
0,40246-10-4,OZBAVEKZGSOMOJ-MIUGBVLSSA-N
0,35153-15-2,GSAAJQNJNPBBSX-WAYWQWQTSA-N
0,26091-79-2,ORBITTMJKIGFNH-LLVKDONJSA-N
0,267883-59-0,
0,101219-63-0,
0,68862-13-5,
0,1207847-81-1,
0,2225-79-8,
0,219724-89-7,
0,18318-68-8,
0,147395-91-3,
0,6858-92-0,
0,284464-01-3,
0,1016275-26-5,
0,268214-51-3,
0,135625-46-6,
0,140367-81-3,
0,78-70-6,CDOSHBSSFJOMGT-UHFFFAOYSA-N
0,200059-91-2,
0,137031-56-2,QOWFEPGZJDCIKG-UHFFFAOYSA-N
0,1469752-66-6,
0,20303-60-0,
0,303008-81-3,
0,1004323-46-9,
0,81916-08-7,
0,77744-53-7,WOGYXYDORXIAGE-ZDUSSCGKSA-N
0,497-33-6,
0,870298-04-7,
0,22318-83-8,
0,864512-88-9,
0,887143-78-4,
0,643026-16-8,
0,22550-17-0,
0,496788-49-9,
0,548-43-6,DAVNRFCJMIONPO-UKRRQHHQSA-N
0,68592-13-2,KITQZTHJDLCXMR-HMGRVEAOSA-N
0,126654-55-5,
0,851383-33-0,
0,164123-51-7,
0,51196-77-1,
0,140872-96-4,
0,1242438-70-5,
0,129443-33-0,
0,701203-91-0,
0,652975-44-5,
0,194657-34-6,
0,63023-59-6,CVIPXLIMSIYMFK-BJLGHUSZSA-N
0,72581-69-2,
0,205239-54-9,
0,504-55-2,CPGCVOVWHCWVTP-GDLZYMKVSA-N
0,205761-69-9,
0,333332-48-2,
0,403503-14-0,
0,51321-79-0,WZCWSQWJAAXHCP-QVTWQEFQSA-J
0,62868-75-1,
0,37126-91-3,DKEANOQWICTXTP-UONOGXRCSA-N
0,84249-44-5,
0,103805-67-0,
0,18472-36-1,OSELKOCHBMDKEJ-WGMIZEQOSA-N
0,98155-84-1,
0,35013-07-1,
0,60394-95-8,
0,68011-76-7,
0,127414-85-1,FXFBVZOJVHCEDO-NMACYSKISA-N
0,268559-18-8,
0,881388-89-2,
0,87440-81-1,
0,65634-07-3,
0,150204-46-9,
0,68346-07-6,
0,173994-02-0,
0,738584-19-5,
0,185213-27-8,
0,240804-39-1,
0,35142-06-4,LBBQPQFZUZOHTO-UHFFFAOYSA-N
0,1165-40-8,
0,98767-45-4,URLVCROWVOSNPT-HJPPHTJLSA-N
0,339176-34-0,
0,97730-85-3,
0,202343-92-8,
0,1133940-15-4,
0,385366-59-6,
0,30048-24-9,
0,24563-84-6,
0,139934-61-5,
0,176903-28-9,
0,19833-20-6,UEFNZITZGVWLFK-VOTSOKGWSA-N
0,101395-02-2,
0,1005340-18-0,
0,20268-93-3,DUISZFLWBAPRBR-UHFFFAOYSA-N
