,CAS ID,InChIKey
0,202598-10-5,
0,4397-18-6,YZZAPGQHAYCEDP-UHFFFAOYSA-N
0,103596-16-3,
0,698365-10-5,
0,117047-08-2,
0,1016572-87-4,
0,213130-77-9,
0,82657-12-3,UWBKEKWTUMGDCN-QSUZLTIMSA-N
0,1042959-30-7,
0,"101072-66-6,114051-26-2,122798-00-9",
0,262599-03-1,
0,238752-75-5,
0,367941-41-1,
0,79694-88-5,
0,1019838-96-0,
0,178402-70-5,
0,117591-80-7,QOXUIQMPPDIDGM-PMOUVXMZSA-N
0,15167-85-8,
0,1940183-28-7,
0,447-05-2,WHOMFKWHIQZTHY-UHFFFAOYSA-N
0,23660-06-2,
0,10547-06-5,
0,79405-83-7,
0,24173-64-6,
0,188560-03-4,
0,17391-18-3,
0,163564-55-4,
0,3808-26-2,
0,1323915-01-0,
0,931423-31-3,
0,202420-24-4,
0,490028-04-1,
0,456-12-2,
0,808772-53-4,
0,4573-22-2,
0,6736-86-3,
0,495-86-3,WKWYNAMJWDRHBP-GQCTYLIASA-N
0,2033097-31-1,
0,117857-70-2,
0,289030-99-5,
0,676606-21-6,
0,61242-47-5,
0,651737-85-8,
0,103-53-7,MJQVZIANGRDJBT-VAWYXSNFSA-N
0,414903-23-4,
0,316351-01-6,
0,600166-05-0,
0,98891-35-1,DJBNDURQGGCIGN-VHSXEESVSA-N
0,140163-61-7,
0,98941-66-3,
0,859202-75-8,
0,1948-82-9,UFSCUAXLTRFIDC-UHFFFAOYSA-N
0,4694-12-6,OXTQEWUBDTVSFB-UHFFFAOYSA-N
0,35942-44-0,
0,160024-46-4,
0,1122469-32-2,
0,101751-72-8,
0,156312-12-8,
0,69400-22-2,
0,18674-26-5,
0,7535-00-4,MSWZFWKMSRAUBD-GASJEMHNSA-N
0,89783-74-4,
0,349545-16-0,
0,1616060-92-4,
0,110-19-0,GJRQTCIYDGXPES-UHFFFAOYSA-N
0,130289-27-9,
0,68799-37-1,
0,121748-00-3,
0,94799-71-0,
0,1616062-84-0,
0,229483-42-5,
0,198953-21-8,
0,439900-90-0,
0,139051-61-9,
0,80357-99-9,
0,193552-25-9,
0,342812-40-2,
0,1158305-90-8,
0,463342-41-8,
0,690269-45-5,
0,60623-09-8,
0,116368-96-8,
