,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,138,5526,388.364390118821,-250.364390118821,False,False,0.6376347210217408
1,Achariaceae,21,177,14.55146078864653,6.44853921135347,False,False,0.6376347210217408
2,Acoraceae,4,4,2.461418393036102,1.538581606963898,False,False,0.6376347210217408
3,Actinidiaceae,16,449,33.56008235862362,-17.560082358623617,False,False,0.6376347210217408
4,Aizoaceae,60,1799,127.90434382725991,-67.90434382725991,False,False,0.6376347210217408
5,Akaniaceae,2,2,2.3216491167862707,-0.32164911678627073,False,False,0.6376347210217408
6,Alismataceae,8,122,10.707805691776164,-2.707805691776164,False,False,0.6376347210217408
7,Alstroemeriaceae,19,260,20.35188575301454,-1.351885753014539,False,False,0.6376347210217408
8,Altingiaceae,3,15,3.2301494124101753,-0.23014941241017528,False,False,0.6376347210217408
9,Alzateaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
10,Amaranthaceae,155,2411,170.67374235970834,-15.673742359708342,False,False,0.6376347210217408
11,Amaryllidaceae,239,2535,179.33943748719793,59.66056251280207,False,False,0.6376347210217408
12,Amborellaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
13,Anacardiaceae,89,941,67.94332431608218,21.056675683917817,False,False,0.6376347210217408
14,Ancistrocladaceae,14,20,3.5795726030347543,10.420427396965245,False,False,0.6376347210217408
15,Anisophylleaceae,3,57,6.165304213656638,-3.165304213656638,False,False,0.6376347210217408
16,Annonaceae,337,2577,182.27459228844435,154.72540771155565,False,False,0.6376347210217408
17,Aphloiaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
18,Apiaceae,575,3958,278.7852775389531,296.2147224610469,False,False,0.6376347210217408
19,Apocynaceae,534,6707,470.89814774434655,63.101852255653455,False,False,0.6376347210217408
20,Aquifoliaceae,77,574,42.29566212423809,34.70433787576191,False,False,0.6376347210217408
21,Araceae,118,4593,323.1620227482746,-205.16202274827458,False,False,0.6376347210217408
22,Araliaceae,109,1686,120.00737971914442,-11.007379719144424,False,False,0.6376347210217408
23,Araucariaceae,18,38,4.837496089283238,13.162503910716762,False,False,0.6376347210217408
24,Arecaceae,55,2527,178.78036038219858,-123.78036038219858,False,False,0.6376347210217408
25,Aristolochiaceae,126,760,55.294204815472426,70.70579518452757,False,False,0.6376347210217408
26,Asparagaceae,259,3552,250.41211446023726,8.587885539762738,False,False,0.6376347210217408
27,Asphodelaceae,227,1263,90.44617779230506,136.55382220769494,False,False,0.6376347210217408
28,Aspleniaceae,65,3425,241.53676541837297,-176.53676541837297,False,False,0.6376347210217408
29,Asteraceae,4020,35217,2463.309180685695,1556.690819314305,True,False,0.6376347210217408
30,Atherospermataceae,13,17,3.3699186886600074,9.630081311339993,False,False,0.6376347210217408
31,Austrobaileyaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
32,Balanopaceae,1,9,2.810841583660681,-1.810841583660681,False,False,0.6376347210217408
33,Balanophoraceae,15,61,6.4448427661563015,8.555157233843698,False,False,0.6376347210217408
34,Balsaminaceae,9,1172,84.08667572293773,-75.08667572293773,False,False,0.6376347210217408
35,Basellaceae,6,19,3.5096879649098387,2.4903120350901613,False,False,0.6376347210217408
36,Bataceae,1,2,2.3216491167862707,-1.3216491167862707,False,False,0.6376347210217408
37,Begoniaceae,9,2136,151.45546687535654,-142.45546687535654,False,False,0.6376347210217408
38,Berberidaceae,149,739,53.82662741484919,95.17337258515082,False,False,0.6376347210217408
39,Berberidopsidaceae,1,4,2.461418393036102,-1.461418393036102,False,False,0.6376347210217408
40,Betulaceae,59,210,16.85765384676875,42.14234615323125,False,False,0.6376347210217408
41,Biebersteiniaceae,3,4,2.461418393036102,0.538581606963898,False,False,0.6376347210217408
42,Bignoniaceae,98,904,65.35759270546029,32.64240729453971,False,False,0.6376347210217408
43,Bixaceae,6,27,4.068765069909165,1.9312349300908354,False,False,0.6376347210217408
44,Blandfordiaceae,1,4,2.461418393036102,-1.461418393036102,False,False,0.6376347210217408
45,Bonnetiaceae,2,38,4.837496089283238,-2.8374960892832384,False,False,0.6376347210217408
46,Boraginaceae,254,3507,247.26730574461607,6.732694255383933,False,False,0.6376347210217408
47,Brassicaceae,353,4238,298.3529762139295,54.64702378607052,False,False,0.6376347210217408
48,Bromeliaceae,46,3720,262.15273366522314,-216.15273366522314,False,False,0.6376347210217408
49,Burseraceae,65,770,55.99305119672158,9.00694880327842,False,False,0.6376347210217408
50,Buxaceae,20,129,11.196998158650574,8.803001841349426,False,False,0.6376347210217408
51,Byblidaceae,1,8,2.740956945535765,-1.740956945535765,False,False,0.6376347210217408
52,Cabombaceae,1,7,2.6710723074108493,-1.6710723074108493,False,False,0.6376347210217408
53,Cactaceae,130,1984,140.83300188036935,-10.833001880369352,False,False,0.6376347210217408
54,Calceolariaceae,25,274,21.33027068676336,3.6697293132366404,False,False,0.6376347210217408
55,Calophyllaceae,83,437,32.721466701124626,50.278533298875374,False,False,0.6376347210217408
56,Calycanthaceae,5,11,2.9506108599105128,2.0493891400894872,False,False,0.6376347210217408
57,Calyceraceae,9,47,5.46645783240748,3.53354216759252,False,False,0.6376347210217408
58,Campanulaceae,83,2517,178.08151400094943,-95.08151400094943,False,False,0.6376347210217408
59,Campynemataceae,1,4,2.461418393036102,-1.461418393036102,False,False,0.6376347210217408
60,Canellaceae,11,23,3.7892265174095017,7.210773482590499,False,False,0.6376347210217408
61,Cannabaceae,15,113,10.078843948651922,4.921156051348078,False,False,0.6376347210217408
62,Cannaceae,2,12,3.0204954980354284,-1.0204954980354284,False,False,0.6376347210217408
63,Capparaceae,48,438,32.791351339249545,15.208648660750455,False,False,0.6376347210217408
64,Caprifoliaceae,143,1120,80.4526745404421,62.5473254595579,False,False,0.6376347210217408
65,Cardiopteridaceae,3,41,5.047150003657986,-2.047150003657986,False,False,0.6376347210217408
66,Caricaceae,7,44,5.256803918032733,1.743196081967267,False,False,0.6376347210217408
67,Caryocaraceae,5,26,3.998880431784249,1.001119568215751,False,False,0.6376347210217408
68,Caryophyllaceae,123,3403,239.9993033796248,-116.99930337962479,False,False,0.6376347210217408
69,Casuarinaceae,5,91,8.541381909903773,-3.541381909903773,False,False,0.6376347210217408
70,Celastraceae,175,1365,97.57441088104646,77.42558911895354,False,False,0.6376347210217408
71,Centroplacaceae,4,9,2.810841583660681,1.189158416339319,False,False,0.6376347210217408
72,Cephalotaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
73,Cephalotaxaceae,7,8,2.740956945535765,4.259043054464235,False,False,0.6376347210217408
74,Ceratophyllaceae,1,6,2.6011876692859337,-1.6011876692859337,False,False,0.6376347210217408
75,Cercidiphyllaceae,1,2,2.3216491167862707,-1.3216491167862707,False,False,0.6376347210217408
76,Chloranthaceae,18,75,7.423227699905122,10.576772300094877,False,False,0.6376347210217408
77,Chrysobalanaceae,45,546,40.33889225674045,4.661107743259549,False,False,0.6376347210217408
78,Cistaceae,18,292,22.588194173011843,-4.588194173011843,False,False,0.6376347210217408
79,Cleomaceae,34,225,17.905923418642487,16.094076581357513,False,False,0.6376347210217408
80,Clethraceae,2,100,9.170343653028016,-7.1703436530280165,False,False,0.6376347210217408
81,Clusiaceae,145,909,65.70701589608487,79.29298410391513,False,False,0.6376347210217408
82,Colchicaceae,62,295,22.79784808738659,39.20215191261341,False,False,0.6376347210217408
83,Columelliaceae,2,8,2.740956945535765,-0.740956945535765,False,False,0.6376347210217408
84,Combretaceae,73,586,43.13427778173708,29.865722218262917,False,False,0.6376347210217408
85,Commelinaceae,11,782,56.83166685422057,-45.83166685422057,False,False,0.6376347210217408
86,Connaraceae,8,241,19.02407762864114,-11.024077628641141,False,False,0.6376347210217408
87,Convolvulaceae,132,1979,140.48357868974477,-8.483578689744775,False,False,0.6376347210217408
88,Coriariaceae,7,17,3.3699186886600074,3.6300813113399926,False,False,0.6376347210217408
89,Cornaceae,23,113,10.078843948651922,12.921156051348078,False,False,0.6376347210217408
90,Corynocarpaceae,1,5,2.531303031161018,-1.531303031161018,False,False,0.6376347210217408
91,Costaceae,8,163,13.57307585489771,-5.573075854897709,False,False,0.6376347210217408
92,Crassulaceae,143,1823,129.5815751422579,13.41842485774211,False,False,0.6376347210217408
93,Crossosomataceae,1,7,2.6710723074108493,-1.6710723074108493,False,False,0.6376347210217408
94,Crypteroniaceae,1,12,3.0204954980354284,-2.0204954980354284,False,False,0.6376347210217408
95,Cucurbitaceae,96,1065,76.60901944357174,19.39098055642826,False,False,0.6376347210217408
96,Cunoniaceae,10,337,25.733002888633052,-15.733002888633052,False,False,0.6376347210217408
97,Cupressaceae,106,177,14.55146078864653,91.44853921135348,False,False,0.6376347210217408
98,Cyatheaceae,14,816,59.20774455046771,-45.20774455046771,False,False,0.6376347210217408
99,Cycadaceae,6,119,10.498151777401416,-4.498151777401416,False,False,0.6376347210217408
100,Cymodoceaceae,10,18,3.439803326784923,6.560196673215077,False,False,0.6376347210217408
101,Cynomoriaceae,1,1,2.2517644786613547,-1.2517644786613547,False,False,0.6376347210217408
102,Cyperaceae,251,6053,425.1935944106516,-174.1935944106516,False,False,0.6376347210217408
103,Cytinaceae,2,12,3.0204954980354284,-1.0204954980354284,False,False,0.6376347210217408
104,Daphniphyllaceae,13,31,4.348303622408828,8.651696377591172,False,False,0.6376347210217408
105,Datiscaceae,2,2,2.3216491167862707,-0.32164911678627073,False,False,0.6376347210217408
106,Degeneriaceae,1,2,2.3216491167862707,-1.3216491167862707,False,False,0.6376347210217408
107,Dennstaedtiaceae,23,264,20.6314243055142,2.3685756944857985,False,False,0.6376347210217408
108,Diapensiaceae,1,19,3.5096879649098387,-2.5096879649098387,False,False,0.6376347210217408
109,Dichapetalaceae,12,209,16.787769208643837,-4.787769208643837,False,False,0.6376347210217408
110,Didiereaceae,4,20,3.5795726030347543,0.42042739696524567,False,False,0.6376347210217408
