,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family
4554,17-Pentatriacontanol,RPCJTZNNAZELOQ-UHFFFAOYSA-N,RPCJTZNNAZELOQ,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4524,20-Hydroxyecdysone,NKDFYOWSKOHCCO-YPVLXUMRSA-N,NKDFYOWSKOHCCO,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4555,4-Methylheptatriacont-1-en-10-ol,BVAZFKIPMDKXLW-UHFFFAOYSA-N,BVAZFKIPMDKXLW,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4536,Acetylursolic acid,PHFUCJXOLZAQNH-OTMOLZNZSA-N,PHFUCJXOLZAQNH,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4557,Achyranthine,LJGFIWDOHOWUOY-UHFFFAOYSA-N,LJGFIWDOHOWUOY,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4533,Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,KWIUHFFTVRNATP,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4559,Betalain,DHHFDKNIEVKVKS-MLZDZRTESA-N,DHHFDKNIEVKVKS,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4552,Brassidic acid,DPUOLQHDNGRHBS-MDZDMXLPSA-N,DPUOLQHDNGRHBS,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4548,Hexatriacontane,YDLYQMBWCWFRAI-UHFFFAOYSA-N,YDLYQMBWCWFRAI,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4535,Oleanolic acid,MIJYXULNPSFWEK-GTOFXWBISA-N,MIJYXULNPSFWEK,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4529,Spinasterol,JZVFJDZBLUFKCA-FXIAWGAOSA-N,JZVFJDZBLUFKCA,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4553,Tritriacontanol,ZERSFCCIRKUIFX-UHFFFAOYSA-N,ZERSFCCIRKUIFX,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4531,beta-Betulinic acid,QGJZLNKBHJESQX-FZFNOLFKSA-N,QGJZLNKBHJESQX,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4550,Rubrosterone,OMQCWEJQYPUGJG-HGOAFWEXSA-N,OMQCWEJQYPUGJG,Achyranthes rubrofusca,Achyranthes aspera var. rubrofusca,Achyranthes aspera var. rubrofusca (Wight) Hook.f.,Achyranthes aspera,Amaranthaceae
4522,1-Triacontanol,REZQBEBOWJAQKS-UHFFFAOYSA-N,REZQBEBOWJAQKS,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4523,20-Hydroxyecdysone,NKDFYOWSKOHCCO-YPVLXUMRSA-N,NKDFYOWSKOHCCO,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4556,Achyranthine,LJGFIWDOHOWUOY-UHFFFAOYSA-N,LJGFIWDOHOWUOY,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4537,Achyranthoside B,UOGGJUUNBPSGHY-LZXYOFOPSA-N,UOGGJUUNBPSGHY,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4538,Achyranthoside B,UOGGJUUNBPSGHY-LZXYOFOPSA-N,UOGGJUUNBPSGHY,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4539,Achyranthoside C,GNCYMXULNXKROG-UHFFFAOYSA-N,GNCYMXULNXKROG,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4540,Achyranthoside D,VYVPIFXAYNIMKK-UHFFFAOYSA-N,VYVPIFXAYNIMKK,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4541,Achyranthoside E,DVEJWYUSLPQXTD-UHFFFAOYSA-N,DVEJWYUSLPQXTD,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4542,Achyranthoside G,PPCAKIXUPHBIEC-SOQNOQTCSA-N,PPCAKIXUPHBIEC,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4532,Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,KWIUHFFTVRNATP,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4549,Bidentatoside I,CPFQLUJIWCXOBV-TXFLJNNVSA-N,CPFQLUJIWCXOBV,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4543,Chikusetsusaponin IVa,YOSRLTNUOCHBEA-LSYFXOIVSA-N,YOSRLTNUOCHBEA,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4544,Chikusetsusaponin V,NFZYDZXHKFHPGA-BPQKMSRTSA-N,NFZYDZXHKFHPGA,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4545,Chikusetsusaponin V,NFZYDZXHKFHPGA-BPQKMSRTSA-N,NFZYDZXHKFHPGA,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4547,Chikusetsusaponin V methyl ester,PYRYQDQZMLGNFX-UHFFFAOYSA-N,PYRYQDQZMLGNFX,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4520,Chrysophanol,LQGUBLBATBMXHT-UHFFFAOYSA-N,LQGUBLBATBMXHT,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4525,Inokosterone,JQNVCUBPURTQPQ-GYVHUXHASA-N,JQNVCUBPURTQPQ,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4526,Inokosterone,JQNVCUBPURTQPQ-GYVHUXHASA-N,JQNVCUBPURTQPQ,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4534,Oleanolic acid,MIJYXULNPSFWEK-GTOFXWBISA-N,MIJYXULNPSFWEK,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4546,Oleanolic acid 28-O-beta-D-glucopyranoside,KMKFOIBUKYMVRJ-YHFBEQRYSA-N,KMKFOIBUKYMVRJ,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4527,Polypodine B,GMFLGNRCCFYOKL-ACCCYTKYSA-N,GMFLGNRCCFYOKL,Achyranthes fauriei,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4551,Rubrosterone,OMQCWEJQYPUGJG-HGOAFWEXSA-N,OMQCWEJQYPUGJG,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4530,Spinasterol,JZVFJDZBLUFKCA-FXIAWGAOSA-N,JZVFJDZBLUFKCA,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
4521,beta-D-glucuronic acid,IAJILQKETJEXLJ-QTBDOELSSA-N,IAJILQKETJEXLJ,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
3313,Anthranoyllycoctonine,NNDHDYDFEDRMGH-CAEIVAEBSA-N,NNDHDYDFEDRMGH,Aconitum finetianum Hand-Mazz,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3314,Avadharidine,ZBALYAJAWGGUCX-OVHFASGNSA-N,ZBALYAJAWGGUCX,Aconitum finetianum,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3315,Finaconitine,IUJWSEFNAUXHTB-PEOOALOTSA-N,IUJWSEFNAUXHTB,Aconitum finetianum,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3316,Lappaconitine,NWBWCXBPKTTZNQ-BAERZWJTSA-N,NWBWCXBPKTTZNQ,Aconitum finetianum,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3317,Lycoctonine,YOTUXHIWBVZAJQ-YAEAOFIFSA-N,YOTUXHIWBVZAJQ,Aconitum finetianum Hand-Mazz.,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3319,N-Deacetyllappaconitine,VSUODASNSRJNCP-WGVBKJPXSA-N,VSUODASNSRJNCP,Aconitum finetianum Hand-Mazz.,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
3318,Nominine,XTCLZKDQQNEKCJ-WJEQZBOGSA-N,XTCLZKDQQNEKCJ,Aconitum finetianum,Aconitum finetianum,Aconitum finetianum Hand.-Mazz.,Aconitum finetianum,Ranunculaceae
7107,"Isorhamnetin 3,7,4'-tri-O-sulfate",KLIAQJWOBMSQFP-UHFFFAOYSA-N,KLIAQJWOBMSQFP,Acrotrema uniflorum,Acrotrema uniflorum,Acrotrema uniflorum Hook.,Acrotrema uniflorum,Dilleniaceae
7106,"Kaempferol 3,7,4'-tri-O-sulfate",PCYBUYVULWMAJX-UHFFFAOYSA-N,PCYBUYVULWMAJX,Acrotrema uniflorum,Acrotrema uniflorum,Acrotrema uniflorum Hook.,Acrotrema uniflorum,Dilleniaceae
7105,Kaempferol 3-O-sulfate,VOYLAWHADGDBIE-UHFFFAOYSA-N,VOYLAWHADGDBIE,Acrotrema uniflorum,Acrotrema uniflorum,Acrotrema uniflorum Hook.,Acrotrema uniflorum,Dilleniaceae
7108,"Ombuin 3,3'-di-O-sulfate",UGCKOEITPKGHFI-UHFFFAOYSA-N,UGCKOEITPKGHFI,Acrotrema uniflorum,Acrotrema uniflorum,Acrotrema uniflorum Hook.,Acrotrema uniflorum,Dilleniaceae
6885,Isosalipurposide,WQCWELFQKXIPCN-JSYAWONVSA-N,WQCWELFQKXIPCN,Aeschynanthus spp.,Aeschynanthus,Aeschynanthus Jack,,Gesneriaceae
6882,Sambicyanin,BWHXEGJOYVNGQH-XOBUMVIESA-N,BWHXEGJOYVNGQH,Aeschynanthus spp.,Aeschynanthus,Aeschynanthus Jack,,Gesneriaceae
6900,(-)-Balanophonin,GWCSSLSMGCFIFR-LNFBDUAVSA-N,GWCSSLSMGCFIFR,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6877,(2S)-Naringenin 6-C-beta-D-glucopyranoside,QKPKGDDHOGIEOO-JVVVWQBKSA-N,QKPKGDDHOGIEOO,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6896,"1,3-Dihydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)propan-2-one",NHUYEAZIRXDYBS-UHFFFAOYSA-N,NHUYEAZIRXDYBS,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6894,"1-(2-Hydroxy-5-methoxyphenyl)-1,2-propanediol",FCZKBVYLFVBOMN-UHFFFAOYSA-N,FCZKBVYLFVBOMN,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6895,"1-(3,4-Dimethoxyphenyl)-1,3-propanediol",ONMDAHJANCARQN-UHFFFAOYSA-N,ONMDAHJANCARQN,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6897,2-Methoxy-4-(3-methoxy-1-propenyl)-phenol,SBENKNZHVXGNTP-UHFFFAOYSA-N,SBENKNZHVXGNTP,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6887,"3,4'-Dihydroxy-3'-methoxypropiophenone",NXCPMSUBVRGTSE-UHFFFAOYSA-N,NXCPMSUBVRGTSE,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6888,"3,4'-Dihydroxypropiophenone",LTEPZFZSPZASKJ-UHFFFAOYSA-N,LTEPZFZSPZASKJ,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6898,"3,4-Dihydroxyphenethyl glucoside",PQQITYGQJLPDFC-UHFFFAOYSA-N,PQQITYGQJLPDFC,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6889,"3,4-dimethoxybenzoic acid",DAUAQNGYDSHRET-UHFFFAOYSA-N,DAUAQNGYDSHRET,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6869,"3-(beta-D-Glucopyranosyloxymethyl)-2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-(2R,3S)-dihydrobenzofuran",VTKHRLZMWODHJA-GAZXPUAESA-N,VTKHRLZMWODHJA,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6870,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,FJKROLUGYXJWQN,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6899,"7-Octene-1,6-diol",XEXSBXKKNKXLTA-UHFFFAOYSA-N,XEXSBXKKNKXLTA,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6876,Acteoside,FBSKJMQYURKNSU-ZLSOWSIRSA-N,FBSKJMQYURKNSU,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6904,C-veratroylglycol,UTXNRISXYKZJTH-UHFFFAOYSA-N,UTXNRISXYKZJTH,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6901,Calceolarioside A,UHIGZYLCYRQESL-VJWFJHQPSA-N,UHIGZYLCYRQESL,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6902,Calceolarioside B,LFKQVVDFNHDYNK-FOXCETOMSA-N,LFKQVVDFNHDYNK,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6903,Calceolarioside E,MOOYCEWTRITIQB-UIKPAZBQSA-N,MOOYCEWTRITIQB,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6890,Cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,WBYWAXJHAXSJNI,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6874,Coniferaldehyde,DKZBBWMURDFHNE-NSCUHMNNSA-N,DKZBBWMURDFHNE,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6868,Coniferyl alcohol,JMFRWRFFLBVWSI-NSCUHMNNSA-N,JMFRWRFFLBVWSI,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6886,Corymboside,OVMFOVNOXASTPA-UHFFFAOYSA-N,OVMFOVNOXASTPA,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6891,Dianthoside,YGSIRXHFAUFUEJ-GPTQDWHKSA-N,YGSIRXHFAUFUEJ,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6905,Epidihydrophaseic acid,XIVFQYWMMJWUCD-UMCKCUICSA-N,XIVFQYWMMJWUCD,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6906,Ethylparaben,NUVBSKCKDOMJSU-UHFFFAOYSA-N,NUVBSKCKDOMJSU,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6907,Evofolin B,QMYGRGKKZBRZKH-UHFFFAOYSA-N,QMYGRGKKZBRZKH,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6875,Ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,KSEBMYQBYZTDHS,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6893,Grasshopper ketone,QMXLZUOHZGYGDY-JBGXHEPSSA-N,QMXLZUOHZGYGDY,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6908,Koaburaside,SWHCKWOYUSDWOF-RGCYKPLRSA-N,SWHCKWOYUSDWOF,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6871,Naringenin,FTVWIRXFELQLPI-UHFFFAOYSA-N,FTVWIRXFELQLPI,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6878,Ormocarpin,RVPPNKOUWPOQRX-VAVPTQKHSA-N,RVPPNKOUWPOQRX,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6909,Paradrymonoside,YINNEDVQUNYQEZ-BOTMRVARSA-N,YINNEDVQUNYQEZ,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6910,Pyrroside B,NWNGXQLQGVWVHC-URWLGXSFSA-N,NWNGXQLQGVWVHC,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6892,Sinapinaldehyde,CDICDSOGTRCHMG-ONEGZZNKSA-N,CDICDSOGTRCHMG,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6911,Suavissimoside F1,YXSQSVWHKZZWDD-FPLSKCGGSA-N,YXSQSVWHKZZWDD,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6884,Syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,KCDXJAYRVLXPFO,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6912,Syringenin,QJVXKWHHAMZTBY-GCPOEHJPSA-N,QJVXKWHHAMZTBY,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6872,Vanillin,MJHMXBDRUWSJOS-UHFFFAOYSA-N,MJHMXBDRUWSJOS,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6873,p-Hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,TXFPEBPIARQUIG,Aeschynanthus bracteatus,Aeschynanthus bracteatus,Aeschynanthus bracteatus Wall. ex A.DC.,Aeschynanthus bracteatus,Gesneriaceae
6880,Pelargonidin 3-sambubioside,NKUOSFBSKVBOJC-UFNWOZQISA-O,NKUOSFBSKVBOJC,Aeschynanthus obconica,Aeschynanthus obconicus,Aeschynanthus obconicus C.B.Clarke,Aeschynanthus obconicus,Gesneriaceae
