,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family
931,Homomoschatoline,WXGQWNXTPSGPIX-UHFFFAOYSA-N,WXGQWNXTPSGPIX,Abuta sp.,Abuta,Abuta Aubl.,,Menispermaceae
940,Saulatine,SRADCDOQSQOROE-UHFFFAOYSA-N,SRADCDOQSQOROE,Abuta bulata Moldenke,Abuta,Abuta Aubl.,,Menispermaceae
939,Saulatine,SRADCDOQSQOROE-UHFFFAOYSA-N,SRADCDOQSQOROE,Abuta bullata,Abuta bullata,Abuta bullata Moldenke,Abuta bullata,Menispermaceae
928,Grandirubrine,SKNSHDGCCINVFT-UHFFFAOYSA-N,SKNSHDGCCINVFT,Abuta grandifolia (Mart.) Sandw.Kew.,Abuta grandifolia,Abuta grandifolia (Mart.) Sandwith,Abuta grandifolia,Menispermaceae
929,Grandirubrine,SKNSHDGCCINVFT-UHFFFAOYSA-N,SKNSHDGCCINVFT,Abuta concolor,Abuta grandifolia,Abuta grandifolia (Mart.) Sandwith,Abuta grandifolia,Menispermaceae
938,Pareirubrine,ALZVZHLQANZNQJ-UHFFFAOYSA-N,ALZVZHLQANZNQJ,Abuta concolor,Abuta grandifolia,Abuta grandifolia (Mart.) Sandwith,Abuta grandifolia,Menispermaceae
926,Grisabine,ZKGBUDJODLZAHS-JSOSNVBQSA-N,ZKGBUDJODLZAHS,Abuta grisebachii Triana & Planch,Abuta grisebachii,Abuta grisebachii Triana & Planch.,Abuta grisebachii,Menispermaceae
937,Macolidine,LFFQVHXIFJLJSP-WUFINQPMSA-N,LFFQVHXIFJLJSP,Abuta grisebachii Triana & Planch,Abuta grisebachii,Abuta grisebachii Triana & Planch.,Abuta grisebachii,Menispermaceae
922,Macoline,MRNNKFDOEWDVRD-URLMMPGGSA-O,MRNNKFDOEWDVRD,Abuta grisebachii,Abuta grisebachii,Abuta grisebachii Triana & Planch.,Abuta grisebachii,Menispermaceae
930,Magnolin,FDABVSXGAMFQQH-UHFFFAOYSA-N,FDABVSXGAMFQQH,Abuta grisebachii Triana & Planch,Abuta grisebachii,Abuta grisebachii Triana & Planch.,Abuta grisebachii,Menispermaceae
933,Imenine,FJMPJHSWPARBRY-UHFFFAOYSA-N,FJMPJHSWPARBRY,Abuta imene Eichl.,Abuta imene,Abuta imene (Mart.) Eichler,Abuta imene,Menispermaceae
935,Imerubrine,UNLMKMRFVJZAEV-UHFFFAOYSA-N,UNLMKMRFVJZAEV,Abuta imene Eichl.,Abuta imene,Abuta imene (Mart.) Eichler,Abuta imene,Menispermaceae
927,(+)-Coclaurine,LVVKXRQZSRUVPY-OAHLLOKOSA-N,LVVKXRQZSRUVPY,Abuta pahni (Martius) Krukoff & Barneby,Abuta pahni,Abuta pahni (Mart.) Krukoff & Barneby,Abuta pahni,Menispermaceae
924,(+)-Stepharine,OGJKMZVUJJYWKO-UHFFFAOYSA-N,OGJKMZVUJJYWKO,Abuta pahni (Martius) Krukoff & Barneby,Abuta pahni,Abuta pahni (Mart.) Krukoff & Barneby,Abuta pahni,Menispermaceae
925,Daurisoline,BURJAQFYNVMZDV-FIRIVFDPSA-N,BURJAQFYNVMZDV,Abuta pahni (Martius) Krukoff & Barneby,Abuta pahni,Abuta pahni (Mart.) Krukoff & Barneby,Abuta pahni,Menispermaceae
942,Thalifoline,WPKMGEQXTYQXGI-UHFFFAOYSA-N,WPKMGEQXTYQXGI,Abuta pahni (Martius) Krukoff & Barneby,Abuta pahni,Abuta pahni (Mart.) Krukoff & Barneby,Abuta pahni,Menispermaceae
923,(+)-Homoaromoline,YJRWQNIRFXVBRB-WDYNHAJCSA-N,YJRWQNIRFXVBRB,Abuta splendida Krukoff & Moldenke,Abuta rufescens,Abuta rufescens Aubl.,Abuta rufescens,Menispermaceae
932,Imenine,FJMPJHSWPARBRY-UHFFFAOYSA-N,FJMPJHSWPARBRY,Abuta rufescens Abul.,Abuta rufescens,Abuta rufescens Aubl.,Abuta rufescens,Menispermaceae
934,Imerubrine,UNLMKMRFVJZAEV-UHFFFAOYSA-N,UNLMKMRFVJZAEV,Abuta rufescens Abul.,Abuta rufescens,Abuta rufescens Aubl.,Abuta rufescens,Menispermaceae
936,Lysicamine,DPBMWJXWUINLQT-UHFFFAOYSA-N,DPBMWJXWUINLQT,Abuta rufescens Abul.,Abuta rufescens,Abuta rufescens Aubl.,Abuta rufescens,Menispermaceae
941,Splendidine,KTFPZTCBZNFIPH-UHFFFAOYSA-N,KTFPZTCBZNFIPH,Abuta rufescens Abul.,Abuta rufescens,Abuta rufescens Aubl.,Abuta rufescens,Menispermaceae
1327,Cucurbitacin H,ABNDMUIXCBUBLO-REQJDAJISA-N,ABNDMUIXCBUBLO,Acanthosicyos horrida,Acanthosicyos horridus,Acanthosicyos horridus Welw. ex Benth. & Hook.f.,Acanthosicyos horridus,Cucurbitaceae
4528,(-)-beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
4558,10-Octacosanone,WKFKSNVXRXRIMT-UHFFFAOYSA-N,WKFKSNVXRXRIMT,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,Achyranthes aspera,Amaranthaceae
