,refDOI
0,10.3389/FPLS.2012.00283
1,10.1590/S0100-40422001000100006
2,10.1093/ECAM/NEQ006
3,10.1016/J.PHYTOCHEM.2010.06.020
4,10.1590/S0103-50532011000700013
5,10.1080/14786410903052399
6,10.1155/2014/304830
7,10.1007/S11306-009-0195-X
8,10.3892/IJO.2015.2946
9,10.1186/1742-6405-2-12
