,family,Species per Family in Data,Species per Family,Species per Family in Data_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,130,5526,361.038010898752,-231.03801089875202,False,False,0.6298856439952956
1,Achariaceae,20,177,12.563953843407823,7.436046156592177,False,False,0.6298856439952956
2,Acoraceae,3,4,1.2934337703895875,1.7065662296104125,False,False,0.6298856439952956
3,Actinidiaceae,10,449,30.2840778888469,-20.2840778888469,False,False,0.6298856439952956
4,Aizoaceae,58,1799,118.2332229673129,-60.2332229673129,False,False,0.6298856439952956
5,Akaniaceae,2,2,1.163138740643712,0.8368612593562881,False,False,0.6298856439952956
6,Alismataceae,7,122,8.980840525396246,-1.9808405253962462,False,False,0.6298856439952956
7,Alstroemeriaceae,18,260,17.97119757786166,0.028802422138340944,False,False,0.6298856439952956
8,Altingiaceae,3,15,2.010056433991903,0.9899435660080971,False,False,0.6298856439952956
9,Alzateaceae,1,1,1.097991225770774,-0.09799122577077402,False,False,0.6298856439952956
10,Amaranthaceae,148,2411,158.1035020695508,-10.103502069550814,False,False,0.6298856439952956
11,Amaryllidaceae,224,2535,166.1817939137951,57.818206086204896,False,False,0.6298856439952956
12,Amborellaceae,1,1,1.097991225770774,-0.09799122577077402,False,False,0.6298856439952956
13,Anacardiaceae,73,941,62.33665520633229,10.663344793667711,False,False,0.6298856439952956
14,Ancistrocladaceae,14,20,2.335794008356592,11.664205991643408,False,False,0.6298856439952956
15,Anisophylleaceae,2,57,4.74625205865529,-2.7462520586552897,False,False,0.6298856439952956
16,Annonaceae,317,2577,168.91798953845847,148.08201046154153,False,False,0.6298856439952956
17,Aphloiaceae,1,1,1.097991225770774,-0.09799122577077402,False,False,0.6298856439952956
18,Apiaceae,532,3958,258.8867075779856,273.1132924220144,False,False,0.6298856439952956
19,Apocynaceae,505,6707,437.9772259636915,67.02277403630848,False,False,0.6298856439952956
20,Aquifoliaceae,76,574,38.427517247964126,37.572482752035874,False,False,0.6298856439952956
21,Araceae,109,4593,300.2553795223011,-191.2553795223011,False,False,0.6298856439952956
22,Araliaceae,103,1686,110.87155378667093,-7.87155378667093,False,False,0.6298856439952956
23,Araucariaceae,15,38,3.508449276069472,11.491550723930528,False,False,0.6298856439952956
24,Arecaceae,45,2527,165.66061379481158,-120.66061379481158,False,False,0.6298856439952956
25,Aristolochiaceae,124,760,50.54495501433055,73.45504498566945,False,False,0.6298856439952956
26,Asparagaceae,240,3552,232.43681653957282,7.563183460427183,False,False,0.6298856439952956
27,Asphodelaceae,220,1263,83.31415499541825,136.68584500458175,False,False,0.6298856439952956
28,Aspleniaceae,28,3425,224.16308215070973,-196.16308215070973,False,False,0.6298856439952956
29,Asteraceae,3842,35217,2295.3328749911475,1546.6671250088525,True,False,0.6298856439952956
30,Atherospermataceae,13,17,2.1403514637377787,10.85964853626222,False,False,0.6298856439952956
31,Austrobaileyaceae,1,1,1.097991225770774,-0.09799122577077402,False,False,0.6298856439952956
32,Balanopaceae,1,9,1.6191713447542764,-0.6191713447542764,False,False,0.6298856439952956
33,Balanophoraceae,13,61,5.006842118147041,7.993157881852959,False,False,0.6298856439952956
34,Balsaminaceae,9,1172,77.38573114198091,-68.38573114198091,False,False,0.6298856439952956
35,Basellaceae,6,19,2.270646493483654,3.729353506516346,False,False,0.6298856439952956
36,Begoniaceae,7,2136,140.18793547949292,-133.18793547949292,False,False,0.6298856439952956
37,Berberidaceae,140,739,49.17685720199886,90.82314279800114,False,False,0.6298856439952956
38,Berberidopsidaceae,1,4,1.2934337703895875,-0.2934337703895875,False,False,0.6298856439952956
39,Betulaceae,53,210,14.71382183421477,38.28617816578523,False,False,0.6298856439952956
40,Biebersteiniaceae,3,4,1.2934337703895875,1.7065662296104125,False,False,0.6298856439952956
41,Bignoniaceae,93,904,59.92619715603359,33.07380284396641,False,False,0.6298856439952956
42,Bixaceae,5,27,2.7918266124671565,2.2081733875328435,False,False,0.6298856439952956
43,Blandfordiaceae,1,4,1.2934337703895875,-0.2934337703895875,False,False,0.6298856439952956
44,Bonnetiaceae,2,38,3.508449276069472,-1.5084492760694719,False,False,0.6298856439952956
45,Boraginaceae,225,3507,229.50517837029065,-4.5051783702906505,False,False,0.6298856439952956
46,Brassicaceae,185,4238,277.12801174240815,-92.12801174240815,False,False,0.6298856439952956
47,Bromeliaceae,39,3720,243.3815990382264,-204.3815990382264,False,False,0.6298856439952956
48,Burseraceae,63,770,51.19643016305993,11.80356983694007,False,False,0.6298856439952956
49,Buxaceae,18,129,9.436873129506811,8.563126870493189,False,False,0.6298856439952956
50,Byblidaceae,1,8,1.5540238298813387,-0.5540238298813387,False,False,0.6298856439952956
51,Cabombaceae,1,7,1.4888763150084008,-0.4888763150084008,False,False,0.6298856439952956
52,Cactaceae,97,1984,130.2855132188064,-33.285513218806386,False,False,0.6298856439952956
53,Calceolariaceae,23,274,18.88326278608279,4.116737213917212,False,False,0.6298856439952956
54,Calophyllaceae,79,437,29.502307710371646,49.497692289628354,False,False,0.6298856439952956
55,Calycanthaceae,4,11,1.749466374500152,2.2505336254998483,False,False,0.6298856439952956
56,Calyceraceae,9,47,4.094776909925912,4.905223090074088,False,False,0.6298856439952956
57,Campanulaceae,80,2517,165.00913864608225,-85.00913864608225,False,False,0.6298856439952956
58,Campynemataceae,1,4,1.2934337703895875,-0.2934337703895875,False,False,0.6298856439952956
59,Canellaceae,11,23,2.5312365529754053,8.468763447024594,False,False,0.6298856439952956
60,Cannabaceae,13,113,8.394512891539804,4.605487108460196,False,False,0.6298856439952956
61,Cannaceae,1,12,1.8146138893730897,-0.8146138893730897,False,False,0.6298856439952956
62,Capparaceae,37,438,29.567455225244583,7.432544774755417,False,False,0.6298856439952956
63,Caprifoliaceae,133,1120,73.99806036858816,59.001939631411844,False,False,0.6298856439952956
64,Cardiopteridaceae,2,41,3.7038918206882854,-1.7038918206882854,False,False,0.6298856439952956
65,Caricaceae,5,44,3.899334365307099,1.1006656346929011,False,False,0.6298856439952956
66,Caryocaraceae,5,26,2.726679097594219,2.273320902405781,False,False,0.6298856439952956
67,Caryophyllaceae,106,3403,222.72983682350508,-116.72983682350508,False,False,0.6298856439952956
68,Casuarinaceae,5,91,6.9612675643351745,-1.9612675643351745,False,False,0.6298856439952956
69,Celastraceae,165,1365,89.95920151245791,75.04079848754209,False,False,0.6298856439952956
70,Centroplacaceae,4,9,1.6191713447542764,2.3808286552457236,False,False,0.6298856439952956
71,Cephalotaceae,1,1,1.097991225770774,-0.09799122577077402,False,False,0.6298856439952956
72,Cephalotaxaceae,5,8,1.5540238298813387,3.4459761701186613,False,False,0.6298856439952956
73,Ceratophyllaceae,1,6,1.4237288001354629,-0.4237288001354629,False,False,0.6298856439952956
74,Cercidiphyllaceae,1,2,1.163138740643712,-0.16313874064371192,False,False,0.6298856439952956
75,Chloranthaceae,18,75,5.91890732636817,12.08109267363183,False,False,0.6298856439952956
76,Chrysobalanaceae,44,546,36.60338683152187,7.396613168478133,False,False,0.6298856439952956
77,Cistaceae,16,292,20.05591805379567,-4.0559180537956685,False,False,0.6298856439952956
78,Cleomaceae,24,225,15.691034557308837,8.308965442691163,False,False,0.6298856439952956
79,Clethraceae,2,100,7.5475951981916145,-5.5475951981916145,False,False,0.6298856439952956
