,family,Species per Family in Data,Species per Family,Species per Family in Data_loess_prediction,Species per Family in Data_residuals,Species per Family in Data_highlight_high,Species per Family in Data_highlight_low,R2
0,Acanthaceae,130,5526,355.5361650467255,-225.5361650467255,False,False,0.6305372614390841
1,Achariaceae,20,177,12.193666928328083,7.806333071671917,False,False,0.6305372614390841
2,Acoraceae,3,4,2.7104852152024015,0.2895147847975985,False,False,0.6305372614390841
3,Actinidiaceae,10,449,31.14450194626488,-21.14450194626488,False,False,0.6305372614390841
4,Aizoaceae,58,1799,119.0772174516696,-61.0772174516696,False,False,0.6305372614390841
5,Akaniaceae,2,2,2.59561393937378,-0.5956139393737798,False,False,0.6305372614390841
6,Alismataceae,7,122,9.32048584895192,-2.32048584895192,False,False,0.6305372614390841
7,Alstroemeriaceae,18,260,16.00286604928252,1.9971339507174797,False,False,0.6305372614390841
8,Altingiaceae,3,15,3.3401235085366445,-0.3401235085366445,False,False,0.6305372614390841
9,Alzateaceae,1,1,2.538131840373052,-1.538131840373052,False,False,0.6305372614390841
10,Amaranthaceae,148,2411,157.49608460545008,-9.49608460545008,False,False,0.6305372614390841
11,Amaryllidaceae,224,2535,165.25606171763073,58.74393828236927,False,False,0.6305372614390841
12,Amborellaceae,1,1,2.538131840373052,-1.538131840373052,False,False,0.6305372614390841
13,Anacardiaceae,73,941,68.9935069228163,4.0064930771837055,False,False,0.6305372614390841
14,Ancistrocladaceae,14,20,3.6251825006304155,10.374817499369584,False,False,0.6305372614390841
15,Anisophylleaceae,2,57,5.716282574802573,-3.716282574802573,False,False,0.6305372614390841
16,Annonaceae,317,2577,167.87391931450117,149.12608068549883,False,False,0.6305372614390841
17,Aphloiaceae,1,1,2.538131840373052,-1.538131840373052,False,False,0.6305372614390841
18,Apiaceae,532,3958,254.6285468643336,277.3714531356664,False,False,0.6305372614390841
19,Apocynaceae,505,6707,430.92270027549887,74.07729972450113,False,False,0.6305372614390841
20,Aquifoliaceae,76,574,41.35556554933962,34.64443445066038,False,False,0.6305372614390841
21,Araceae,109,4593,295.774541761174,-186.77454176117402,False,False,0.6305372614390841
22,Araliaceae,103,1686,112.52810195937536,-9.528101959375363,False,False,0.6305372614390841
23,Araucariaceae,15,38,4.646192086249307,10.353807913750693,False,False,0.6305372614390841
24,Arecaceae,45,2527,164.75690069902242,-119.75690069902242,False,False,0.6305372614390841
25,Aristolochiaceae,124,760,55.67473306819589,68.32526693180411,False,False,0.6305372614390841
26,Asparagaceae,240,3552,227.88738212226738,12.112617877732617,False,False,0.6305372614390841
27,Asphodelaceae,220,1263,89.41830348470432,130.58169651529568,False,False,0.6305372614390841
28,Aspleniaceae,28,3425,219.71003991625014,-191.71003991625014,False,False,0.6305372614390841
