,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
34,CAY,1,556,1.4996197028069373,-0.49961970280693735,False,False,0.6254949290340869
37,VNA,1,827,1.5886263654080701,-0.5886263654080701,False,False,0.6254949290340869
33,BAH,1,1085,1.6733633357073037,-0.6733633357073037,False,False,0.6254949290340869
44,CLS,1,1385,1.771894696520366,-0.7718946965203659,False,False,0.6254949290340869
43,CLN,1,1751,1.8921029567123018,-0.8921029567123018,False,False,0.6254949290340869
32,WIN,2,2036,1.9857077494847108,0.014292250515289151,False,False,0.6254949290340869
30,LEE,2,2083,2.001144329345424,-0.0011443293454238557,False,False,0.6254949290340869
39,AGS,1,2090,2.003443394431062,-1.003443394431062,False,False,0.6254949290340869
31,PUE,2,2395,2.1036169445910087,-0.10361694459100868,False,False,0.6254949290340869
24,TRT,3,2569,2.1607651338625846,0.8392348661374154,False,False,0.6254949290340869
45,URU,1,2591,2.1679907669888756,-1.1679907669888756,False,False,0.6254949290340869
42,CLC,1,3041,2.3157878082084693,-1.3157878082084693,False,False,0.6254949290340869
36,JAM,1,3086,2.330567512330428,-1.3305675123304281,False,False,0.6254949290340869
35,FLA,1,3191,2.3650534886150005,-1.3650534886150005,False,False,0.6254949290340869
20,ELS,4,3546,2.4816489322437905,1.5183510677562095,False,False,0.6254949290340869
12,BLZ,6,3641,2.5128505298345933,3.4871494701654067,True,False,0.6254949290340869
27,HAI,2,3714,2.5368264942991052,-0.5368264942991052,False,False,0.6254949290340869
26,DOM,2,3967,2.6199212752514542,-0.6199212752514542,False,False,0.6254949290340869
19,SUR,4,4495,2.793336470282444,1.2066635297175559,False,False,0.6254949290340869
17,FRG,5,5161,3.012076091287442,1.987923908712558,False,False,0.6254949290340869
29,PAR,2,5347,3.0731655349915403,-1.0731655349915403,False,False,0.6254949290340869
38,AGE,1,5389,3.086959925505369,-2.086959925505369,False,False,0.6254949290340869
40,AGW,1,5407,3.092871807154153,-2.092871807154153,False,False,0.6254949290340869
8,NIC,6,5892,3.252164173801937,2.747835826198063,False,False,0.6254949290340869
25,CUB,3,6155,3.3385433334480545,-0.33854333344805454,False,False,0.6254949290340869
23,GUY,4,6369,3.4088290374947054,0.5911709625052946,False,False,0.6254949290340869
11,HON,6,6712,3.5214832266909735,2.4785167733090265,False,False,0.6254949290340869
28,MXN,2,7047,3.631509912932226,-1.6315099129322261,False,False,0.6254949290340869
22,MXC,4,7540,3.793429782535025,0.20657021746497506,False,False,0.6254949290340869
10,MXG,6,7912,3.915608669943222,2.084391330056778,False,False,0.6254949290340869
6,GUA,6,8358,4.062091959685308,1.9379080403146922,False,False,0.6254949290340869
41,BZS,1,8613,4.1458436163764105,-3.1458436163764105,False,True,0.6254949290340869
9,MXT,6,9348,4.387245450368413,1.6127545496315872,False,False,0.6254949290340869
21,BZC,4,9971,4.591862242990206,-0.5918622429902056,False,False,0.6254949290340869
2,PAN,7,10198,4.666417639338755,2.3335823606612447,False,False,0.6254949290340869
7,COS,6,10799,4.863808798834257,1.136191201165743,False,False,0.6254949290340869
16,MXE,5,11401,5.061528396199135,-0.06152839619913486,False,False,0.6254949290340869
18,BZE,5,11594,5.124916904988872,-0.12491690498887209,False,False,0.6254949290340869
4,BZN,6,13576,5.775880762093836,0.22411923790616406,False,False,0.6254949290340869
14,MXS,6,14194,5.978855365368744,0.0211446346312556,False,False,0.6254949290340869
13,BOL,6,14896,6.209418749671309,-0.20941874967130936,False,False,0.6254949290340869
1,VEN,9,16340,6.683683033051516,2.3163169669484844,False,False,0.6254949290340869
5,BZL,6,18428,7.369461304310429,-1.3694613043104287,False,False,0.6254949290340869
3,ECU,7,18482,7.387196949256779,-0.3871969492567793,False,False,0.6254949290340869
15,PER,6,20876,8.173477208545016,-2.173477208545016,False,False,0.6254949290340869
0,CLM,9,25181,9.587402236212458,-0.5874022362124585,False,False,0.6254949290340869
