name,compound,doi,InChIKey,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
wedelia paludosa d. c,stigmasterol,10.1590/S0100-40422001000100006,HCXVJBMSMIARIN-PHZDYDNGSA-N,1093589-2,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,Asteraceae,Species,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,1093589-2,Sphagneticola,3122187,Synonym,direct_wcvp_w_author_unique,Wedelia paludosa DC.
wedelia paludosa d. c,ent-kaur-16-en-19-oic acid,10.1590/S0100-40422001000100006,NIKHGUQULKYIGE-OTCXFQBHSA-N,1093589-2,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,Asteraceae,Species,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,1093589-2,Sphagneticola,3122187,Synonym,direct_wcvp_w_author_unique,Wedelia paludosa DC.
atractylodes ovata de candolle,β-eudesmol,10.1093/ECAM/NEQ006,BOPIMTNSYWYZOC-VNHYZAJKSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,linoleic acid,10.1093/ECAM/NEQ006,OYHQOLUKZRVURQ-HZJYTTRNSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,atractylon,10.1093/ECAM/NEQ006,TYPSVDGIQAOBAD-DZGCQCFKSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,atractylenolide ii,10.1093/ECAM/NEQ006,OQYBLUDOOFOBPO-KCQAQPDRSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,hinesol,10.1093/ECAM/NEQ006,ICWHTQRTTHCUHW-GZBFAFLISA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,β-caryophyllene,10.1093/ECAM/NEQ006,NPNUFJAVOOONJE-GFUGXAQUSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,palmitic acid,10.1093/ECAM/NEQ006,IPCSVZSSVZVIGE-UHFFFAOYSA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
atractylodes ovata de candolle,β-selinene,10.1093/ECAM/NEQ006,YOVSPTNQHMDJAG-QLFBSQMISA-N,182976-1,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,Asteraceae,Species,Atractylodes lancea,Atractylodes lancea (Thunb.) DC.,182976-1,Atractylodes,2900935,Synonym,knms_single,Atractylodes ovata Prodr. 7: 48 (1838) (Thunb.) DC. 1838
