,InChIKey_simp,extracted_organism_name,extracted_compound_name,refDOI,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name,pairs
count,5142,5142,5142,5142,5140,5142,5142,5142,5142,4994,4994,4994,4994,5142,5142,5142,5142,5142
unique,2007,615,2507,210,575,576,576,95,4,545,545,545,286,576,2,2,576,4832
top,REFJWTPEDVJJIY,artemisia absinthium l,quercetin,10.30495%2Ftpr.2022.694114,300106-2,Artemisia absinthium,Artemisia absinthium L.,Asteraceae,Species,Artemisia absinthium,Artemisia absinthium L.,300106-2,Artemisia,2909600,Accepted,direct_wcvp_unique,Artemisia absinthium,Astragalus mongholicus_WQZGKKKJIJFFOK
freq,62,150,61,244,150,150,150,635,4822,150,150,150,156,150,5120,4849,150,6
